,Description,Parameters,Return,ApiLevel,ClassDescription,PackageDescription,sensitive data?,shared resource?,sensitive shared resource?,produces sensitive data from shared resource?,writes sensitive data to shared resource?,Source?,Sink?
<android.webkit.WebView: void clearView()>,"This method was deprecated
      in API level 18. Use WebView.loadUrl(""about:blank"") to reliably reset the view state
             and release page resources (including any running JavaScript). Clears this WebView so that onDraw() will draw nothing but white background
 and onMeasure() will return 0 if MeasureSpec is not MeasureSpec.EXACTLY.",,void,1,"A View that displays web pages.

  Basic usage In most cases we recommend using a standard web browser like Chrome to deliver
 content to the user. To learn more about web browsers read the guide on
  
 invoking a browser with an intent .

  WebView objects allow you to display web content as part of your activity layout but
 lack some of the features of fully-developed browsers. A WebView is useful when
 you need increased control over the UI and advanced configuration options that will allow
 you to embed web pages in a specially-designed environment for your app.

  To learn more about WebView and alternatives for serving web content read the
 documentation on
  
 Web-based content .","Provides tools for browsing the web.
  For more information about building apps with web-based content see the
  Web Apps Overview .",,,,,,,
"<android.widget.ArrayAdapter: View getDropDownView(int,View,ViewGroup)>","Gets a View that displays in the drop down popup
 the data at the specified position in the data set.","position int : index of the item whose view we want. |||
convertView View : This value may be null . |||
parent ViewGroup : This value cannot be null . |||","View a View corresponding to the data at the
         specified position. |||",1,"You can use this adapter to provide views for an  AdapterView 
 Returns a view for each object in a collection of data objects you
 provide and can be used with list-based user interface widgets such as
  ListView  or  Spinner .
  
 By default the array adapter creates a view by calling  Object#toString()  on each
 data object in the collection you provide and places the result in a TextView.
 You may also customize what type of view is used for the data object in the collection.
 To customize what type of view is used for the data object
 override  getView(int android.view.View android.view.ViewGroup) 
 and inflate a view resource.
 For a code example see
 the  
 CustomChoiceList  sample.
  
 For an example of using an array adapter with a ListView see the
  
 Adapter Views  guide.
  
 For an example of using an array adapter with a Spinner see the
  Spinners  guide.
  Note: 
 If you are considering using array adapter with a ListView consider using
  RecyclerView  instead.
 RecyclerView offers similar features with better performance and more flexibility than
 ListView provides.
 See the
  
 Recycler View  guide.","The widget package contains (mostly visual) UI elements to use
 on your Application screen. You can also design your own.
  
 To create your own widget extend  View  or a subclass. To
 use your widget in layout XML there are two additional files for you to
 create. Here is a list of files you'll need to create to implement a custom
 widget:
  Java implementation file  - This is the file that implements the
 behavior of the widget. If you can instantiate the object from layout XML
 you will also have to code a constructor that retrieves all the attribute
 values from the layout XML file. XML definition file  - An XML file in res/values/ that defines
 the XML element used to instantiate your widget and the attributes that it
 supports. Other applications will use this element and attributes in their in
 another in their layout XML. Layout XML  [ optional ]- An optional XML file inside
 res/layout/ that describes the layout of your widget. You could also do
 this in code in your Java file. 
 ApiDemos sample application has an example of creating a custom layout XML
 tag LabelView. See the following files that demonstrate implementing and using
 a custom widget:
  LabelView.java  - The implementation file res/values/attrs.xml  - Definition file res/layout/custom_view_1.xml  - Layout file",,,,,,,
"<android.location.LocationManager: void requestSingleUpdate(String,PendingIntent)>","This method was deprecated
      in API level 30. Use getCurrentLocation(java.lang.String android.os.CancellationSignal java.util.concurrent.Executor java.util.function.Consumer) instead as it does not carry a risk of extreme battery drain. Register for a single location update using a named provider and pending intent. See requestLocationUpdates(long float android.location.Criteria android.app.PendingIntent) for more detail
 on how to use this method. Requires Manifest.permission.ACCESS_COARSE_LOCATION or Manifest.permission.ACCESS_FINE_LOCATION","provider String : a provider listed by getAllProviders() This value cannot be null . |||
pendingIntent PendingIntent : the pending intent to send location updates
This value cannot be null . |||",void,9,"A data class representing a geographic location.

  A location can consist of a latitude longitude timestamp
 and other information such as bearing altitude and velocity.

  All locations generated by the  LocationManager  are
 guaranteed to have a valid latitude longitude and timestamp
 (both UTC time and elapsed real-time since boot) all other
 parameters are optional.","Contains the framework API classes that define Android location-based and
 	related services. This API is not the recommended method for accessing Android location. 
 The
  Google Location Services API 
 part of Google Play services is the preferred way to add location-awareness to
 your app. It offers a simpler API higher accuracy low-power geofencing and
 more. If you are currently using the android.location API you are strongly
 encouraged to switch to the Google Location Services API as soon as
 possible.
  
 To learn more about the Google Location Services API see the
  Location API overview .",,,,,,,
<android.os.Bundle: ArrayList getIntegerArrayList(String)>,"Returns the value associated with the given key or null if
 no mapping of the desired type exists for the given key or a null
 value is explicitly associated with the key.","key String : a String or null
This value may be null . |||",ArrayList < Integer > an ArrayList value or null |||,1,A mapping from String keys to various  Parcelable  values.,,,,,,,,
"<android.bluetooth.BluetoothAdapter: BluetoothServerSocket listenUsingInsecureRfcommWithServiceRecord(String,UUID)>","Create a listening insecure RFCOMM Bluetooth socket with Service Record. The link key is not required to be authenticated i.e the communication may be
 vulnerable to Man In the Middle attacks. For Bluetooth 2.1 devices
 the link will be encrypted as encryption is mandartory.
 For legacy devices (pre Bluetooth 2.1 devices) the link will not
 be encrypted. Use listenUsingRfcommWithServiceRecord(String UUID) if an
 encrypted and authenticated communication channel is desired. Use BluetoothServerSocket#accept to retrieve incoming
 connections from a listening BluetoothServerSocket . The system will assign an unused RFCOMM channel to listen on. The system will also register a Service Discovery
 Protocol (SDP) record with the local SDP server containing the specified
 UUID service name and auto-assigned channel. Remote Bluetooth devices
 can use the same UUID to query our SDP server and discover which channel
 to connect to. This SDP record will be removed when this socket is
 closed or if this application closes unexpectedly. Use BluetoothDevice#createRfcommSocketToServiceRecord to
 connect to this socket from another device using the same UUID . Requires Manifest.permission.BLUETOOTH","name String : service name for SDP record |||
uuid UUID : uuid for SDP record |||",BluetoothServerSocket a listening RFCOMM BluetoothServerSocket |||,10,"Represents the local device Bluetooth adapter. The  BluetoothAdapter 
 lets you perform fundamental Bluetooth tasks such as initiate
 device discovery query a list of bonded (paired) devices
 instantiate a  BluetoothDevice  using a known MAC address and create
 a  BluetoothServerSocket  to listen for connection requests from other
 devices and start a scan for Bluetooth LE devices.

  To get a  BluetoothAdapter  representing the local Bluetooth
 adapter call the  BluetoothManager#getAdapter  function on  BluetoothManager .
 On JELLY_BEAN_MR1 and below you will need to use the static  getDefaultAdapter() 
 method instead.
  
 Fundamentally this is your starting point for all
 Bluetooth actions. Once you have the local adapter you can get a set of
  BluetoothDevice  objects representing all paired devices with
  getBondedDevices() ; start device discovery with
  startDiscovery() ; or create a  BluetoothServerSocket  to
 listen for incoming RFComm connection requests with  listenUsingRfcommWithServiceRecord(java.lang.String java.util.UUID) ; listen for incoming L2CAP Connection-oriented
 Channels (CoC) connection requests with  listenUsingL2capChannel() ; or start a scan for
 Bluetooth LE devices with  startLeScan(android.bluetooth.BluetoothAdapter.LeScanCallback) .
  This class is thread safe. Note: 
 Most methods require the  Manifest.permission.BLUETOOTH 
 permission and some also require the
  Manifest.permission.BLUETOOTH_ADMIN  permission.","Provides classes that manage Bluetooth functionality such as scanning for
 devices connecting with devices and managing data transfer between devices.
 The Bluetooth API supports both ""Classic Bluetooth"" and Bluetooth Low Energy. For more information about Classic Bluetooth see the
  Bluetooth  guide.
 For more information about Bluetooth Low Energy see the
  
 Bluetooth Low Energy  (BLE) guide. The Bluetooth APIs let applications: Scan for other Bluetooth devices (including BLE devices). Query the local Bluetooth adapter for paired Bluetooth devices. Establish RFCOMM channels/sockets. Connect to specified sockets on other devices. Transfer data to and from other devices. Communicate with BLE devices such as proximity sensors heart rate
     monitors fitness devices and so on. Act as a GATT client or a GATT server (BLE). 
 To perform Bluetooth communication using these APIs an application must
 declare the  BLUETOOTH  permission. Some
 additional functionality such as requesting device discovery
 also requires the  BLUETOOTH_ADMIN 
 permission.
  Note: 
 Not all Android-powered devices provide Bluetooth functionality.",,,,,,,
<android.view.ViewConfiguration: int getKeyRepeatTimeout()>,,,int the time before the first key repeat in milliseconds. |||,12,Contains methods to standard constants used in the UI for timeouts sizes and distances.,,,,,,,,
<android.content.ContextWrapper: File getExternalCacheDir()>,"Returns absolute path to application-specific directory on the primary
 shared/external storage device where the application can place cache
 files it owns. These files are internal to the application and not
 typically visible to the user as media. This is like getCacheDir() in that these files will be deleted
 when the application is uninstalled however there are some important
 differences: The platform does not always monitor the space available in shared
 storage and thus may not automatically delete these files. Apps should
 always manage the maximum space used in this location. Currently the only
 time files here will be deleted by the platform is when running on Build.VERSION_CODES.JELLY_BEAN_MR1 or later and Environment#isExternalStorageEmulated(File) returns true. 
Shared storage may not always be available since removable media can
 be ejected by the user. Media state can be checked using Environment#getExternalStorageState(File) . 
There is no security enforced with these files. For example any
 application holding Manifest.permission.WRITE_EXTERNAL_STORAGE can write to
 these files. 
If a shared storage device is emulated (as determined by Environment#isExternalStorageEmulated(File) ) its contents are
 backed by a private user data partition which means there is little
 benefit to storing data here instead of the private directory returned by getCacheDir() . Starting in Build.VERSION_CODES.KITKAT no permissions
 are required to read or write to the returned path; it's always
 accessible to the calling app. This only applies to paths generated for
 package name of the calling application. To access paths belonging to
 other packages Manifest.permission.WRITE_EXTERNAL_STORAGE and/or Manifest.permission.READ_EXTERNAL_STORAGE are required. On devices with multiple users (as described by UserManager )
 each user has their own isolated shared storage. Applications only have
 access to the shared storage for the user they're running as. The returned path may change over time if different shared storage media
 is inserted so only relative paths should be persisted.",,File the absolute path to application-specific directory. May return null if shared storage is not currently available. |||,8,"Proxying implementation of Context that simply delegates all of its calls to
 another Context.  Can be subclassed to modify behavior without changing
 the original Context.","Contains classes for accessing and publishing data on a device.  It includes three main
 categories of APIs: Content sharing ( android.content ) For sharing content between application components. The most important classes are:
      ContentProvider  and  ContentResolver 
   for managing and publishing persistent data associated with an application. Intent  and  IntentFilter  for delivering
   structured messages between different application components—allowing components to initiate
   other components and return results. Package management ( android.content.pm ) For accessing information about an Android package (an  .apk ) including information
 about its activities permissions services signatures and providers. The most important class for
 accessing this information is  PackageManager . Resource management ( android.content.res ) For retrieving resource data associated with an application such as strings drawables
 media and device configuration details. The most important class for accessing this data is  Resources .",,,,,,,
"<android.view.LayoutInflater: View inflate(int,ViewGroup)>",Inflate a new view hierarchy from the specified xml resource. Throws InflateException if there is an error.,"resource int : ID for an XML layout resource to load (e.g. R.layout.main_page ) |||
root ViewGroup : Optional view to be the parent of the generated hierarchy.
This value may be null . |||","View The root View of the inflated hierarchy. If root was supplied
         this is the root View; otherwise it is the root of the inflated
         XML file. |||",1,"Instantiates a layout XML file into its corresponding  View 
 objects. It is never used directly. Instead use
  Activity.getLayoutInflater()  or
  Context#getSystemService  to retrieve a standard LayoutInflater instance
 that is already hooked up to the current context and correctly configured
 for the device you are running on.

  
 To create a new LayoutInflater with an additional  Factory  for your
 own views you can use  cloneInContext(Context)  to clone an existing
 ViewFactory and then call  setFactory(LayoutInflater.Factory)  on it to include your
 Factory.

  
 For performance reasons view inflation relies heavily on pre-processing of
 XML files that is done at build time. Therefore it is not currently possible
 to use LayoutInflater with an XmlPullParser over a plain XML file at runtime;
 it only works with an XmlPullParser returned from a compiled resource
 (R. something  file.)",,,,,,,,
<android.bluetooth.BluetoothDevice: BluetoothSocket createRfcommSocketToServiceRecord(UUID)>,"Create an RFCOMM BluetoothSocket ready to start a secure
 outgoing connection to this remote device using SDP lookup of uuid. This is designed to be used with BluetoothAdapter#listenUsingRfcommWithServiceRecord for peer-peer
 Bluetooth applications. Use BluetoothSocket#connect to initiate the outgoing
 connection. This will also perform an SDP lookup of the given uuid to
 determine which channel to connect to. The remote device will be authenticated and communication on this
 socket will be encrypted. Use this socket only if an authenticated socket link is possible.
 Authentication refers to the authentication of the link key to
 prevent man-in-the-middle type of attacks.
 For example for Bluetooth 2.1 devices if any of the devices does not
 have an input and output capability or just has the ability to
 display a numeric key a secure socket connection is not possible.
 In such a case use createInsecureRfcommSocketToServiceRecord(UUID) .
 For more details refer to the Security Model section 5.2 (vol 3) of
 Bluetooth Core Specification version 2.1 + EDR. Hint: If you are connecting to a Bluetooth serial board then try
 using the well-known SPP UUID 00001101-0000-1000-8000-00805F9B34FB.
 However if you are connecting to an Android peer then please generate
 your own unique UUID. Requires Manifest.permission.BLUETOOTH",uuid UUID : service record uuid to lookup RFCOMM channel |||,BluetoothSocket a RFCOMM BluetoothServerSocket ready for an outgoing connection |||,5,"Represents a remote Bluetooth device. A  BluetoothDevice  lets you
 create a connection with the respective device or query information about
 it such as the name address class and bonding state.

  This class is really just a thin wrapper for a Bluetooth hardware
 address. Objects of this class are immutable. Operations on this class
 are performed on the remote Bluetooth hardware address using the
  BluetoothAdapter  that was used to create this  BluetoothDevice .

  To get a  BluetoothDevice  use
  BluetoothAdapter#getRemoteDevice(String)  to create one representing a device
 of a known MAC address (which you can get through device discovery with
  BluetoothAdapter ) or get one from the set of bonded devices
 returned by  BluetoothAdapter#getBondedDevices() . You can then open a
  BluetoothSocket  for communication with the remote device using
  createRfcommSocketToServiceRecord(java.util.UUID)  over Bluetooth BR/EDR or using
  createL2capChannel(int)  over Bluetooth LE.

  Note: 
 Requires the  Manifest.permission.BLUETOOTH  permission.","Provides classes that manage Bluetooth functionality such as scanning for
 devices connecting with devices and managing data transfer between devices.
 The Bluetooth API supports both ""Classic Bluetooth"" and Bluetooth Low Energy. For more information about Classic Bluetooth see the
  Bluetooth  guide.
 For more information about Bluetooth Low Energy see the
  
 Bluetooth Low Energy  (BLE) guide. The Bluetooth APIs let applications: Scan for other Bluetooth devices (including BLE devices). Query the local Bluetooth adapter for paired Bluetooth devices. Establish RFCOMM channels/sockets. Connect to specified sockets on other devices. Transfer data to and from other devices. Communicate with BLE devices such as proximity sensors heart rate
     monitors fitness devices and so on. Act as a GATT client or a GATT server (BLE). 
 To perform Bluetooth communication using these APIs an application must
 declare the  BLUETOOTH  permission. Some
 additional functionality such as requesting device discovery
 also requires the  BLUETOOTH_ADMIN 
 permission.
  Note: 
 Not all Android-powered devices provide Bluetooth functionality.",,,,,,,
<android.view.InputEvent: InputDevice getDevice()>,Gets the device that this event came from.,,InputDevice The device or null if unknown. |||,9,Common base class for input events.,,,,,,,,
<android.app.DialogFragment: void dismiss()>,"Dismiss the fragment and its dialog.  If the fragment was added to the
 back stack all back stack state up to and including this entry will
 be popped.  Otherwise a new transaction will be committed to remove
 the fragment.",,void,11,"Base class for Dialogs.

  Note: Activities provide a facility to manage the creation saving and
 restoring of dialogs. See  Activity#onCreateDialog(int) 
  Activity#onPrepareDialog(int Dialog) 
  Activity#showDialog(int)  and  Activity#dismissDialog(int) . If
 these methods are used  getOwnerActivity()  will return the Activity
 that managed this dialog.

  Often you will want to have a Dialog display on top of the current
 input method because there is no reason for it to accept text.  You can
 do this by setting the  WindowManager.LayoutParams#FLAG_ALT_FOCUSABLE_IM  window flag (assuming
 your Dialog takes input focus as it the default) with the following code:

  
 getWindow().setFlags(WindowManager.LayoutParams.FLAG_ALT_FOCUSABLE_IM
         WindowManager.LayoutParams.FLAG_ALT_FOCUSABLE_IM);","Contains high-level classes encapsulating the overall Android application model. An Android application is defined using one or more of Android's four core application
 components. Two such application components are defined in this package:  Activity  and  Service . The other two components are from the  android.content  package:  BroadcastReceiver  and  ContentProvider . An  Activity  is an application component that provides a screen with which
 users can interact in order to do something such as dial the phone take a photo send an email or
 view a map. An activity can start other activities including activities that live in separate
 applications. A  Service  is an application component that can perform
 long-running operations in the background without a user interface. For example a service
 can handle network transactions play music or work with a content provider without the user being
 aware of the work going on. The  Fragment  class is also an important part of an application's
 design—especially when designing for large screen devices such as tablets. A fragment defines
 a distinct part of an activity's behavior including the associated UI. It has its own lifecycle
 that is similar to that of the activity and can exist alongside other fragments that are embedded in
 the activity. While an activity is running you can add and remove fragments and include each
 fragment in a back stack that's managed by the activity—allowing the user to navigate
 backwards through the fragment states without leaving the activity. This package also defines application utilities such as dialogs notifications and the
 action bar. For information about using some the classes in this package see the following
 documents:  Activities   Services   Fragments   Using the Action Bar   Creating Dialogs  and  Notifying the User .",,,,,,,
<android.content.ContentResolver: String getType(Uri)>,Return the MIME type of the given content URL.,"url Uri : A Uri identifying content (either a list or specific type)
using the content:// scheme.
This value cannot be null . |||",String A MIME type for the content or null if the URL is invalid or the type is unknown |||,1,This class provides applications access to the content model.,"Contains classes for accessing and publishing data on a device.  It includes three main
 categories of APIs: Content sharing ( android.content ) For sharing content between application components. The most important classes are:
      ContentProvider  and  ContentResolver 
   for managing and publishing persistent data associated with an application. Intent  and  IntentFilter  for delivering
   structured messages between different application components—allowing components to initiate
   other components and return results. Package management ( android.content.pm ) For accessing information about an Android package (an  .apk ) including information
 about its activities permissions services signatures and providers. The most important class for
 accessing this information is  PackageManager . Resource management ( android.content.res ) For retrieving resource data associated with an application such as strings drawables
 media and device configuration details. The most important class for accessing this data is  Resources .",,,,,,,
<android.app.AlertDialog: void setMessage(CharSequence)>,,message CharSequence |||,void,1,"A subclass of Dialog that can display one two or three buttons. If you only want to
 display a String in this dialog box use the setMessage() method.  If you
 want to display a more complex view look up the FrameLayout called ""custom""
 and add your view to it:

  
 FrameLayout fl = findViewById(android.R.id.custom);
 fl.addView(myView new LayoutParams(MATCH_PARENT WRAP_CONTENT));
  The AlertDialog class takes care of automatically setting
  WindowManager.LayoutParams.FLAG_ALT_FOCUSABLE_IM  for you based on whether
 any views in the dialog return true from  View#onCheckIsTextEditor() .  Generally you want this set for a Dialog
 without text editors so that it will be placed on top of the current
 input method UI.  You can modify this behavior by forcing the flag to your
 desired mode after calling  onCreate(Bundle) .","Contains high-level classes encapsulating the overall Android application model. An Android application is defined using one or more of Android's four core application
 components. Two such application components are defined in this package:  Activity  and  Service . The other two components are from the  android.content  package:  BroadcastReceiver  and  ContentProvider . An  Activity  is an application component that provides a screen with which
 users can interact in order to do something such as dial the phone take a photo send an email or
 view a map. An activity can start other activities including activities that live in separate
 applications. A  Service  is an application component that can perform
 long-running operations in the background without a user interface. For example a service
 can handle network transactions play music or work with a content provider without the user being
 aware of the work going on. The  Fragment  class is also an important part of an application's
 design—especially when designing for large screen devices such as tablets. A fragment defines
 a distinct part of an activity's behavior including the associated UI. It has its own lifecycle
 that is similar to that of the activity and can exist alongside other fragments that are embedded in
 the activity. While an activity is running you can add and remove fragments and include each
 fragment in a back stack that's managed by the activity—allowing the user to navigate
 backwards through the fragment states without leaving the activity. This package also defines application utilities such as dialogs notifications and the
 action bar. For information about using some the classes in this package see the following
 documents:  Activities   Services   Fragments   Using the Action Bar   Creating Dialogs  and  Notifying the User .",,,,,,,
"<android.widget.SimpleCursorTreeAdapter: void setViewText(TextView,String)>","Called by bindView() to set the text for a TextView but only if
 there is no existing ViewBinder or if the existing ViewBinder cannot
 handle binding to a TextView.

 Intended to be overridden by Adapters that need to filter strings
 retrieved from the database.","v TextView : TextView to receive text |||
text String : the text to be set for the TextView |||",void,5,"An easy adapter to map columns from a cursor to TextViews or ImageViews
 defined in an XML file. You can specify which columns you want which views
 you want to display the columns and the XML file that defines the appearance
 of these views. Separate XML files for child and groups are possible.

 Binding occurs in two phases. First if a
  SimpleCursorTreeAdapter.ViewBinder  is available
  ViewBinder#setViewValue(android.view.View android.database.Cursor int) 
 is invoked. If the returned value is true binding has occurred. If the
 returned value is false and the view to bind is a TextView
  setViewText(android.widget.TextView java.lang.String)  is invoked. If the returned value
 is false and the view to bind is an ImageView
  setViewImage(android.widget.ImageView java.lang.String)  is invoked. If no appropriate
 binding can be found an  IllegalStateException  is thrown.","The widget package contains (mostly visual) UI elements to use
 on your Application screen. You can also design your own.
  
 To create your own widget extend  View  or a subclass. To
 use your widget in layout XML there are two additional files for you to
 create. Here is a list of files you'll need to create to implement a custom
 widget:
  Java implementation file  - This is the file that implements the
 behavior of the widget. If you can instantiate the object from layout XML
 you will also have to code a constructor that retrieves all the attribute
 values from the layout XML file. XML definition file  - An XML file in res/values/ that defines
 the XML element used to instantiate your widget and the attributes that it
 supports. Other applications will use this element and attributes in their in
 another in their layout XML. Layout XML  [ optional ]- An optional XML file inside
 res/layout/ that describes the layout of your widget. You could also do
 this in code in your Java file. 
 ApiDemos sample application has an example of creating a custom layout XML
 tag LabelView. See the following files that demonstrate implementing and using
 a custom widget:
  LabelView.java  - The implementation file res/values/attrs.xml  - Definition file res/layout/custom_view_1.xml  - Layout file",,,,,,,
<android.net.http.SslCertificate: Bundle saveState(SslCertificate)>,Saves the certificate state to a bundle,certificate SslCertificate : The SSL certificate to store |||,Bundle A bundle with the certificate stored in it or null if fails |||,1,SSL certificate info (certificate details) class,,,,,,,,
<android.view.SurfaceView: void setVisibility(int)>,Set the visibility state of this view.,"visibility int : One of View.VISIBLE  View.INVISIBLE or View.GONE .
Value is View.VISIBLE  View.INVISIBLE or View.GONE |||",void,1,"Handle onto a raw buffer that is being managed by the screen compositor.

  A Surface is generally created by or from a consumer of image buffers (such as a
  SurfaceTexture   MediaRecorder  or
  Allocation ) and is handed to some kind of producer (such as
  OpenGL 
  MediaPlayer  or
  CameraDevice ) to draw
 into. Note:  A Surface acts like a
  weak reference  to the consumer it is associated with. By
 itself it will not keep its parent consumer from being reclaimed.",,,,,,,,
"<android.preference.PreferenceActivity: void finishPreferencePanel(Fragment,int,Intent)>",Called by a preference panel fragment to finish itself.,"caller Fragment : The fragment that is asking to be finished. |||
resultCode int : Optional result code to send back to the original
launching fragment. |||
resultData Intent : Optional result data to send back to the original
launching fragment. |||",void,11,"This is the base class for an activity to show a hierarchy of preferences
 to the user.  Prior to  Build.VERSION_CODES.HONEYCOMB 
 this class only allowed the display of a single set of preference; this
 functionality should now be found in the new  PreferenceFragment 
 class.  If you are using PreferenceActivity in its old mode the documentation
 there applies to the deprecated APIs here.

  This activity shows one or more headers of preferences each of which
 is associated with a  PreferenceFragment  to display the preferences
 of that header.  The actual layout and display of these associations can
 however vary; currently there are two major approaches it may take:

  On a small screen it may display only the headers as a single list when first launched.
 Selecting one of the header items will only show the PreferenceFragment of that header (on
 Android N and lower a new Activity is launched).
  On a large screen it may display both the headers and current PreferenceFragment together as
 panes. Selecting a header item switches to showing the correct PreferenceFragment for that item.
  Subclasses of PreferenceActivity should implement
  onBuildHeaders(List )  to populate the header list with the desired
 items.  Doing this implicitly switches the class into its new ""headers
 + fragments"" mode rather than the old style of just showing a single
 preferences list.",,,,,,,,
"<android.content.res.Resources: CharSequence getQuantityText(int,int)>","Returns the character sequence necessary for grammatically correct pluralization
 of the given resource ID for the given quantity.
 Note that the character sequence is selected based solely on grammatical necessity
 and that such rules differ between languages. Do not assume you know which string
 will be returned for a given quantity. See String Resources for more detail.","id int : The desired resource identifier as generated by the aapt
tool. This integer encodes the package type and resource
entry. The value 0 is an invalid identifier. |||
quantity int : The number used to get the correct string for the current language's
plural rules. |||","CharSequence CharSequence The string data associated with the resource plus
         possibly styled text information.
 
 This value cannot be null . |||",1,"Class for accessing an application's resources.  This sits on top of the
 asset manager of the application (accessible through  getAssets() ) and
 provides a high-level API for getting typed data from the assets.

  The Android resource system keeps track of all non-code assets associated with an
 application. You can use this class to access your application's resources. You can generally
 acquire the  Resources  instance associated with your application
 with  getResources() . The Android SDK tools compile your application's resources into the application binary
 at build time.  To use a resource you must install it correctly in the source tree (inside
 your project's  res/  directory) and build your application.  As part of the build
 process the SDK tools generate symbols for each resource which you can use in your application
 code to access the resources. Using application resources makes it easy to update various characteristics of your
 application without modifying code and—by providing sets of alternative
 resources—enables you to optimize your application for a variety of device configurations
 (such as for different languages and screen sizes). This is an important aspect of developing
 Android applications that are compatible on different types of devices. For more information about using resources see the documentation about  Application Resources .","Contains classes for accessing and publishing data on a device.  It includes three main
 categories of APIs: Content sharing ( android.content ) For sharing content between application components. The most important classes are:
      ContentProvider  and  ContentResolver 
   for managing and publishing persistent data associated with an application. Intent  and  IntentFilter  for delivering
   structured messages between different application components—allowing components to initiate
   other components and return results. Package management ( android.content.pm ) For accessing information about an Android package (an  .apk ) including information
 about its activities permissions services signatures and providers. The most important class for
 accessing this information is  PackageManager . Resource management ( android.content.res ) For retrieving resource data associated with an application such as strings drawables
 media and device configuration details. The most important class for accessing this data is  Resources .",,,,,,,
<android.text.Selection: void removeSelection(Spannable)>,Remove the selection or cursor if any from the text.,text Spannable |||,void,1,"Utility class for manipulating cursors and selections in CharSequences.
 A cursor is a selection where the start and end are at the same offset.","Provides classes used to render or track text and text spans on the screen. You can use these classes to design your own widgets that manage text
 to handle arbitrary text spans for changes or to handle drawing yourself
 for an existing widget. The Span… interfaces and classes are used to create or manage spans of
 text in a View item. You can use these to style the text or background or to
 listen for changes. If creating your own widget extend DynamicLayout to manages
 the actual wrapping and drawing of your text.",,,,,,,
<android.widget.TextView: void setGravity(int)>,"Sets the horizontal alignment of the text and the
 vertical gravity that will be used when there is extra space
 in the TextView beyond what is required for the text itself. Related XML Attributes: android:gravity",gravity int |||,void,1,"A user interface element that displays text to the user.
 To provide user-editable text see  EditText .
  
 The following code sample shows a typical use with an XML layout
 and code to modify the contents of the text view:
  
 <LinearLayout
      xmlns:android=""http://schemas.android.com/apk/res/android""
      android:layout_width=""match_parent""
      android:layout_height=""match_parent"">
    <TextView
        android:id=""@+id/text_view_id""
        android:layout_height=""wrap_content""
        android:layout_width=""wrap_content""
        android:text=""@string/hello"" />
 </LinearLayout>
  
 This code sample demonstrates how to modify the contents of the text view
 defined in the previous XML layout:
  
 public class MainActivity extends Activity {

    protected void onCreate(Bundle savedInstanceState) {
         super.onCreate(savedInstanceState);
         setContentView(R.layout.activity_main);
         final TextView helloTextView = (TextView) findViewById(R.id.text_view_id);
         helloTextView.setText(R.string.user_greeting);
     }
 }
  
 To customize the appearance of TextView see  Styles and Themes .
  XML attributes 
 See  TextView Attributes 
  View Attributes","The widget package contains (mostly visual) UI elements to use
 on your Application screen. You can also design your own.
  
 To create your own widget extend  View  or a subclass. To
 use your widget in layout XML there are two additional files for you to
 create. Here is a list of files you'll need to create to implement a custom
 widget:
  Java implementation file  - This is the file that implements the
 behavior of the widget. If you can instantiate the object from layout XML
 you will also have to code a constructor that retrieves all the attribute
 values from the layout XML file. XML definition file  - An XML file in res/values/ that defines
 the XML element used to instantiate your widget and the attributes that it
 supports. Other applications will use this element and attributes in their in
 another in their layout XML. Layout XML  [ optional ]- An optional XML file inside
 res/layout/ that describes the layout of your widget. You could also do
 this in code in your Java file. 
 ApiDemos sample application has an example of creating a custom layout XML
 tag LabelView. See the following files that demonstrate implementing and using
 a custom widget:
  LabelView.java  - The implementation file res/values/attrs.xml  - Definition file res/layout/custom_view_1.xml  - Layout file",,,,,,,
