,Description,Parameters,Return,ApiLevel,ClassDescription,PackageDescription,sensitive data?,shared resource?,sensitive shared resource?,produces sensitive data from shared resource?,writes sensitive data to shared resource?,Source?,Sink?,Needs Clarification
<android.view.LayoutInflater: LayoutInflater from(Context)>,Obtains the LayoutInflater from the given context.,context Context |||,LayoutInflater |||,1,"Instantiates a layout XML file into its corresponding  View 
 objects. It is never used directly. Instead use
  Activity.getLayoutInflater()  or
  Context#getSystemService  to retrieve a standard LayoutInflater instance
 that is already hooked up to the current context and correctly configured
 for the device you are running on.

  
 To create a new LayoutInflater with an additional  Factory  for your
 own views you can use  cloneInContext(Context)  to clone an existing
 ViewFactory and then call  setFactory(LayoutInflater.Factory)  on it to include your
 Factory.

  
 For performance reasons view inflation relies heavily on pre-processing of
 XML files that is done at build time. Therefore it is not currently possible
 to use LayoutInflater with an XmlPullParser over a plain XML file at runtime;
 it only works with an XmlPullParser returned from a compiled resource
 (R. something  file.)",,no,no,0,no,no,no,no,
<android.app.DialogFragment: Dialog onCreateDialog(Bundle)>,"Override to build your own custom Dialog container.  This is typically
 used to show an AlertDialog instead of a generic Dialog; when doing so Fragment.onCreateView(android.view.LayoutInflater android.view.ViewGroup android.os.Bundle) does not need
 to be implemented since the AlertDialog takes care of its own content. This method will be called after onCreate(android.os.Bundle) and
 before Fragment.onCreateView(android.view.LayoutInflater android.view.ViewGroup android.os.Bundle) .  The
 default implementation simply instantiates and returns a Dialog class. Note: DialogFragment own the Dialog#setOnCancelListener and Dialog#setOnDismissListener callbacks.  You must not set them yourself. To find out about these events override onCancel(android.content.DialogInterface) and onDismiss(android.content.DialogInterface) .","savedInstanceState Bundle : The last saved instance state of the Fragment
or null if this is a freshly created Fragment. |||",Dialog Return a new Dialog instance to be displayed by the Fragment. |||,11,"Base class for Dialogs.

  Note: Activities provide a facility to manage the creation saving and
 restoring of dialogs. See  Activity#onCreateDialog(int) 
  Activity#onPrepareDialog(int Dialog) 
  Activity#showDialog(int)  and  Activity#dismissDialog(int) . If
 these methods are used  getOwnerActivity()  will return the Activity
 that managed this dialog.

  Often you will want to have a Dialog display on top of the current
 input method because there is no reason for it to accept text.  You can
 do this by setting the  WindowManager.LayoutParams#FLAG_ALT_FOCUSABLE_IM  window flag (assuming
 your Dialog takes input focus as it the default) with the following code:

  
 getWindow().setFlags(WindowManager.LayoutParams.FLAG_ALT_FOCUSABLE_IM
         WindowManager.LayoutParams.FLAG_ALT_FOCUSABLE_IM);","Contains high-level classes encapsulating the overall Android application model. An Android application is defined using one or more of Android's four core application
 components. Two such application components are defined in this package:  Activity  and  Service . The other two components are from the  android.content  package:  BroadcastReceiver  and  ContentProvider . An  Activity  is an application component that provides a screen with which
 users can interact in order to do something such as dial the phone take a photo send an email or
 view a map. An activity can start other activities including activities that live in separate
 applications. A  Service  is an application component that can perform
 long-running operations in the background without a user interface. For example a service
 can handle network transactions play music or work with a content provider without the user being
 aware of the work going on. The  Fragment  class is also an important part of an application's
 design—especially when designing for large screen devices such as tablets. A fragment defines
 a distinct part of an activity's behavior including the associated UI. It has its own lifecycle
 that is similar to that of the activity and can exist alongside other fragments that are embedded in
 the activity. While an activity is running you can add and remove fragments and include each
 fragment in a back stack that's managed by the activity—allowing the user to navigate
 backwards through the fragment states without leaving the activity. This package also defines application utilities such as dialogs notifications and the
 action bar. For information about using some the classes in this package see the following
 documents:  Activities   Services   Fragments   Using the Action Bar   Creating Dialogs  and  Notifying the User .",uncategorized,UI,1,no,yes,no,SINK,
<android.hardware.usb.UsbManager: UsbAccessory getAccessoryList()>,"Returns a list of currently attached USB accessories.
 (in the current implementation there can be at most one) Requires the PackageManager#FEATURE_USB_ACCESSORY feature which can be detected using PackageManager.hasSystemFeature(String) .",,UsbAccessory[] list of USB accessories or null if none are attached. |||,12,"This class allows you to access the state of USB and communicate with USB devices.
 Currently only host mode is supported in the public API.","Provides support to communicate with USB hardware peripherals that are connected to
 Android-powered devices. For more information see the
  USB  guide. Use  UsbManager  to access the state of the USB and to
 communicate with connected hardware peripherals. Use  UsbDevice  to
 communicate with the hardware peripheral if the Android-powered device is acting as the USB host.
 Use  UsbAccessory  if the peripheral is acting as the USB host.",usb metadata,usb,1,yes,no,SOURCE,no,
"<android.app.Dialog: void setFeatureDrawableAlpha(int,int)>",Convenience for calling Window.setFeatureDrawableAlpha(int int) .,"featureId int |||
alpha int |||",void,1,"Base class for Dialogs.

  Note: Activities provide a facility to manage the creation saving and
 restoring of dialogs. See  Activity#onCreateDialog(int) 
  Activity#onPrepareDialog(int Dialog) 
  Activity#showDialog(int)  and  Activity#dismissDialog(int) . If
 these methods are used  getOwnerActivity()  will return the Activity
 that managed this dialog.

  Often you will want to have a Dialog display on top of the current
 input method because there is no reason for it to accept text.  You can
 do this by setting the  WindowManager.LayoutParams#FLAG_ALT_FOCUSABLE_IM  window flag (assuming
 your Dialog takes input focus as it the default) with the following code:

  
 getWindow().setFlags(WindowManager.LayoutParams.FLAG_ALT_FOCUSABLE_IM
         WindowManager.LayoutParams.FLAG_ALT_FOCUSABLE_IM);","Contains high-level classes encapsulating the overall Android application model. An Android application is defined using one or more of Android's four core application
 components. Two such application components are defined in this package:  Activity  and  Service . The other two components are from the  android.content  package:  BroadcastReceiver  and  ContentProvider . An  Activity  is an application component that provides a screen with which
 users can interact in order to do something such as dial the phone take a photo send an email or
 view a map. An activity can start other activities including activities that live in separate
 applications. A  Service  is an application component that can perform
 long-running operations in the background without a user interface. For example a service
 can handle network transactions play music or work with a content provider without the user being
 aware of the work going on. The  Fragment  class is also an important part of an application's
 design—especially when designing for large screen devices such as tablets. A fragment defines
 a distinct part of an activity's behavior including the associated UI. It has its own lifecycle
 that is similar to that of the activity and can exist alongside other fragments that are embedded in
 the activity. While an activity is running you can add and remove fragments and include each
 fragment in a back stack that's managed by the activity—allowing the user to navigate
 backwards through the fragment states without leaving the activity. This package also defines application utilities such as dialogs notifications and the
 action bar. For information about using some the classes in this package see the following
 documents:  Activities   Services   Fragments   Using the Action Bar   Creating Dialogs  and  Notifying the User .",no,UI,0,no,no,no,no,
"<android.nfc.NfcAdapter: void setNdefPushMessage(NdefMessage,Activity,Activity)>","This method was deprecated
      in API level 29. this feature is deprecated. File sharing can work using other technology like
 Bluetooth. Set a static NdefMessage to send using Android Beam (TM). This method may be called at any time before Activity#onDestroy but the NDEF message is only made available for NDEF push when the
 specified activity(s) are in resumed (foreground) state. The recommended
 approach is to call this method during your Activity's Activity#onCreate - see sample
 code below. This method does not immediately perform any I/O or blocking work
 so is safe to call on your main thread. Only one NDEF message can be pushed by the currently resumed activity.
 If both setNdefPushMessage(NdefMessage Activity Activity...) and setNdefPushMessageCallback(NfcAdapter.CreateNdefMessageCallback Activity Activity...) are set then
 the callback will take priority. If neither setNdefPushMessage(NdefMessage Activity Activity...) or setNdefPushMessageCallback(NfcAdapter.CreateNdefMessageCallback Activity Activity...) have been called for your activity then
 the Android OS may choose to send a default NDEF message on your behalf
 such as a URI for your application. If setNdefPushMessage(NdefMessage Activity Activity...) is called with a null NDEF message
 and/or setNdefPushMessageCallback(NfcAdapter.CreateNdefMessageCallback Activity Activity...) is called with a null callback
 then NDEF push will be completely disabled for the specified activity(s).
 This also disables any default NDEF message the Android OS would have
 otherwise sent on your behalf for those activity(s). If you want to prevent the Android OS from sending default NDEF
 messages completely (for all activities) you can include a <meta-data> element inside the <application> element of your AndroidManifest.xml file like this: The API allows for multiple activities to be specified at a time
 but it is strongly recommended to just register one at a time
 and to do so during the activity's Activity#onCreate . For example: If your Activity wants to dynamically generate an NDEF message
 then set a callback using setNdefPushMessageCallback(NfcAdapter.CreateNdefMessageCallback Activity Activity...) instead
 of a static message. Do not pass in an Activity that has already been through Activity#onDestroy . This is guaranteed if you call this API
 during Activity#onCreate . For sending large content such as pictures and songs
 consider using setBeamPushUris(Uri[] Activity) which switches to alternate transports
 such as Bluetooth to achieve a fast transfer rate. Requires the Manifest.permission.NFC permission.","message NdefMessage : NDEF message to push over NFC or null to disable |||
activity Activity : activity for which the NDEF message will be pushed |||
activities Activity : optional additional activities however we strongly recommend
to only register one at a time and to do so in that activity's Activity#onCreate |||",void,14,"Represents the local NFC adapter.
  
 Use the helper  getDefaultAdapter(android.content.Context)  to get the default NFC
 adapter for this Android device.","Provides access to Near Field Communication (NFC) functionality allowing applications to read
 NDEF message in NFC tags. A ""tag"" may actually be another device that appears as a tag. For more information see the
  Near Field Communication  guide. Here's a summary of the classes: NfcManager This is the high level manager used to obtain this device's  NfcAdapter . You can
 acquire an instance using  getSystemService(Class ) . NfcAdapter This represents the device's NFC adapter which is your entry-point to performing NFC
 operations. You can acquire an instance with  getDefaultAdapter()  or
  getDefaultAdapter(android.content.Context) . NdefMessage Represents an NDEF data message which is the standard format in which ""records""
 carrying data are transmitted between devices and tags. Your application can receive these
 messages from an  ACTION_TAG_DISCOVERED  intent. NdefRecord Represents a record which is delivered in a  NdefMessage  and describes the
 type of data being shared and carries the data itself. Note: 
 Not all Android-powered devices provide NFC functionality.",nfc message,nfc,1,no,yes,no,SINK,
<android.database.sqlite.SQLiteDatabase: void setMaxSqlCacheSize(int)>,"Sets the maximum size of the prepared-statement cache for this database.
 (size of the cache = number of compiled-sql-statements stored in the cache). Maximum cache size can ONLY be increased from its current size (default = 10).
 If this method is called with smaller size than the current maximum value
 then IllegalStateException is thrown. This method is thread-safe.",cacheSize int : the size of the cache. can be (0 to MAX_SQL_CACHE_SIZE ) |||,void,11,"Exposes methods to manage a SQLite database.

  
 SQLiteDatabase has methods to create delete execute SQL commands and
 perform other common database management tasks.
  
 See the Notepad sample application in the SDK for an example of creating
 and managing a database.
  
 Database names must be unique within an application not across all applications.
  Localized Collation - ORDER BY 
 In addition to SQLite's default  BINARY  collator Android supplies
 two more  LOCALIZED  which changes with the system's current locale
 and  UNICODE  which is the Unicode Collation Algorithm and not tailored
 to the current locale.","If you need to manage data in a private database use the  android.database.sqlite  classes. These classes are used to manage the  Cursor  object returned from a content provider query. Databases
 are usually created and opened with  openOrCreateDatabase(String int SQLiteDatabase.CursorFactory) 
 To make requests through
 content providers you can use the  content.ContentResolver  class.
  All databases are stored on the device in  /data/data/<package_name>/databases",no,database,0,no,no,no,no,
"<android.text.method.QwertyKeyListener: void markAsReplaced(Spannable,int,int,String)>","Marks the specified region of content as having
 contained original prior to AutoText replacement.
 Call this method when you have done or are about to do an
 AutoText-style replacement on a region of text and want to let
 the same mechanism (the user pressing DEL immediately after the
 change) undo the replacement.","content Spannable : the Editable text where the replacement was made |||
start int : the start of the replaced region |||
end int : the end of the replaced region; the location of the cursor |||
original String : the text to be restored if the user presses DEL |||",void,1,"This is the standard key listener for alphabetic input on qwerty
 keyboards.  You should generally not need to instantiate this yourself;
 TextKeyListener will do it for you.
  KeyListener","Provides classes that monitor or modify keypad input. You can use these classes to modify the type of keypad entry
 for your application or decipher the keypresses entered for your specific
 entry method. For example: 
 // Set the text to password display style:
 EditText txtView = (EditText)findViewById(R.id.text);
 txtView.setTransformationMethod(PasswordTransformationMethod.getInstance());

 //Set the input style to numbers rather than qwerty keyboard style.
 txtView.setInputMethod(DigitsInputMethod.getInstance());

 // Find out whether the caps lock is on.
 // 0 is no 1 is yes 2 is caps lock on.
 int active = MultiTapInputMethod.getCapsActive(txtView.getText());",no,UI,0,no,no,no,no,
<android.app.ActivityManager: ConfigurationInfo getDeviceConfigurationInfo()>,Get the device configuration attributes.,,ConfigurationInfo |||,3,"An activity is a single focused thing that the user can do.  Almost all
 activities interact with the user so the Activity class takes care of
 creating a window for you in which you can place your UI with
  setContentView(View) .  While activities are often presented to the user
 as full-screen windows they can also be used in other ways: as floating
 windows (via a theme with  R.attr.windowIsFloating  set)
  
 Multi-Window mode  or embedded into other windows.

 There are two methods almost all subclasses of Activity will implement:

  onCreate(Bundle)  is where you initialize your activity.  Most
     importantly here you will usually call  setContentView(int) 
     with a layout resource defining your UI and using  findViewById(int) 
     to retrieve the widgets in that UI that you need to interact with
     programmatically.

      onPause()  is where you deal with the user pausing active
     interaction with the activity. Any changes made by the user should at
     this point be committed (usually to the
      ContentProvider  holding the data). In this
     state the activity is still visible on screen.
  To be of use with  Context.startActivity()  all
 activity classes must have a corresponding
  <activity> 
 declaration in their package's  AndroidManifest.xml . Topics covered here:
  Fragments Activity Lifecycle Configuration Changes Starting Activities and Getting Results Saving Persistent State Permissions Process Lifecycle","Contains high-level classes encapsulating the overall Android application model. An Android application is defined using one or more of Android's four core application
 components. Two such application components are defined in this package:  Activity  and  Service . The other two components are from the  android.content  package:  BroadcastReceiver  and  ContentProvider . An  Activity  is an application component that provides a screen with which
 users can interact in order to do something such as dial the phone take a photo send an email or
 view a map. An activity can start other activities including activities that live in separate
 applications. A  Service  is an application component that can perform
 long-running operations in the background without a user interface. For example a service
 can handle network transactions play music or work with a content provider without the user being
 aware of the work going on. The  Fragment  class is also an important part of an application's
 design—especially when designing for large screen devices such as tablets. A fragment defines
 a distinct part of an activity's behavior including the associated UI. It has its own lifecycle
 that is similar to that of the activity and can exist alongside other fragments that are embedded in
 the activity. While an activity is running you can add and remove fragments and include each
 fragment in a back stack that's managed by the activity—allowing the user to navigate
 backwards through the fragment states without leaving the activity. This package also defines application utilities such as dialogs notifications and the
 action bar. For information about using some the classes in this package see the following
 documents:  Activities   Services   Fragments   Using the Action Bar   Creating Dialogs  and  Notifying the User .",preferences,preference storage file,1,yes,no,SOURCE,no,
"<android.media.SoundPool: int load(Context,int,int)>","Load the sound from the specified APK resource.

 Note that the extension is dropped. For example if you want to load
 a sound from the raw resource file ""explosion.mp3"" you would specify
 ""R.raw.explosion"" as the resource ID. Note that this means you cannot
 have both an ""explosion.wav"" and an ""explosion.mp3"" in the res/raw
 directory.","context Context : the application context |||
resId int : the resource ID |||
priority int : the priority of the sound. Currently has no effect. Use
a value of 1 for future compatibility. |||",int a sound ID. This value can be used to play or unload the sound. |||,1,"The SoundPool class manages and plays audio resources for applications.

  A SoundPool is a collection of samples that can be loaded into memory
 from a resource inside the APK or from a file in the file system. The
 SoundPool library uses the MediaPlayer service to decode the audio
 into a raw 16-bit PCM mono or stereo stream. This allows applications
 to ship with compressed streams without having to suffer the CPU load
 and latency of decompressing during playback. In addition to low-latency playback SoundPool can also manage the number
 of audio streams being rendered at once. When the SoundPool object is
 constructed the maxStreams parameter sets the maximum number of streams
 that can be played at a time from this single SoundPool. SoundPool tracks
 the number of active streams. If the maximum number of streams is exceeded
 SoundPool will automatically stop a previously playing stream based first
 on priority and then by age within that priority. Limiting the maximum
 number of streams helps to cap CPU loading and reducing the likelihood that
 audio mixing will impact visuals or UI performance. Sounds can be looped by setting a non-zero loop value. A value of -1
 causes the sound to loop forever. In this case the application must
 explicitly call the stop() function to stop the sound. Any other non-zero
 value will cause the sound to repeat the specified number of times e.g.
 a value of 3 causes the sound to play a total of 4 times. The playback rate can also be changed. A playback rate of 1.0 causes
 the sound to play at its original frequency (resampled if necessary
 to the hardware output frequency). A playback rate of 2.0 causes the
 sound to play at twice its original frequency and a playback rate of
 0.5 causes it to play at half its original frequency. The playback
 rate range is 0.5 to 2.0. Priority runs low to high i.e. higher numbers are higher priority.
 Priority is used when a call to play() would cause the number of active
 streams to exceed the value established by the maxStreams parameter when
 the SoundPool was created. In this case the stream allocator will stop
 the lowest priority stream. If there are multiple streams with the same
 low priority it will choose the oldest stream to stop. In the case
 where the priority of the new stream is lower than all the active
 streams the new sound will not play and the play() function will return
 a streamID of zero. Let's examine a typical use case: A game consists of several levels of
 play. For each level there is a set of unique sounds that are used only
 by that level. In this case the game logic should create a new SoundPool
 object when the first level is loaded. The level data itself might contain
 the list of sounds to be used by this level. The loading logic iterates
 through the list of sounds calling the appropriate SoundPool.load()
 function. This should typically be done early in the process to allow time
 for decompressing the audio to raw PCM format before they are needed for
 playback. Once the sounds are loaded and play has started the application can
 trigger sounds by calling SoundPool.play(). Playing streams can be
 paused or resumed and the application can also alter the pitch by
 adjusting the playback rate in real-time for doppler or synthesis
 effects. Note that since streams can be stopped due to resource constraints the
 streamID is a reference to a particular instance of a stream. If the stream
 is stopped to allow a higher priority stream to play the stream is no
 longer valid. However the application is allowed to call methods on
 the streamID without error. This may help simplify program logic since
 the application need not concern itself with the stream lifecycle. In our example when the player has completed the level the game
 logic should call SoundPool.release() to release all the native resources
 in use and then set the SoundPool reference to null. If the player starts
 another level a new SoundPool is created sounds are loaded and play
 resumes.","The Media APIs are used to play and in some cases record media files. This includes
 audio (e.g. play MP3s or other music files ringtones game sound effects or DTMF tones)
 and video (e.g. play a video streamed over the web or from local storage).
  Other special classes in the package offer the ability to detect the faces of people
 in Bitmaps ( FaceDetector ) control audio routing (to the device or a headset)
 and control alerts such as ringtones and phone vibrations ( AudioManager ).",no,no,0,no,no,no,no,
"<android.content.ContentProvider: int bulkInsert(Uri,ContentValues)>","Override this to handle requests to insert a set of new rows or the
 default implementation will iterate over the values and call insert(Uri ContentValues) on each of them.
 As a courtesy call ContentResolver#notifyChange(android.net.Uri android.database.ContentObserver) after inserting.
 This method can be called from multiple threads as described in Processes
 and Threads .","uri Uri : The content:// URI of the insertion request.
This value must never be null . |||
values ContentValues : An array of sets of column_name/value pairs to add to the database.
This must not be null .
This value must never be null . |||",int The number of values that were inserted. |||,1,"Content providers are one of the primary building blocks of Android applications providing
 content to applications. They encapsulate data and provide it to applications through the single
  ContentResolver  interface. A content provider is only required if you need to share
 data between multiple applications. For example the contacts data is used by multiple
 applications and must be stored in a content provider. If you don't need to share data amongst
 multiple applications you can use a database directly via
  SQLiteDatabase .

  When a request is made via
 a  ContentResolver  the system inspects the authority of the given URI and passes the
 request to the content provider registered with the authority. The content provider can interpret
 the rest of the URI however it wants. The  UriMatcher  class is helpful for parsing
 URIs. The primary methods that need to be implemented are:
  onCreate()  which is called to initialize the provider query(Uri String[] Bundle CancellationSignal)  which returns data to the caller insert(Uri ContentValues)  which inserts new data into the content provider update(Uri ContentValues String String[])  which updates existing data in the content provider delete(Uri String String[])  which deletes data from the content provider getType(Uri)  which returns the MIME type of data in the content provider Requests to  ContentResolver  are automatically forwarded to the appropriate
 ContentProvider instance so subclasses don't have to worry about the details of
 cross-process calls.","Contains classes for accessing and publishing data on a device.  It includes three main
 categories of APIs: Content sharing ( android.content ) For sharing content between application components. The most important classes are:
      ContentProvider  and  ContentResolver 
   for managing and publishing persistent data associated with an application. Intent  and  IntentFilter  for delivering
   structured messages between different application components—allowing components to initiate
   other components and return results. Package management ( android.content.pm ) For accessing information about an Android package (an  .apk ) including information
 about its activities permissions services signatures and providers. The most important class for
 accessing this information is  PackageManager . Resource management ( android.content.res ) For retrieving resource data associated with an application such as strings drawables
 media and device configuration details. The most important class for accessing this data is  Resources .",database data,database,1,no,yes,no,SINK,
<android.content.Intent: Parcelable getParcelableArrayExtra(String)>,Retrieve extended data from the intent.,name String : The name of the desired item. |||,"Parcelable[] the value of an item previously added with putExtra()
 or null if no Parcelable[] value was found. |||",1,"An intent is an abstract description of an operation to be performed.  It
 can be used with  Context#startActivity(Intent)  to
 launch an  Activity 
  broadcastIntent  to
 send it to any interested  BroadcastReceiver  components
 and  Context.startService(Intent)  or
  Context.bindService(Intent ServiceConnection int)  to communicate with a
 background  Service .

  An Intent provides a facility for performing late runtime binding between the code in
 different applications. Its most significant use is in the launching of activities where it
 can be thought of as the glue between activities. It is basically a passive data structure
 holding an abstract description of an action to be performed.","Contains classes for accessing and publishing data on a device.  It includes three main
 categories of APIs: Content sharing ( android.content ) For sharing content between application components. The most important classes are:
      ContentProvider  and  ContentResolver 
   for managing and publishing persistent data associated with an application. Intent  and  IntentFilter  for delivering
   structured messages between different application components—allowing components to initiate
   other components and return results. Package management ( android.content.pm ) For accessing information about an Android package (an  .apk ) including information
 about its activities permissions services signatures and providers. The most important class for
 accessing this information is  PackageManager . Resource management ( android.content.res ) For retrieving resource data associated with an application such as strings drawables
 media and device configuration details. The most important class for accessing this data is  Resources .",IPC,no,0,no,no,no,no,
<android.view.inputmethod.InputMethodManager: void restartInput(View)>,"If the input method is currently connected to the given view
 restart it with its new contents.  You should call this when the text
 within your view changes outside of the normal input method or key
 input flow such as when an application calls TextView.setText().",view View : The view whose text has changed. |||,void,3,"Central system API to the overall input method framework (IMF) architecture
 which arbitrates interaction between applications and the current input method.

  Topics covered here:
  Architecture Overview Applications Input Methods Security Architecture Overview There are three primary parties involved in the input method
 framework (IMF) architecture:  The  input method manager  as expressed by this class
 is the central point of the system that manages interaction between all
 other parts.  It is expressed as the client-side API here which exists
 in each application context and communicates with a global system service
 that manages the interaction across all processes.
   An  input method (IME)  implements a particular
 interaction model allowing the user to generate text.  The system binds
 to the current input method that is in use causing it to be created and run
 and tells it when to hide and show its UI.  Only one IME is running at a time.
   Multiple  client applications  arbitrate with the input
 method manager for input focus and control over the state of the IME.  Only
 one such client is ever active (working with the IME) at a time.
  Applications In most cases applications that are using the standard
  TextView  or its subclasses will have little they need
 to do to work well with soft input methods.  The main things you need to
 be aware of are:  Properly set the  R.attr.inputType  in your editable
 text views so that the input method will have enough context to help the
 user in entering text into them.
   Deal well with losing screen space when the input method is
 displayed.  Ideally an application should handle its window being resized
 smaller but it can rely on the system performing panning of the window
 if needed.  You should set the  R.attr.windowSoftInputMode 
 attribute on your activity or the corresponding values on windows you
 create to help the system determine whether to pan or resize (it will
 try to determine this automatically but may get it wrong).
   You can also control the preferred soft input state (open closed etc)
 for your window using the same  R.attr.windowSoftInputMode 
 attribute.
  More finer-grained control is available through the APIs here to directly
 interact with the IMF and its IME -- either showing or hiding the input
 area letting the user pick an input method etc. For the rare people amongst us writing their own text editors you
 will need to implement  View.onCreateInputConnection(EditorInfo) 
 to return a new instance of your own  InputConnection  interface
 allowing the IME to interact with your editor. Input Methods An input method (IME) is implemented
 as a  Service  typically deriving from
  InputMethodService .  It must provide
 the core  InputMethod  interface though this is normally handled by
  InputMethodService  and implementors will
 only need to deal with the higher-level API there. InputMethodService Security There are a lot of security issues associated with input methods
 since they essentially have freedom to completely drive the UI and monitor
 everything the user enters.  The Android input method framework also allows
 arbitrary third party IMEs so care must be taken to restrict their
 selection and interactions. Here are some key points about the security architecture behind the
 IMF: Only the system is allowed to directly access an IME's
  InputMethod  interface via the
  Manifest.permission.BIND_INPUT_METHOD  permission.  This is
 enforced in the system by not binding to an input method service that does
 not require this permission so the system can guarantee no other untrusted
 clients are accessing the current input method outside of its control. There may be many client processes of the IMF but only one may
 be active at a time.  The inactive clients can not interact with key
 parts of the IMF through the mechanisms described below. Clients of an input method are only given access to its
  InputMethodSession  interface.  One instance of this interface is
 created for each client and only calls from the session associated with
 the active client will be processed by the current IME.  This is enforced
 by  AbstractInputMethodService  for normal
 IMEs but must be explicitly handled by an IME that is customizing the
 raw  InputMethodSession  implementation. Only the active client's  InputConnection  will accept
 operations.  The IMF tells each client process whether it is active and
 the framework enforces that in inactive processes calls on to the current
 InputConnection will be ignored.  This ensures that the current IME can
 only deliver events and text edits to the UI that the user sees as
 being in focus. An IME can never interact with an  InputConnection  while
 the screen is off.  This is enforced by making all clients inactive while
 the screen is off and prevents bad IMEs from driving the UI when the user
 can not be aware of its behavior. A client application can ask that the system let the user pick a
 new IME but can not programmatically switch to one itself.  This avoids
 malicious applications from switching the user to their own IME which
 remains running when the user navigates away to another application.  An
 IME on the other hand  is  allowed to programmatically switch
 the system to another IME since it already has full control of user
 input. The user must explicitly enable a new IME in settings before
 they can switch to it to confirm with the system that they know about it
 and want to make it available for use. PackageManager#FEATURE_INPUT_METHODS PackageManager.hasSystemFeature(String)",,uncategorized,UI,1,no,yes,no,SINK,
