,SS GroundT,Cat GroundT,Description,Return,Parameters,ApiLevel
<android.telecom.CallRedirectionService: IBinder onBind(Intent)>,,,"Return the communication channel to the service.  May return null if
 clients can not bind to the service.  The returned IBinder is usually for a complex interface
 that has been described using
 aidl . Note that unlike other application components calls on to the
 IBinder interface returned here may not happen on the main thread
 of the process .  More information about the main thread can be found in Processes and
 Threads .",IBinder This value may be null . |||,intent Intent : This value must never be null . |||,29.0
<android.graphics.drawable.ColorStateListDrawable: int getAlpha()>,,,"Gets the current alpha value for the drawable. 0 means fully transparent
 255 means fully opaque. This method is implemented by
 Drawable subclasses and the value returned is specific to how that class treats alpha.
 The default return value is 255 if the class does not override this method to return a value
 specific to its use of alpha.",int Value is between 0 and 255 inclusive |||,,29.0
<android.view.textclassifier.TextLanguage.Request: CharSequence getText()>,,,Returns the text to process.,CharSequence This value will never be null . |||,,29.0
<android.media.audiofx.DynamicsProcessing.Limiter: void setAttackTime(float)>,,,sets attack time for limiter compressor in milliseconds (ms),void,attackTime float : desired for limiter compressor in milliseconds (ms) |||,28.0
<android.icu.text.CaseMap: CaseMap.Fold fold()>,,,,CaseMap.Fold Case folding object with default options. |||,,29.0
<android.service.notification.NotificationListenerService: void onSilentStatusBarIconsVisibilityChanged(boolean)>,,,"Implement this method to be notified when the behavior of silent notifications in the status
 bar changes. See NotificationManager#shouldHideSilentStatusBarIcons() .",void,"hideSilentStatusIcons boolean : whether or not status bar icons should be hidden for silent
notifications |||",29.0
"<android.app.slice.Slice: void writeToParcel(Parcel,int)>",,,Flatten this object in to a Parcel.,void,"dest Parcel : The Parcel in which the object should be written. |||
flags int : Additional flags about how the object should be written.
May be 0 or Parcelable.PARCELABLE_WRITE_RETURN_VALUE .
Value is either 0 or a combination of Parcelable.PARCELABLE_WRITE_RETURN_VALUE and android.os.Parcelable.PARCELABLE_ELIDE_DUPLICATES |||",28.0
<android.text.style.LineBackgroundSpan.Standard: int describeContents()>,,,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.","int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||",,29.0
<android.media.audiofx.DynamicsProcessing.MbcBand: void setThreshold(float)>,,,"sets the compressor threshold measured in decibels (dB) from 0 dB Full Scale (dBFS).
 Thresholds are negative. A threshold of 0 dB means no compression will take place.",void,threshold float : desired for compressor in decibels(dB) |||,28.0
<android.telephony.TelephonyManager: int getSimCarrierId()>,,,"Returns carrier id of the current subscription. To recognize a carrier (including MVNO) as a first-class identity Android assigns each
 carrier with a canonical integer a.k.a. carrier id. The carrier ID is an Android
 platform-wide identifier for a carrier. AOSP maintains carrier ID assignments in here Apps which have carrier-specific configurations or business logic can use the carrier id
 as an Android platform-wide identifier for carriers.","int Carrier id of the current subscription. Return UNKNOWN_CARRIER_ID if the
 subscription is unavailable or the carrier cannot be identified. |||",,28.0
<android.graphics.ImageDecoder: void setMutableRequired(boolean)>,,,"Specify whether the Bitmap should be mutable. By default a Bitmap created by decodeBitmap will be immutable i.e. Bitmap#isMutable() returns false . This can be changed with setMutableRequired(true) . Mutable Bitmaps are incompatible with ALLOCATOR_HARDWARE because Bitmap.Config#HARDWARE Bitmaps cannot be mutable.
  Attempting to combine them will throw an IllegalStateException . Mutable Bitmaps are also incompatible with decodeDrawable which would require retrieving the Bitmap from the returned Drawable in
  order to modify. Attempting to decode a mutable Drawable will
  throw an IllegalStateException . Like all setters on ImageDecoder this must be called inside OnHeaderDecodedListener#onHeaderDecoded .",void,mutable boolean |||,28.0
"<android.hardware.camera2.CaptureRequest.Builder: CaptureRequest.Builder setPhysicalCameraKey(Key,T,String)>",,,"Set a capture request field to a value. The field definitions can be
 found in CaptureRequest . Setting a field to null will remove that field from the capture request.
 Unless the field is optional removing it will likely produce an error from the camera
 device when the request is submitted. This method can be called for logical camera devices which are devices that have
 REQUEST_AVAILABLE_CAPABILITIES_LOGICAL_MULTI_CAMERA capability and calls to CameraCharacteristics#getPhysicalCameraIds return a non-empty set of
 physical devices that are backing the logical camera. The camera Id included in the
 'physicalCameraId' argument selects an individual physical device that will receive
 the customized capture request field.",CaptureRequest.Builder The builder object. |||,"key Key : The metadata field to write.
This value must never be null . |||
value T : The value to set the field to which must be of a matching type to the key. |||
physicalCameraId String : A valid physical camera Id. The valid camera Ids can be obtained
via calls to CameraCharacteristics#getPhysicalCameraIds .
This value must never be null . |||",28.0
"<android.content.ContentResolver: ParcelFileDescriptor openFile(Uri,String,CancellationSignal)>",,,,ParcelFileDescriptor This value may be null . |||,"uri Uri : This value must never be null . |||
mode String : This value must never be null . |||
signal CancellationSignal : This value may be null . |||",29.0
<android.icu.text.Transliterator: Enumeration getAvailableIDs()>,,,"Returns an enumeration over the programmatic names of registered Transliterator objects.  This includes both system
 transliterators and user transliterators registered using registerClass() .  The enumerated names may be
 passed to getInstance() .",Enumeration < String > An Enumeration over String objects |||,,29.0
<android.text.style.SuggestionSpan: int getUnderlineColor()>,,,,int The color of the underline for that span or 0 if there is no underline |||,,29.0
<android.hardware.camera2.params.RecommendedStreamConfigurationMap: Set getInputSizes(int)>,,,Get the supported input sizes for this input format. The format must have come from getInputFormats() ; otherwise null is returned.,Set < Size > a non-modifiable set of sizes or null if the format was not available. |||,format int : a format from getInputFormats() Value is ImageFormat.UNKNOWN  ImageFormat.RGB_565  ImageFormat.YV12  ImageFormat.Y8 android.graphics.ImageFormat.Y16 ImageFormat.NV16  ImageFormat.NV21  ImageFormat.YUY2  ImageFormat.JPEG  ImageFormat.DEPTH_JPEG  ImageFormat.YUV_420_888  ImageFormat.YUV_422_888  ImageFormat.YUV_444_888  ImageFormat.FLEX_RGB_888  ImageFormat.FLEX_RGBA_8888  ImageFormat.RAW_SENSOR  ImageFormat.RAW_PRIVATE  ImageFormat.RAW10  ImageFormat.RAW12  ImageFormat.DEPTH16  ImageFormat.DEPTH_POINT_CLOUD android.graphics.ImageFormat.RAW_DEPTH ImageFormat.PRIVATE or ImageFormat.HEIC |||,29.0
"<android.net.IpSecTransform.Builder: IpSecTransform buildTransportModeTransform(InetAddress,IpSecManager.SecurityParameterIndex)>",,,"Build a transport mode IpSecTransform . This builds and activates a transport mode transform. Note that an active transform
 will not affect any network traffic until it has been applied to one or more sockets.",IpSecTransform This value will never be null . |||,"sourceAddress InetAddress : the source InetAddress of traffic on sockets that will use
this transform; this address must belong to the Network used by all sockets that
utilize this transform; if provided then only traffic originating from the
specified source address will be processed.
This value must never be null . |||
spi IpSecManager.SecurityParameterIndex : a unique IpSecManager.SecurityParameterIndex to identify transformed
traffic
This value must never be null . |||",28.0
"<android.telecom.Call.Callback: void onHandoverFailed(Call,int)>",,,Invoked when Call handover from one PhoneAccount to other PhoneAccount has failed. For a full discussion of the handover process and the APIs involved see Call.handoverTo(PhoneAccountHandle int Bundle) .,void,"call Call : The call which had initiated handover. |||
failureReason int : Error reason for failure.
Value is HANDOVER_FAILURE_DEST_APP_REJECTED  HANDOVER_FAILURE_NOT_SUPPORTED  HANDOVER_FAILURE_USER_REJECTED  HANDOVER_FAILURE_ONGOING_EMERGENCY_CALL or HANDOVER_FAILURE_UNKNOWN |||",28.0
<android.view.textclassifier.TextClassifierEvent: int getEventType()>,,,Returns the event type. e.g. TYPE_SELECTION_STARTED .,int Value is TYPE_SELECTION_STARTED  TYPE_SELECTION_MODIFIED  TYPE_SMART_SELECTION_SINGLE  TYPE_SMART_SELECTION_MULTI  TYPE_AUTO_SELECTION  TYPE_ACTIONS_SHOWN  TYPE_LINK_CLICKED  TYPE_OVERTYPE  TYPE_COPY_ACTION  TYPE_PASTE_ACTION  TYPE_CUT_ACTION  TYPE_SHARE_ACTION  TYPE_SMART_ACTION  TYPE_SELECTION_DRAG  TYPE_SELECTION_DESTROYED  TYPE_OTHER_ACTION  TYPE_SELECT_ALL  TYPE_SELECTION_RESET  TYPE_MANUAL_REPLY  TYPE_ACTIONS_GENERATED or TYPE_LINKS_GENERATED |||,,29.0
"<android.media.MediaFormat: ByteBuffer getByteBuffer(String,ByteBuffer)>",,,Returns the value of a ByteBuffer key or the default value if the key is missing.,ByteBuffer defaultValue if the key does not exist or the stored value for the key is null |||,"name String : This value must never be null . |||
defaultValue ByteBuffer : This value must never be null . |||",29.0
<android.telephony.MbmsStreamingSession: void close()>,,,"Terminates this instance. Also terminates
 any streaming services spawned from this instance as if StreamingService#close() had been called on them. After this method returns
 no further callbacks originating from the middleware will be enqueued on the provided
 instance of MbmsStreamingSessionCallback but callbacks that have already been
 enqueued will still be delivered.

 It is safe to call create(android.content.Context java.util.concurrent.Executor int android.telephony.mbms.MbmsStreamingSessionCallback) to
 obtain another instance of MbmsStreamingSession immediately after this method
 returns.

 May throw an IllegalStateException",void,,28.0
<android.widget.ProgressBar: int getMaxWidth()>,,,This units of this value are pixels.,"int the maximum width the progress bar can have in pixels
 
 This units of this value are pixels.
 {} |||",,29.0
<android.content.pm.ApplicationInfo: boolean isResourceOverlay()>,,,"Returns true if the package has declared in its manifest that it is a
 runtime resource overlay.",boolean |||,,29.0
<android.net.MacAddress: int hashCode()>,,,"Returns a hash code value for the object. This method is
 supported for the benefit of hash tables such as those provided by HashMap . The general contract of hashCode is: Whenever it is invoked on the same object more than once during
     an execution of a Java application the hashCode method
     must consistently return the same integer provided no information
     used in equals comparisons on the object is modified.
     This integer need not remain consistent from one execution of an
     application to another execution of the same application. 
If two objects are equal according to the equals(Object) method then calling the hashCode method on each of
     the two objects must produce the same integer result. 
It is not required that if two objects are unequal
     according to the equals(java.lang.Object) method then calling the hashCode method on each of the
     two objects must produce distinct integer results.  However the
     programmer should be aware that producing distinct integer results
     for unequal objects may improve the performance of hash tables. 
As much as is reasonably practical the hashCode method defined by
 class Object does return distinct integers for distinct
 objects. (This is typically implemented by converting the internal
 address of the object into an integer but this implementation
 technique is not required by the
 Java™ programming language.)",int a hash code value for this object. |||,,28.0
"<android.bluetooth.BluetoothHidDevice: boolean registerApp(BluetoothHidDeviceAppSdpSettings,BluetoothHidDeviceAppQosSettings,BluetoothHidDeviceAppQosSettings,Executor,BluetoothHidDevice.Callback)>",,,"Registers application to be used for HID device. Connections to HID Device are only possible
 when application is registered. Only one application can be registered at one time. When an
 application is registered the HID Host service will be disabled until it is unregistered.
 When no longer used application should be unregistered using unregisterApp() . The
 app will be automatically unregistered if it is not foreground. The registration status
 should be tracked by the application by handling callback from Callback#onAppStatusChanged.
 The app registration status is not related to the return value of this method.",boolean true if the command is successfully sent; otherwise false. |||,"sdp BluetoothHidDeviceAppSdpSettings : BluetoothHidDeviceAppSdpSettings object of HID Device SDP record. The HID
Device SDP record is required. |||
inQos BluetoothHidDeviceAppQosSettings : BluetoothHidDeviceAppQosSettings object of Incoming QoS Settings. The
Incoming QoS Settings is not required. Use null or default
BluetoothHidDeviceAppQosSettings.Builder for default values. |||
outQos BluetoothHidDeviceAppQosSettings : BluetoothHidDeviceAppQosSettings object of Outgoing QoS Settings. The
Outgoing QoS Settings is not required. Use null or default
BluetoothHidDeviceAppQosSettings.Builder for default values. |||
executor Executor : Executor object on which callback will be executed. The Executor
object is required. |||
callback BluetoothHidDevice.Callback : Callback object to which callback messages will be sent. The Callback
object is required. |||",28.0
<android.media.Session2Token: int getUid()>,,,,int uid of the session |||,,29.0
<android.net.wifi.WifiNetworkSuggestion.Builder: WifiNetworkSuggestion.Builder setIsMetered(boolean)>,,,Specifies whether this network is metered.,"WifiNetworkSuggestion.Builder Instance of Builder to enable chaining of the builder method.
 
 This value will never be null . |||",isMetered boolean : true to indicate that the network is metered false otherwise. |||,29.0
<android.telephony.UiccCardInfo: String getEid()>,,,"Get the embedded ID (EID) of the eUICC. If the UiccCardInfo is not an eUICC
 (see isEuicc() ) or the EID is not available returns null. Note that this field may be omitted if the caller does not have the correct permissions
 (see TelephonyManager#getUiccCardsInfo() ).",String |||,,29.0
<android.media.AudioAttributes.Builder: AudioAttributes.Builder setHapticChannelsMuted(boolean)>,,,"Specifying if haptic should be muted or not when playing audio-haptic coupled data.
 By default haptic channels are disabled.","AudioAttributes.Builder the same Builder instance.
 
 This value will never be null . |||",muted boolean : true to force muting haptic channels. |||,29.0
"<android.hardware.camera2.params.RecommendedStreamConfigurationMap: long getOutputStallDuration(Class,Size)>",,,Get the stall duration for the class/size combination (in nanoseconds). For more information refer to StreamConfigurationMap#getOutputStallDuration(Class Size) .,"long a minimum frame duration > 0 in nanoseconds or 0 if the stall duration is
         not available.

 Value is 0 or greater |||","klass Class : a class which has a non-empty array returned by getOutputSizes(java.lang.Class) .
This value must never be null . |||
size Size : an output-compatible size
This value must never be null . |||",29.0
"<android.graphics.drawable.ColorStateListDrawable: void unscheduleDrawable(Drawable,Runnable)>",,,"A Drawable can call this to unschedule an action previously
 scheduled with scheduleDrawable(Drawable Runnable long) .  An implementation can
 generally simply call Handler.removeCallbacks(Runnable Object) with
 the parameters (what who) to unschedule the drawable.",void,"who Drawable : This value must never be null . |||
what Runnable : This value must never be null . |||",29.0
<android.media.audiofx.DynamicsProcessing.MbcBand: float getReleaseTime()>,,,gets release time for compressor in milliseconds (ms),float release time for compressor in milliseconds (ms) |||,,28.0
<android.view.accessibility.AccessibilityNodeInfo.TouchDelegateInfo: int describeContents()>,,,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.","int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||",,29.0
<android.util.ArrayMap: int indexOfValue(Object)>,,,"Returns an index for which valueAt(int) would return the
 specified value or a negative number if no keys map to the
 specified value.
 Beware that this is a linear search unlike lookups by key
 and that multiple keys can map to the same value and this will
 find only one of them.",int |||,value Object |||,29.0
<android.app.admin.DevicePolicyManager: List getMeteredDataDisabledPackages(ComponentName)>,,,"Called by a device or profile owner to retrieve the list of packages which are restricted
 by the admin from using metered data.","List < String > the list of restricted package names.
 This value will never be null . |||","admin ComponentName : which DeviceAdminReceiver this request is associated with.
This value must never be null . |||",28.0
<android.media.MediaSession2: boolean isPlaybackActive()>,,,Returns whehther the playback is active (i.e. playing something),boolean true if the playback active false otherwise. |||,,29.0
<android.icu.util.LocaleData: void setNoSubstitute(boolean)>,,,"Sets the ""no substitute"" behavior of this locale data object.",void,"setting boolean : Value for the no substitute behavior.  If TRUE
methods of this locale data object will return
an error when no data is available for that method
given the locale ID supplied to the constructor. |||",28.0
<android.view.textclassifier.ConversationActions.Request: List getHints()>,,,Returns an immutable list of hints,"List < String > This value will never be null .
 
 Value is HINT_FOR_NOTIFICATION or HINT_FOR_IN_APP |||",,29.0
<android.app.Person: boolean isImportant()>,,,,boolean whether this Person is important. |||,,28.0
"<android.media.ThumbnailUtils: Bitmap createImageThumbnail(String,int)>",,,"This method was deprecated
      in API level 29. Callers should migrate to using createImageThumbnail(java.io.File android.util.Size android.os.CancellationSignal) as it offers more control over resizing and cancellation. Create a thumbnail for given image file.",Bitmap This value may be null . |||,"filePath String : The image file.
This value must never be null . |||
kind int : The desired thumbnail kind such as MediaStore.Images.Thumbnails.MINI_KIND . |||",29.0
<android.media.MediaMetadataRetriever: Bitmap getPrimaryImage()>,,,"This method is similar to getPrimaryImage(android.media.MediaMetadataRetriever.BitmapParams) except that
 the default for BitmapParams will be used.",Bitmap the primary image or null if it cannot be retrieved. |||,,28.0
<android.view.textclassifier.SelectionEvent: String getEntityType()>,,,Returns the type of entity that is associated with this event. e.g. TextClassifier.TYPE_EMAIL .,"String Value is TextClassifier.TYPE_UNKNOWN  TextClassifier.TYPE_OTHER  TextClassifier.TYPE_EMAIL  TextClassifier.TYPE_PHONE  TextClassifier.TYPE_ADDRESS  TextClassifier.TYPE_URL  TextClassifier.TYPE_DATE  TextClassifier.TYPE_DATE_TIME  TextClassifier.TYPE_FLIGHT_NUMBER or android.view.textclassifier.TextClassifier.TYPE_DICTIONARY
 
 This value will never be null . |||",,28.0
<android.text.style.BulletSpan: int getColor()>,,,Get the bullet point color.,int the bullet point color |||,,28.0
<android.media.MediaDrm: void close()>,,,"Releases resources associated with the current session of
 MediaDrm. It is considered good practice to call this method when
 the MediaDrm object is no longer needed in your
 application. After this method is called MediaDrm is no
 longer usable since it has lost all of its required resource.

 This method was added in API 28. In API versions 18 through 27 release()
 should be called instead. There is no need to do anything for API
 versions prior to 18.",void,,28.0
<android.widget.PopupWindow: void setIsClippedToScreen(boolean)>,,,"Clip this popup window to the screen but not to the containing window. If the popup is showing calling this method will take effect only
 the next time the popup is shown or through a manual call to one of
 the update() methods.",void,enabled boolean : true to clip to the screen. |||,29.0
<android.telephony.TelephonyManager: boolean isRttSupported()>,,,"Determines whether the device currently supports RTT (Real-time text). Based both on carrier
 support for the feature and device firmware support.",boolean true if the device and carrier both support RTT false otherwise. |||,,29.0
<android.service.autofill.UserData: String toString()>,,,"Returns a string representation of the object. In general the toString method returns a string that
 ""textually represents"" this object. The result should
 be a concise but informative representation that is easy for a
 person to read.
 It is recommended that all subclasses override this method. The toString method for class Object returns a string consisting of the name of the class of which the
 object is an instance the at-sign character ` @ ' and
 the unsigned hexadecimal representation of the hash code of the
 object. In other words this method returns a string equal to the
 value of:",String a string representation of the object. |||,,28.0
<android.telephony.data.ApnSetting: int getApnTypeBitmask()>,,,"Returns the bitmask of APN types. Apn types are usage categories for an APN entry. One APN entry may support multiple
 APN types eg a single APN may service regular internet traffic (""default"") as well as
 MMS-specific connections. The bitmask of APN types is calculated from APN types defined in ApnSetting .","int a bitmask describing the types of the APN
 
 Value is either 0 or a combination of TYPE_DEFAULT  TYPE_MMS  TYPE_SUPL  TYPE_DUN  TYPE_HIPRI  TYPE_FOTA  TYPE_IMS  TYPE_CBS  TYPE_IA  TYPE_EMERGENCY  TYPE_MCX and TYPE_XCAP |||",,28.0
<android.icu.text.Bidi: int invertMap(int)>,,,"Invert an index map.
 The index mapping of the argument map is inverted and returned as
 an array of indexes that we will call the inverse map.","int[] an array representing the inverse map.
         This array has a number of elements equal to 1 + the highest
         value in srcMap .
         For elements of the result array which have no matching elements
         in the source array the corresponding elements in the inverse
         map will receive a value equal to MAP_NOWHERE .
         If element with index i in srcMap has a value k different
         from MAP_NOWHERE this means that element i of
         the source array maps to element k in the destination array.
         The inverse map will have value i in its k-th element.
         For all elements of the destination array which do not map to
         an element in the source array the corresponding element in the
         inverse map will have a value equal to MAP_NOWHERE . |||","srcMap int : is an array whose elements define the original mapping
from a source array to a destination array.
Some elements of the source array may have no mapping in the
destination array. In that case their value will be
the special value MAP_NOWHERE .
All elements must be >=0 or equal to MAP_NOWHERE .
Some elements in the source map may have a value greater than the
srcMap.length if the destination array has more elements than the
source array.
There must be no duplicate indexes (two or more elements with the
same value except MAP_NOWHERE ). |||",29.0
<android.app.slice.SliceItem: Icon getIcon()>,,,,Icon The icon held by this FORMAT_IMAGE SliceItem |||,,28.0
<android.icu.text.BidiRun: int getLimit()>,,,Get position of one character after the end of the run in the source text,int |||,,29.0
<android.provider.Telephony.CarrierId: Uri getSpecificCarrierIdUriForSubscriptionId(int)>,,,"Generates a content Uri used to receive updates on specific carrier identity
 change on the given subscriptionId returned by TelephonyManager#getSimSpecificCarrierId() .","Uri the Uri used to observe specific carrier identity changes
 
 This value will never be null . |||",subscriptionId int : the subscriptionId to receive updates on |||,29.0
<android.media.MediaRecorder: boolean setPreferredDevice(AudioDeviceInfo)>,,,"Specifies an audio device (via an AudioDeviceInfo object) to route
 the input from this MediaRecorder.","boolean true if succesful false if the specified AudioDeviceInfo is non-null and
 does not correspond to a valid audio input device. |||","deviceInfo AudioDeviceInfo : The AudioDeviceInfo specifying the audio source.
If deviceInfo is null default routing is restored. |||",28.0
<android.service.notification.ZenPolicy.Builder: ZenPolicy.Builder showInAmbientDisplay(boolean)>,,,"Whether notification intercepted by DND are prevented from appearing on ambient displays
 on devices that support ambient display.",ZenPolicy.Builder This value will never be null . |||,show boolean |||,29.0
<android.os.Parcel: ArrayMap createTypedArrayMap(Creator)>,,,"Read into a new ArrayMap with string keys items containing a particular
 object type that were written with writeTypedArrayMap(android.util.ArrayMap int) at the
 current dataPosition().  The list must have previously been written
 via writeTypedArrayMap(android.util.ArrayMap int) with the same object type.","ArrayMap < String T> A newly created ArrayMap containing objects with the same data
         as those that were previously written.

 This value may be null . |||","creator Creator : The creator to use when for instantiation.
This value must never be null . |||",29.0
<android.bluetooth.BluetoothHearingAid: List getConnectedDevices()>,,,Get connected devices for this specific profile. Return the set of devices which are in state STATE_CONNECTED Requires Manifest.permission.BLUETOOTH,List < BluetoothDevice > This value will never be null . |||,,29.0
<android.telephony.euicc.DownloadableSubscription: String getEncodedActivationCode()>,,,Gets the activation code.,String This value may be null . |||,,28.0
<android.app.usage.NetworkStats.Bucket: int getDefaultNetworkStatus()>,,,"Default network status. One of the following values: DEFAULT_NETWORK_ALL 
DEFAULT_NETWORK_NO 
DEFAULT_NETWORK_YES",int Value is DEFAULT_NETWORK_ALL  DEFAULT_NETWORK_NO or DEFAULT_NETWORK_YES |||,,28.0
<android.service.carrier.CarrierIdentifier: int getSpecificCarrierId()>,,,"A specific carrier ID returns the fine-grained carrier ID of the current subscription.
 It can represent the fact that a carrier may be in effect an aggregation of other carriers
 (ie in an MVNO type scenario) where each of these specific carriers which are used to make
 up the actual carrier service may have different carrier configurations.
 A specific carrier ID could also be used for example in a scenario where a carrier requires
 different carrier configuration for different service offering such as a prepaid plan.",int |||,,29.0
<android.telephony.mbms.StreamingService: Uri getPlaybackUri()>,,,"Retrieve the Uri used to play this stream.

 May throw an IllegalArgumentException or an IllegalStateException .","Uri The Uri to pass to the streaming client or null if an error
         occurred. |||",,28.0
<android.graphics.drawable.BitmapDrawable: Insets getOpticalInsets()>,,,"Return in insets the layout insets suggested by this Drawable for use with alignment
 operations during layout.",Insets This value will never be null . |||,,29.0
<android.net.wifi.p2p.WifiP2pConfig.Builder: WifiP2pConfig build()>,,,Build WifiP2pConfig given the current requests made on the builder.,"WifiP2pConfig WifiP2pConfig constructed based on builder method calls.
 
 This value will never be null . |||",,29.0
"<android.app.admin.DevicePolicyManager: void setCrossProfileCalendarPackages(ComponentName,Set)>",,,"Allows a set of packages to access cross-profile calendar APIs. Called by a profile owner of a managed profile. Calling with a null value for the set disables the restriction so that all
 packages are allowed to access cross-profile calendar APIs. Calling with an empty set
 disallows all packages from accessing cross-profile calendar APIs. If this method isn't
 called no package is allowed to access cross-profile calendar APIs by default.",void,"admin ComponentName : which DeviceAdminReceiver this request is associated with
This value must never be null . |||
packageNames Set : set of packages to be whitelisted
This value may be null . |||",29.0
<android.graphics.RenderNode: boolean hasIdentityMatrix()>,,,"Whether or not the RenderNode has an identity transform. This is a faster
 way to do the otherwise equivalent getMatrix(android.graphics.Matrix) Matrix#isIdentity() as it doesn't require copying the Matrix first thus minimizing overhead.",boolean true if the RenderNode has an identity transform false otherwise |||,,29.0
<android.telecom.CallScreeningService.CallResponse: boolean getSilenceCall()>,,,,boolean |||,,29.0
<android.view.accessibility.AccessibilityNodeInfo: void setTouchDelegateInfo(AccessibilityNodeInfo.TouchDelegateInfo)>,,,"Set touch delegate info if the represented view has a TouchDelegate . Note: Cannot be called from an AccessibilityService .
   This class is made immutable before being delivered to an
   AccessibilityService.",void,"delegatedInfo AccessibilityNodeInfo.TouchDelegateInfo : TouchDelegateInfo returned from TouchDelegate#getTouchDelegateInfo() .
This value must never be null . |||",29.0
"<android.media.ThumbnailUtils: Bitmap createAudioThumbnail(File,Size,CancellationSignal)>",,,"Create a thumbnail for given audio file. This method should only be used for files that you have direct access to;
 if you'd like to work with media hosted outside your app consider using ContentResolver#loadThumbnail(Uri Size CancellationSignal) which enables remote providers to efficiently cache and invalidate
 thumbnails.",Bitmap This value will never be null . |||,"file File : The audio file.
This value must never be null . |||
size Size : The desired thumbnail size.
This value must never be null . |||
signal CancellationSignal : This value may be null . |||",29.0
<android.widget.AbsSeekBar: void setThumbTintBlendMode(BlendMode)>,,,"Specifies the blending mode used to apply the tint specified by setThumbTintList(android.content.res.ColorStateList) } to the thumb drawable. The
 default mode is BlendMode#SRC_IN . Related XML Attributes: android:thumbTintMode",void,"blendMode BlendMode : the blending mode used to apply the tint may be null to clear tint
This value may be null . |||",29.0
<android.view.textclassifier.ConversationActions: String getId()>,,,Returns the id if one exists for this object.,String This value may be null . |||,,29.0
<android.text.style.TextAppearanceSpan: float getShadowDy()>,,,Returns the vertical offset of the text shadow specified by this span or 0.0f if it does not specify one.,float |||,,29.0
<android.media.Session2Token: int getType()>,,,,"int type of the token
 Value is TYPE_SESSION or TYPE_SESSION_SERVICE |||",,29.0
<android.icu.text.Edits.Iterator: int sourceIndex()>,,,The start index of the current span in the source string; the span has length oldLength() .,int the current index into the source string |||,,29.0
"<android.view.SurfaceControl.Transaction: SurfaceControl.Transaction setVisibility(SurfaceControl,boolean)>",,,Toggle the visibility of a given Layer and it's sub-tree.,"SurfaceControl.Transaction This transaction object.
 
 This value will never be null . |||","sc SurfaceControl : The SurfaceControl for which to set the visibility
This value must never be null . |||
visible boolean : The new visibility |||",29.0
<android.view.contentcapture.ContentCaptureSession: ContentCaptureSession createContentCaptureSession(ContentCaptureContext)>,,,Creates a new ContentCaptureSession . See View#setContentCaptureSession(ContentCaptureSession) for more info.,ContentCaptureSession This value will never be null . |||,context ContentCaptureContext : This value must never be null . |||,29.0
"<android.net.wifi.WifiNetworkSpecifier: void writeToParcel(Parcel,int)>",,,Flatten this object in to a Parcel.,void,"dest Parcel : The Parcel in which the object should be written. |||
flags int : Additional flags about how the object should be written.
May be 0 or Parcelable.PARCELABLE_WRITE_RETURN_VALUE .
Value is either 0 or a combination of Parcelable.PARCELABLE_WRITE_RETURN_VALUE and android.os.Parcelable.PARCELABLE_ELIDE_DUPLICATES |||",29.0
<android.app.Notification.Builder: Notification.Builder addPerson(Person)>,,,"Add a person that is relevant to this notification. Depending on user preferences this annotation may allow the notification to pass
 through interruption filters if this notification is of category Notification.CATEGORY_CALL or Notification.CATEGORY_MESSAGE . The addition of people may also cause this notification to
 appear more prominently in the user interface. A person should usually contain a uri in order to benefit from the ranking boost.
 However even if no uri is provided it's beneficial to provide other people in the
 notification such that listeners and voice only devices can announce and handle them
 properly.",Notification.Builder This value will never be null . |||,person Person : the person to add. |||,28.0
"<android.media.audiofx.DynamicsProcessing.Channel: void setPostEqBand(int,DynamicsProcessing.EqBand)>",,,Sets EqBand for PostEq stage for given band index,void,"band int : index of band of interest from PostEq stage |||
postEqBand DynamicsProcessing.EqBand : configuration to be set. |||",28.0
<android.app.admin.DevicePolicyManager: PersistableBundle getTransferOwnershipBundle()>,,,"Returns the data passed from the current administrator to the new administrator during an
 ownership transfer. This is the same bundle passed in transferOwnership(android.content.ComponentName android.content.ComponentName android.os.PersistableBundle) . The bundle is
 persisted until the profile owner or device owner is removed. This is the same bundle received in the DeviceAdminReceiver#onTransferOwnershipComplete(Context PersistableBundle) .
 Use this method to retrieve it after the transfer as long as the new administrator is the
 active device or profile owner. Returns null if no ownership transfer was started for the calling user.",PersistableBundle |||,,28.0
