,SS GroundT,Cat GroundT,Description,Return,Parameters,ApiLevel
<android.graphics.HardwareRenderer: void clearContent()>,,,"Destroys all the display lists associated with the current rendering content.
 This includes releasing a reference to the current content root RenderNode. It will
 therefore be necessary to call setContentRoot(android.graphics.RenderNode) in order to resume
 rendering after calling this along with re-recording the display lists for the
 RenderNode tree. It is recommended but not necessary to use this in combination with lifecycle events
 such as Activity#onStop() and Activity#onStart() or in response to ComponentCallbacks2.onTrimMemory(int) signals such as ComponentCallbacks2.TRIM_MEMORY_UI_HIDDEN See also stop() .",void,,29
"<android.graphics.HardwareRenderer: void setLightSourceAlpha(float,float)>",,,"Configures the ambient & spot shadow alphas. This is the alpha used when the shadow
 has max alpha and ramps down from the values provided to zero. These values are typically provided by the current theme see R.attr.spotShadowAlpha and R.attr.ambientShadowAlpha . This must be set at least once along with setLightSourceGeometry(float float float float) before shadows will work.",void,"ambientShadowAlpha float : The alpha for the ambient shadow. If unsure a reasonable default
is 0.039f.
Value is between 0.0f and 1.0f inclusive |||
spotShadowAlpha float : The alpha for the spot shadow. If unsure a reasonable default is
0.19f.
Value is between 0.0f and 1.0f inclusive |||",29
"<android.graphics.HardwareRenderer: void setLightSourceGeometry(float,float,float,float)>",,,"Sets the center of the light source. The light source point controls the directionality
 and shape of shadows rendered by RenderNode Z & elevation. The platform's recommendation is to set lightX to 'displayWidth / 2f - windowLeft' set
 lightY to 0 - windowTop lightZ set to 600dp and lightRadius to 800dp. The light source should be setup both as part of initial configuration and whenever
 the window moves to ensure the light source stays anchored in display space instead
 of in window space. This must be set at least once along with setLightSourceAlpha(float float) before shadows will work.",void,"lightX float : The X position of the light source |||
lightY float : The Y position of the light source |||
lightZ float : The Z position of the light source. Must be >= 0. |||
lightRadius float : The radius of the light source. Smaller radius will have sharper edges
larger radius will have softer shadows. |||",29
<android.graphics.HardwareRenderer: void setName(String)>,,,"Sets a name for this renderer. This is used to identify this renderer instance
 when reporting debug information such as the per-window frame time metrics
 reported by 'adb shell dumpsys gfxinfo [package] framestats'",void,"name String : The debug name to use for this HardwareRenderer instance
This value must never be null . |||",29
<android.graphics.HardwareRenderer: void start()>,,,"Resumes rendering into the surface. Any pending rendering requests
 will produce a new frame at the next vsync signal. This is useful in combination with lifecycle events such as Activity#onStart() .
 See stop() for stopping rendering.",void,,29
<android.graphics.ImageDecoder.ImageInfo: ColorSpace getColorSpace()>,,,"If known the color space the decoded bitmap will have. Note that the
 output color space is not guaranteed to be the color space the bitmap
 is encoded with. If not known (when the config is Bitmap.Config#ALPHA_8 for instance) or there is an error
 it is set to null.",ColorSpace |||,,28
<android.graphics.ImageDecoder: Bitmap decodeBitmap(ImageDecoder.Source)>,,,Create a Bitmap from a Source . Since there is no OnHeaderDecodedListener the default settings will be used. In order to change any settings call decodeBitmap(android.graphics.ImageDecoder.Source android.graphics.ImageDecoder.OnHeaderDecodedListener) instead.,"Bitmap Bitmap containing the image.

 This value will never be null . |||","src ImageDecoder.Source : representing the encoded image.
This value must never be null . |||",28
<android.graphics.ImageDecoder: boolean isMimeTypeSupported(String)>,,,"Return if the given MIME type is a supported file format that can be
 decoded by this class. This can be useful to determine if a file can be
 decoded directly or if it needs to be converted into a more general
 format using an API like ContentResolver#openTypedAssetFile .",boolean |||,mimeType String : This value must never be null . |||,29
"<android.graphics.ImageDecoder: ImageDecoder.Source createSource(AssetManager,String)>",,,"Create a new Source from a file in the ""assets"" directory. This method is safe to call from any thread.",ImageDecoder.Source This value will never be null . |||,"assets AssetManager : This value must never be null . |||
fileName String : This value must never be null . |||",28
<android.graphics.ImageDecoder: ImageDecoder.Source createSource(ByteBuffer)>,,,"Create a new Source from a ByteBuffer . Decoding will start from buffer.position() .
 The position of buffer will not be affected. Note: If this Source is passed to decodeDrawable and the encoded image is animated the returned AnimatedImageDrawable will continue reading from the buffer so its contents must not
 be modified even after the AnimatedImageDrawable is returned. buffer 's contents should never be modified during decode.","ImageDecoder.Source a new Source object which can be passed to decodeDrawable or decodeBitmap .
 
 This value will never be null . |||",buffer ByteBuffer : This value must never be null . |||,28
<android.graphics.ImageDecoder: ImageDecoder.Source createSource(File)>,,,Create a new Source from a File . This method is safe to call from any thread.,"ImageDecoder.Source a new Source object which can be passed to decodeDrawable or decodeBitmap .
 
 This value will never be null . |||",file File : This value must never be null . |||,28
<android.graphics.ImageDecoder: PostProcessor getPostProcessor()>,,,Return the PostProcessor currently set.,PostProcessor This value may be null . |||,,28
<android.graphics.ImageDecoder: void setDecodeAsAlphaMaskEnabled(boolean)>,,,"Specify whether to potentially treat the output as an alpha mask. If this is set to true and the image is encoded in a format
  with only one channel treat that channel as alpha. Otherwise this call has
  no effect. This is incompatible with ALLOCATOR_HARDWARE . Trying to
  combine them will result in decodeDrawable / decodeBitmap throwing an IllegalStateException . Like all setters on ImageDecoder this must be called inside OnHeaderDecodedListener#onHeaderDecoded .",void,enabled boolean |||,28
<android.graphics.ImageDecoder: void setOnPartialImageListener(ImageDecoder.OnPartialImageListener)>,,,"Set (replace) the OnPartialImageListener on this object. Will be called if there is an error in the input. Without one an
  error will result in an Exception being thrown. Like all setters on ImageDecoder this must be called inside OnHeaderDecodedListener#onHeaderDecoded .",void,listener ImageDecoder.OnPartialImageListener : This value may be null . |||,28
"<android.graphics.ImageDecoder: void setTargetSize(int,int)>",,,"Specify the size of the output Drawable or Bitmap . By default the output size will match the size of the encoded
  image which can be retrieved from the ImageInfo in OnHeaderDecodedListener#onHeaderDecoded . This will sample or scale the output to an arbitrary size that may
  be smaller or larger than the encoded size. Only the last call to this or setTargetSampleSize(int) is
  respected. Like all setters on ImageDecoder this must be called inside OnHeaderDecodedListener#onHeaderDecoded .",void,"width int : width in pixels of the output must be greater than 0
This units of this value are pixels.
Value is 1 or greater |||
height int : height in pixels of the output must be greater than 0
This units of this value are pixels.
Value is 1 or greater |||",28
"<android.graphics.Insets: Insets max(Insets,Insets)>",,,Retrieves the maximum of two Insets.,"Insets max(a b) i. e. the larger of every inset on every side is taken for the result.
 
 This value will never be null . |||","a Insets : The first Insets.
This value must never be null . |||
b Insets : The second Insets.
This value must never be null . |||",29
"<android.graphics.Insets: Insets min(Insets,Insets)>",,,Retrieves the minimum of two Insets.,"Insets min(a b) i. e. the smaller of every inset on every side is taken for the result.
 
 This value will never be null . |||","a Insets : The first Insets.
This value must never be null . |||
b Insets : The second Insets.
This value must never be null . |||",29
<android.graphics.Insets: String toString()>,,,"Returns a string representation of the object. In general the toString method returns a string that
 ""textually represents"" this object. The result should
 be a concise but informative representation that is easy for a
 person to read.
 It is recommended that all subclasses override this method. The toString method for class Object returns a string consisting of the name of the class of which the
 object is an instance the at-sign character ` @ ' and
 the unsigned hexadecimal representation of the hash code of the
 object. In other words this method returns a string equal to the
 value of:",String a string representation of the object. |||,,29
<android.graphics.Paint: boolean equalsForTextMeasurement(Paint)>,,,Returns true of the passed Paint will have the same effect on text measurement,boolean true if the other Paint has the same effect on text measurement. |||,"other Paint : A Paint object.
This value must never be null . |||",28
<android.graphics.Paint: float getShadowLayerDx()>,,,Returns the x offset of the shadow layer.,float |||,,29
<android.graphics.Paint: float getShadowLayerDy()>,,,Returns the y offset of the shadow layer.,float |||,,29
<android.graphics.Paint: float getShadowLayerRadius()>,,,Returns the blur radius of the shadow layer.,float |||,,29
<android.graphics.Paint: float getStrikeThruPosition()>,,,"Distance from top of the strike-through line to the baseline in pixels.

 The result is negative for positions that are above the baseline.
 This method returns where the strike-through line should be drawn independent of if the STRIKE_THRU_TEXT_FLAG bit is set. This units of this value are pixels.","float the position of the strike-through line in pixels
 This units of this value are pixels.
 {} |||",,29
<android.graphics.Paint: float getUnderlinePosition()>,,,"Returns the distance from top of the underline to the baseline in pixels.

 The result is positive for positions that are below the baseline.
 This method returns where the underline should be drawn independent of if the UNDERLINE_TEXT_FLAG bit is set. This units of this value are pixels.","float the position of the underline in pixels
 This units of this value are pixels.
 {} |||",,29
<android.graphics.Paint: long getColorLong()>,,,"Return the paint's color. Note that the color is a long with an encoded ColorSpace as well as alpha and rgb. These values are not
 premultiplied meaning that alpha can be any value regardless of the
 values of rgb. See the Color class for more details.",long the paint's color alpha and ColorSpace encoded as a ColorLong |||,,29
"<android.graphics.Paint: void setShadowLayer(float,float,float,long)>",,,"This draws a shadow layer below the main layer with the specified
 offset and color and blur radius. If radius is 0 then the shadow
 layer is removed. Can be used to create a blurred shadow underneath text. Support for use
 with other drawing operations is constrained to the software rendering
 pipeline. The alpha of the shadow will be the paint's alpha if the shadow color is
 opaque or the alpha from the shadow color if not.",void,"radius float |||
dx float |||
dy float |||
shadowColor long |||",29
<android.graphics.RecordingCanvas: int getHeight()>,,,Returns the height of the current drawing layer,int the height of the current drawing layer |||,,29
<android.graphics.RecordingCanvas: int getMaximumBitmapHeight()>,,,"Returns the maximum allowed height for bitmaps drawn with this canvas.
 Attempting to draw with a bitmap taller than this value will result
 in an error.",int |||,,29
<android.graphics.RecordingCanvas: void drawRenderNode(RenderNode)>,,,Draws the specified display list onto this canvas.,void,"renderNode RenderNode : The RenderNode to draw.
This value must never be null . |||",29
<android.graphics.RecordingCanvas: void enableZ()>,,,"Enables Z support which defaults to disabled. This allows for RenderNodes drawn with drawRenderNode(android.graphics.RenderNode) to be re-arranged based off of their RenderNode#getElevation() and RenderNode#getTranslationZ() values. It also enables rendering of shadows for RenderNodes with an elevation or
 translationZ. Any draw reordering will not be moved before this call. A typical usage of this might
 look something like:",void,,29
<android.graphics.RenderNode: boolean getClipToBounds()>,,,Returns whether or not the RenderNode is clipping to its bounds. See setClipToBounds(boolean) and setPosition(int int int int),boolean true if the render node clips to its bounds false otherwise. |||,,29
<android.graphics.RenderNode: boolean hasDisplayList()>,3,,"Returns whether the RenderNode has a display list. If this returns false the RenderNode
 should be re-recorded with beginRecording() and endRecording() .

 A RenderNode without a display list may still be drawn however it will have no impact
 on the rendering content until its display list is updated.

 When a RenderNode is no longer drawn by anything the system may automatically
 invoke discardDisplayList() . It is therefore important to ensure that hasDisplayList() is true on a RenderNode prior to drawing it.

 See discardDisplayList()",boolean boolean true if this RenderNode has a display list false otherwise. |||,,29
<android.graphics.RenderNode: boolean isForceDarkAllowed()>,,,See setForceDarkAllowed(boolean),boolean true if force dark is allowed (default) false if it is disabled |||,,29
<android.graphics.RenderNode: boolean offsetLeftAndRight(int)>,,,Offsets the left and right positions for the RenderNode,boolean True if the value changed false if the new value was the same as the previous value. |||,offset int : The amount that the left and right positions are offset in pixels |||,29
<android.graphics.RenderNode: boolean offsetTopAndBottom(int)>,,,Offsets the top and bottom values for the RenderNode,boolean True if the value changed false if the new value was the same as the previous value. |||,offset int : The amount that the left and right positions are offset in pixels |||,29
<android.graphics.RenderNode: boolean setElevation(float)>,,,Sets the base elevation of this RenderNode in pixels,boolean True if the value changed false if the new value was the same as the previous value. |||,lift float : the elevation in pixels |||,29
<android.graphics.RenderNode: boolean setPosition(Rect)>,,,Sets the position of the RenderNode.,boolean True if the value changed false if the new value was the same as the previous value. |||,"position Rect : The position rectangle in pixels
This value must never be null . |||",29
<android.graphics.RenderNode: boolean setRotationY(float)>,3,,Sets the rotation value for the display list around the Y axis.,boolean True if the value changed false if the new value was the same as the previous value. |||,rotationY float : The rotation value of the display list in degrees |||,29
<android.graphics.RenderNode: boolean setScaleY(float)>,,,Sets the scale value for the display list on the Y axis.,boolean True if the value changed false if the new value was the same as the previous value. |||,scaleY float : The scale value of the display list |||,29
<android.graphics.RenderNode: boolean setTranslationX(float)>,,,Sets the translation value for the display list on the X axis.,boolean True if the value changed false if the new value was the same as the previous value. |||,translationX float : The X axis translation value of the display list in pixels |||,29
<android.graphics.RenderNode: float getCameraDistance()>,1,,Returns the distance in Z of the camera for this RenderNode,"float the distance along the Z axis in pixels.
 Value is between 0.0f and Float.MAX_VALUE inclusive |||",,29
<android.graphics.RenderNode: float getRotationX()>,,,Returns the rotation value for this display list around the X axis in degrees.,float |||,,29
<android.graphics.RenderNode: float getRotationY()>,,,Returns the rotation value for this display list around the Y axis in degrees.,float |||,,29
<android.graphics.RenderNode: int getAmbientShadowColor()>,,,,"int The shadow color set by setAmbientShadowColor(int) or black if
 nothing was set |||",,29
<android.graphics.RenderNode: int getBottom()>,,,Gets the bottom position for the RenderNode.,int the bottom position in pixels |||,,29
<android.graphics.RenderNode: int getLeft()>,,,Gets the left position for the RenderNode.,int the left position in pixels |||,,29
<android.graphics.RenderNode: long computeApproximateMemoryUsage()>,,,"Gets the approximate memory usage of the RenderNode for debug purposes. Does not include
 the memory usage of any child RenderNodes nor any bitmaps only the memory usage of
 this RenderNode and any data it owns. Value is a non-negative number of bytes.","long Approximate memory usage in bytes.
 
 Value is a non-negative number of bytes. |||",,29
<android.graphics.RenderNode: void endRecording()>,,,"`
 Ends the recording for this display list. Calling this method marks
 the display list valid and hasDisplayList() will return true.",void,,29
<android.graphics.text.LineBreaker.Builder: LineBreaker.Builder setHyphenationFrequency(int)>,,,"Set hyphenation frequency.

 You can change the amount of automatic hyphenation used. The default value is LineBreaker.HYPHENATION_FREQUENCY_NONE .",LineBreaker.Builder This value will never be null . |||,hyphenationFrequency int : Value is LineBreaker.HYPHENATION_FREQUENCY_NORMAL  LineBreaker.HYPHENATION_FREQUENCY_FULL or LineBreaker.HYPHENATION_FREQUENCY_NONE |||,29
<android.graphics.text.LineBreaker.Builder: LineBreaker.Builder setIndents(int)>,,,"Set indents.

 The supplied array provides the total amount of indentation per line in pixel. This
 amount is the sum of both left and right indentations. For lines past the last element in
 the array the indentation amount of the last element is used.",LineBreaker.Builder This value will never be null . |||,indents int : This value may be null . |||,29
<android.graphics.text.LineBreaker.Builder: LineBreaker.Builder setJustificationMode(int)>,,,"Set whether the text is justified.

 By setting LineBreaker.JUSTIFICATION_MODE_INTER_WORD the line breaker will change the
 internal parameters for justification.
 The default value is LineBreaker.JUSTIFICATION_MODE_NONE",LineBreaker.Builder This value will never be null . |||,justificationMode int : Value is LineBreaker.JUSTIFICATION_MODE_NONE or LineBreaker.JUSTIFICATION_MODE_INTER_WORD |||,29
<android.graphics.text.LineBreaker.ParagraphConstraints: float getWidth()>,,,Return the width for this paragraph in pixels. This units of this value are pixels.,"float This units of this value are pixels.
 {}
 
 Value is 0.0f or greater |||",,29
<android.graphics.text.LineBreaker.ParagraphConstraints: int getFirstWidthLineCount()>,,,Return the number of lines to apply the first line's width. This units of this value are pixels.,"int This units of this value are pixels.
 {}
 
 Value is 0 or greater |||",,29
<android.graphics.text.LineBreaker.ParagraphConstraints: void setWidth(float)>,,,Set width for this paragraph.,void,"width float : This units of this value are pixels.
Value is 0.0f or greater |||",29
<android.graphics.text.LineBreaker.Result: float getLineDescent(int)>,,,Returns font descent of the line in pixels. This units of this value are pixels.,"float an entier font descent of the line in pixels.
 
 This units of this value are pixels.
 {} |||","lineIndex int : an index of the line.
Value is 0 or greater |||",29
<android.graphics.text.LineBreaker.Result: int getLineBreakOffset(int)>,,,Returns character offset of the break for a given line.,"int the break offset.
 
 Value is 0 or greater |||","lineIndex int : an index of the line.
Value is 0 or greater |||",29
<android.graphics.text.MeasuredText.Builder: MeasuredText.Builder setComputeHyphenation(boolean)>,,,"By passing true to this method the build method will compute all possible hyphenation
 pieces as well.

 If you don't want to use automatic hyphenation you can pass false to this method and
 save the computation time of hyphenation. The default value is false.

 Even if you pass false to this method you can still enable automatic hyphenation of
 LineBreaker but line break computation becomes slower.",MeasuredText.Builder This value will never be null . |||,computeHyphenation boolean : true if you want to use automatic hyphenations. |||,29
<android.graphics.text.MeasuredText: float getCharWidthAt(int)>,,,Returns the width of the character at the given offset. This units of this value are pixels.,"float Value is 0.0f or greater
 
 This units of this value are pixels.
 {} |||","offset int : an offset of the character.
Value is 0 or greater |||",29
"<android.graphics.text.MeasuredText: void getBounds(int,int,Rect)>",,,Retrieves the boundary box of the given range,void,"start int : an inclusive start index of the range
Value is 0 or greater |||
end int : an exclusive end index of the range
Value is 0 or greater |||
rect Rect : an output parameter
This value must never be null . |||",29
<android.graphics.Typeface.CustomFallbackBuilder: Typeface.CustomFallbackBuilder addCustomFallback(FontFamily)>,,,"Append a font family to the end of the custom font fallback.

 You can set up to 64 custom fallback families including the first font family you passed
 to the constructor.
 For more information about fallback see class description.",Typeface.CustomFallbackBuilder This value will never be null . |||,"family FontFamily : a fallback family
This value must never be null . |||",29
<android.graphics.Typeface.CustomFallbackBuilder: Typeface.CustomFallbackBuilder setStyle(FontStyle)>,,,"Sets a font style of the Typeface.

 If the font family doesn't have a font of given style system will select the closest
 font from font family. For example if a font family has fonts of 300 weight and 700
 weight then setWeight(400) is called system will select the font of 300 weight.",Typeface.CustomFallbackBuilder This value will never be null . |||,"style FontStyle : a font style
This value must never be null . |||",29
<android.hardware.biometrics.BiometricPrompt.AuthenticationCallback: void onAuthenticationFailed()>,,,Called when a biometric is valid but not recognized.,void,,28
<android.hardware.biometrics.BiometricPrompt.Builder: BiometricPrompt.Builder setDescription(CharSequence)>,,,Optional: Sets a description that will be shown on the prompt.,"BiometricPrompt.Builder This builder.
 
 This value will never be null . |||","description CharSequence : The description to display.
This value must never be null . |||",28
<android.hardware.biometrics.BiometricPrompt.Builder: BiometricPrompt.Builder setTitle(CharSequence)>,,,Required: Sets the title that will be shown on the prompt.,"BiometricPrompt.Builder This builder.
 
 This value will never be null . |||","title CharSequence : The title to display.
This value must never be null . |||",28
<android.hardware.biometrics.BiometricPrompt.CryptoObject: Mac getMac()>,,,Get Mac object.,Mac Mac object or null if this doesn't contain one. |||,,28
<android.hardware.biometrics.BiometricPrompt.CryptoObject: Signature getSignature()>,,,Get Signature object.,Signature Signature object or null if this doesn't contain one. |||,,28
"<android.hardware.biometrics.BiometricPrompt: void authenticate(BiometricPrompt.CryptoObject,CancellationSignal,Executor,BiometricPrompt.AuthenticationCallback)>",,,"This call warms up the biometric hardware displays a system-provided dialog and starts
 scanning for a biometric. It terminates when AuthenticationCallback#onAuthenticationError(int CharSequence) is called when AuthenticationCallback#onAuthenticationSucceeded( AuthenticationResult) or when the user
 dismisses the system-provided dialog at which point the crypto object becomes invalid. This
 operation can be canceled by using the provided cancel object. The application will receive
 authentication errors through AuthenticationCallback and button events through the
 corresponding callback set in Builder#setNegativeButton(CharSequence Executor
 DialogInterface.OnClickListener) . It is safe to reuse the BiometricPrompt object
 and calling BiometricPrompt#authenticate(CancellationSignal Executor
 AuthenticationCallback) while an existing authentication attempt is occurring will stop the
 previous client and start a new authentication. The interrupted client will receive a
 cancelled notification through AuthenticationCallback#onAuthenticationError(int
 CharSequence) . Note: Applications generally should not cancel and start authentication in quick
 succession. For example to properly handle authentication across configuration changes it's
 recommended to use BiometricPrompt in a fragment with setRetainInstance(true). By doing so
 the application will not need to cancel/restart authentication during the configuration
 change. Per the Android CDD only biometric authenticators that meet or exceed the requirements
 for Strong are permitted to integrate with Keystore to perform related
 cryptographic operations. Therefore it is an error to call this method after explicitly
 calling Builder#setAllowedAuthenticators(int) with any biometric strength other than Authenticators#BIOMETRIC_STRONG . Requires Manifest.permission.USE_BIOMETRIC",void,"crypto BiometricPrompt.CryptoObject : A cryptographic operation to be unlocked after successful authentication.
This value must never be null . |||
cancel CancellationSignal : An object that can be used to cancel authentication.
This value must never be null . |||
executor Executor : An executor to handle callback events.
This value must never be null .
Callback and listener events are dispatched through this Executor providing an easy way to control which thread is
used. To dispatch events through the main thread of your
application you can use Context.getMainExecutor() .
To dispatch events through a shared thread pool you can use AsyncTask#THREAD_POOL_EXECUTOR . |||
callback BiometricPrompt.AuthenticationCallback : An object to receive authentication events.
This value must never be null . |||",28
"<android.hardware.camera2.CameraCaptureSession: int captureSingleRequest(CaptureRequest,Executor,CameraCaptureSession.CaptureCallback)>",,,"Submit a request for an image to be captured by the camera device. The behavior of this method matches that of capture(android.hardware.camera2.CaptureRequest android.hardware.camera2.CameraCaptureSession.CaptureCallback android.os.Handler) except that it uses Executor as an argument
 instead of Handler .",int int A unique capture sequence ID used by CaptureCallback#onCaptureSequenceCompleted . |||,"request CaptureRequest : the settings for this capture
This value must never be null . |||
executor Executor : the executor which will be used for invoking the listener.
This value must never be null .
Callback and listener events are dispatched through this Executor providing an easy way to control which thread is
used. To dispatch events through the main thread of your
application you can use Context.getMainExecutor() .
To dispatch events through a shared thread pool you can use AsyncTask#THREAD_POOL_EXECUTOR . |||
listener CameraCaptureSession.CaptureCallback : The callback object to notify once this request has been
processed.
This value must never be null . |||",28
<android.hardware.camera2.CameraCharacteristics: List getKeysNeedingPermission()>,,,"Returns a subset of the list returned by getKeys() with all keys that
 require camera clients to obtain the Manifest.permission.CAMERA permission. If an application calls CameraManager#getCameraCharacteristics without holding the Manifest.permission.CAMERA permission
 all keys in this list will not be available and calling get(CameraCharacteristics.Key ) will
 return null for those keys. If the application obtains the Manifest.permission.CAMERA permission then the
 CameraCharacteristics from a call to a subsequent CameraManager#getCameraCharacteristics will have the keys available. The list returned is not modifiable so any attempts to modify it will throw
 a UnsupportedOperationException . Each key is only listed once in the list. The order of the keys is undefined.","List < Key <?>> List of camera characteristic keys that require the Manifest.permission.CAMERA permission. The list can be empty in case
         there are no currently present keys that need additional permission. |||",,29
<android.hardware.camera2.CameraCharacteristics: Set getPhysicalCameraIds()>,,,"Returns the set of physical camera ids that this logical CameraDevice is
 made up of. A camera device is a logical camera if it has
 REQUEST_AVAILABLE_CAPABILITIES_LOGICAL_MULTI_CAMERA capability. If the camera device
 doesn't have the capability the return value will be an empty set. Prior to API level 29 all returned IDs are guaranteed to be returned by CameraManager#getCameraIdList and can be opened directly by CameraManager#openCamera . Starting from API level 29 for each of the returned ID
 if it's also returned by CameraManager#getCameraIdList it can be used as a
 standalone camera by CameraManager#openCamera . Otherwise the camera ID can only be
 used as part of the current logical camera. The set returned is not modifiable so any attempts to modify it will throw
 a UnsupportedOperationException .","Set < String > Set of physical camera ids for this logical camera device.
 
 This value will never be null . |||",,28
"<android.hardware.camera2.CameraManager: void openCamera(String,Executor,CameraDevice.StateCallback)>",,,Open a connection to a camera with the given ID. The behavior of this method matches that of openCamera(java.lang.String StateCallback android.os.Handler) except that it uses Executor as an argument instead of Handler .,void,"cameraId String : The unique identifier of the camera device to open
This value must never be null . |||
executor Executor : The executor which will be used when invoking the callback.
This value must never be null .
Callback and listener events are dispatched through this Executor providing an easy way to control which thread is
used. To dispatch events through the main thread of your
application you can use Context.getMainExecutor() .
To dispatch events through a shared thread pool you can use AsyncTask#THREAD_POOL_EXECUTOR . |||
callback CameraDevice.StateCallback : The callback which is invoked once the camera is opened
This value must never be null . |||",28
<android.hardware.camera2.params.MandatoryStreamCombination.MandatoryStreamInformation: boolean equals(Object)>,,,"Check if this MandatoryStreamInformation is equal to another MandatoryStreamInformation . Two vectors are only equal if and only if each of the respective elements is
 equal.",boolean true if the objects were equal false otherwise |||,obj Object : the reference object with which to compare. |||,29
<android.hardware.camera2.params.MandatoryStreamCombination.MandatoryStreamInformation: int getFormat()>,,,Retrieve the mandatory stream format .,"int integer format.
 
 Value is ImageFormat.UNKNOWN  ImageFormat.RGB_565  ImageFormat.YV12  ImageFormat.Y8 android.graphics.ImageFormat.Y16 ImageFormat.NV16  ImageFormat.NV21  ImageFormat.YUY2  ImageFormat.JPEG  ImageFormat.DEPTH_JPEG  ImageFormat.YUV_420_888  ImageFormat.YUV_422_888  ImageFormat.YUV_444_888  ImageFormat.FLEX_RGB_888  ImageFormat.FLEX_RGBA_8888  ImageFormat.RAW_SENSOR  ImageFormat.RAW_PRIVATE  ImageFormat.RAW10  ImageFormat.RAW12  ImageFormat.DEPTH16  ImageFormat.DEPTH_POINT_CLOUD android.graphics.ImageFormat.RAW_DEPTH ImageFormat.PRIVATE or ImageFormat.HEIC |||",,29
<android.hardware.camera2.params.MandatoryStreamCombination.MandatoryStreamInformation: int hashCode()>,,,"Returns a hash code value for the object. This method is
 supported for the benefit of hash tables such as those provided by HashMap . The general contract of hashCode is: Whenever it is invoked on the same object more than once during
     an execution of a Java application the hashCode method
     must consistently return the same integer provided no information
     used in equals comparisons on the object is modified.
     This integer need not remain consistent from one execution of an
     application to another execution of the same application. 
If two objects are equal according to the equals(Object) method then calling the hashCode method on each of
     the two objects must produce the same integer result. 
It is not required that if two objects are unequal
     according to the equals(java.lang.Object) method then calling the hashCode method on each of the
     two objects must produce distinct integer results.  However the
     programmer should be aware that producing distinct integer results
     for unequal objects may improve the performance of hash tables. 
As much as is reasonably practical the hashCode method defined by
 class Object does return distinct integers for distinct
 objects. (This is typically implemented by converting the internal
 address of the object into an integer but this implementation
 technique is not required by the
 Java™ programming language.)",int a hash code value for this object. |||,,29
<android.hardware.camera2.params.MandatoryStreamCombination.MandatoryStreamInformation: List getAvailableSizes()>,,,"Return the list of available sizes for this mandatory stream. Per documented CameraDevice#createCaptureSession the largest
 resolution in the result will be tested and guaranteed to work. If clients want to use
 smaller sizes then the resulting session configuration can
 be tested either by calling CameraDevice#createCaptureSession or CameraDevice#isSessionConfigurationSupported .","List < Size > non-modifiable ascending list of available sizes.
 
 This value will never be null . |||",,29
<android.hardware.camera2.params.MandatoryStreamCombination: boolean equals(Object)>,,,Check if this MandatoryStreamCombination is equal to another MandatoryStreamCombination . Two vectors are only equal if and only if each of the respective elements is equal.,boolean true if the objects were equal false otherwise |||,obj Object : the reference object with which to compare. |||,29
<android.hardware.camera2.params.MandatoryStreamCombination: CharSequence getDescription()>,,,Get the mandatory stream combination description.,"CharSequence CharSequence with the mandatory combination description.
 
 This value will never be null . |||",,29
<android.hardware.camera2.params.OisSample: boolean equals(Object)>,,,Check if this OisSample is equal to another OisSample . Two samples are only equal if and only if each of the OIS information is equal.,boolean true if the objects were equal false otherwise |||,obj Object : the reference object with which to compare. |||,28
<android.hardware.camera2.params.RecommendedStreamConfigurationMap: boolean isOutputSupportedFor(Surface)>,,,"Determine whether or not the surface in its current state is suitable to be included
 in a CameraDevice#createCaptureSession as an output. For more information refer to StreamConfigurationMap#isOutputSupportedFor .",boolean true if this is supported false otherwise |||,"surface Surface : a Surface object reference
This value must never be null . |||",29
<android.hardware.camera2.params.RecommendedStreamConfigurationMap: int getRecommendedUseCase()>,,,Get the use case value for the recommended stream configurations.,"int Use case id.
 
 Value is USECASE_PREVIEW  USECASE_RECORD  USECASE_VIDEO_SNAPSHOT  USECASE_SNAPSHOT  USECASE_ZSL  USECASE_RAW or USECASE_LOW_LATENCY_SNAPSHOT |||",,29
"<android.hardware.camera2.params.RecommendedStreamConfigurationMap: long getOutputMinFrameDuration(int,Size)>",,,Get the minimum frame duration for the format/size combination (in nanoseconds). For further information refer to StreamConfigurationMap#getOutputMinFrameDuration .,"long a minimum frame duration > 0 in nanoseconds or
          0 if the minimum frame duration is not available.

 Value is 0 or greater |||","format int : an image format from ImageFormat or PixelFormat Value is ImageFormat.UNKNOWN  ImageFormat.RGB_565  ImageFormat.YV12  ImageFormat.Y8 android.graphics.ImageFormat.Y16 ImageFormat.NV16  ImageFormat.NV21  ImageFormat.YUY2  ImageFormat.JPEG  ImageFormat.DEPTH_JPEG  ImageFormat.YUV_420_888  ImageFormat.YUV_422_888  ImageFormat.YUV_444_888  ImageFormat.FLEX_RGB_888  ImageFormat.FLEX_RGBA_8888  ImageFormat.RAW_SENSOR  ImageFormat.RAW_PRIVATE  ImageFormat.RAW10  ImageFormat.RAW12  ImageFormat.DEPTH16  ImageFormat.DEPTH_POINT_CLOUD android.graphics.ImageFormat.RAW_DEPTH ImageFormat.PRIVATE or ImageFormat.HEIC |||
size Size : an output-compatible size
This value must never be null . |||",29
