,Annotation
<android.app.ActivityGroup: void finishActivity(int)>,NONE
<android.accounts.AccountAuthenticatorActivity: void setRequestedOrientation(int)>,SINK
<android.app.backup.BackupAgentHelper: void unregisterReceiver(android.content.BroadcastReceiver)>,NONE
"<android.app.ActivityManager: boolean clearApplicationUserData(java.lang.String,android.content.pm.IPackageDataObserver)>",NONE
<android.app.Activity: boolean startNextMatchingActivity(android.content.Intent)>,SINK
"<android.app.ActivityManagerNative: boolean startNextMatchingActivity(android.os.IBinder,android.content.Intent)>",SINK
"<android.accounts.AccountAuthenticatorActivity: void sendOrderedBroadcast(android.content.Intent,java.lang.String,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)>",SINK
"<android.accounts.AccountAuthenticatorActivity: void sendBroadcast(android.content.Intent,java.lang.String)>",SINK
"<android.app.ActivityManagerNative: int startActivityWithConfig(android.app.IApplicationThread,android.content.Intent,java.lang.String,android.net.Uri[],int,android.os.IBinder,java.lang.String,int,boolean,boolean,android.content.res.Configuration)>",SINK
"<android.app.ActivityManagerNative: void broadcastStickyIntent(android.content.Intent,java.lang.String)>",SINK
<com.android.internal.telephony.cdma.CdmaServiceStateTracker: void fixTimeZone(java.lang.String)>,SINK
"<com.android.server.TelephonyRegistry: void notifyDataConnectionFailed(java.lang.String,java.lang.String)>",SINK
<com.android.internal.telephony.cdma.CdmaLteServiceStateTracker: void fixTimeZone(java.lang.String)>,SINK
<com.android.server.NsdService$NsdStateMachine$DisabledState: void enter()>,NONE
"<com.android.internal.telephony.PhoneBase: void notifyDataConnection(java.lang.String,java.lang.String)>",SINK
<com.android.internal.telephony.gsm.GSMPhone: void notifyServiceStateChanged(android.telephony.ServiceState)>,SINK
<com.android.internal.telephony.gsm.GsmDataConnectionTracker: void onRadioOffOrNotAvailable()>,NONE
<com.android.internal.telephony.gsm.GsmDataConnectionTracker: void onDataConnectionDetached()>,NONE
<com.android.internal.telephony.gsm.GsmDataConnectionTracker: void doRecovery()>,NONE
"<android.app.ContextImpl: void sendStickyOrderedBroadcast(android.content.Intent,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)>",SINK
<com.android.providers.contacts.ContactsProvider2: void enforceSocialStreamReadPermission(android.net.Uri)>,NONE
<com.android.server.AppWidgetService: void systemReady(boolean)>,NONE
"<com.android.server.am.ActivityManagerService: void cleanUpRemovedTaskLocked(com.android.server.am.TaskRecord,int)>",NONE
<com.android.server.am.BroadcastQueue: void skipPendingBroadcastLocked(int)>,NONE
<com.android.server.am.ActivityManagerService: void killBackgroundProcesses(java.lang.String)>,NONE
<com.android.internal.telephony.IPhoneSubInfo$Stub$Proxy: java.lang.String getDeviceSvn()>,SOURCE
<com.android.internal.telephony.PhoneSubInfo: java.lang.String getSubscriberId()>,SOURCE
<com.android.internal.telephony.IPhoneSubInfo$Stub: java.lang.String getLine1Number()>,SOURCE
<com.android.mms.transaction.RetrieveTransaction: byte[] getPdu(java.lang.String)>,SOURCE
"<com.android.mms.transaction.SendTransaction: byte[] sendPdu(long,byte[],java.lang.String)>",SINK
"<com.android.mms.transaction.Transaction: byte[] sendPdu(byte[],java.lang.String)>",SINK
<com.android.internal.telephony.IPhoneSubInfo$Stub$Proxy: java.lang.String getVoiceMailNumber()>,SOURCE
<com.android.contacts.detail.ContactDetailLayoutController: void showContactWithUpdates(boolean)>,NONE
"<com.android.phone.CallNotifier: com.android.phone.CallNotifier init(com.android.phone.PhoneApp,com.android.internal.telephony.Phone,com.android.phone.Ringer,com.android.phone.BluetoothHandsfree,com.android.phone.CallLogAsync)>",NONE
"<com.android.internal.telephony.gsm.SimPhoneBookInterfaceManager: boolean updateAdnRecordsInEfBySearch(int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String)>",SINK
<android.telephony.SmsManager: boolean deleteMessageFromIcc(int)>,SINK
"<android.telephony.gsm.SmsManager: boolean updateMessageOnSim(int,int,byte[])>",SINK
"<com.android.providers.telephony.SmsProvider: int delete(android.net.Uri,java.lang.String,java.lang.String[])>",SINK
"<com.android.internal.telephony.gsm.SimSmsInterfaceManager: void sendData(java.lang.String,java.lang.String,int,byte[],android.app.PendingIntent,android.app.PendingIntent)>",SINK
"<android.telephony.gsm.SmsManager: void sendMultipartTextMessage(java.lang.String,java.lang.String,java.util.ArrayList,java.util.ArrayList,java.util.ArrayList)>",SINK
<com.android.providers.contacts.VoicemailPermissions: boolean packageHasFullAccess(java.lang.String)>,SOURCE
"<com.android.providers.contacts.CallLogProvider: int delete(android.net.Uri,java.lang.String,java.lang.String[])>",NONE
"<com.android.providers.contacts.CallLogProvider: android.database.Cursor query(android.net.Uri,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String)>",SOURCE
"<android.view.IWindowSession$Stub: boolean onTransact(int,android.os.Parcel,android.os.Parcel,int)>",SINK
<android.net.IConnectivityManager$Stub$Proxy: void setMobileDataEnabled(boolean)>,SINK
"<com.android.settings.DataUsageSummary$4: void onCheckedChanged(android.widget.CompoundButton,boolean)>",NONE
<com.android.internal.telephony.ITelephony$Stub$Proxy: boolean endCall()>,NONE
<com.android.contacts.list.PhoneFavoriteFragment: void onStart()>,NONE
"<com.android.server.NotificationManagerService: void <init>(android.content.Context,com.android.server.StatusBarManagerService,com.android.server.LightsService)>",NONE
"<android.provider.Settings$Secure: boolean putInt(android.content.ContentResolver,java.lang.String,int)>",NONE
<com.android.server.InputMethodManagerService$InputMethodSettings: void putSelectedSubtype(int)>,SINK
"<android.app.backup.IBackupManager$Stub: boolean onTransact(int,android.os.Parcel,android.os.Parcel,int)>",SINK
"<com.android.server.InputMethodManagerService$InputMethodSettings: void addSubtypeToHistory(java.lang.String,java.lang.String)>",SINK
<com.android.server.InputMethodManagerService$MyPackageMonitor: void onSomePackagesChanged()>,NONE
"<android.server.search.SearchManagerService$MyPackageMonitor: void onReceive(android.content.Context,android.content.Intent)>",NONE
"<com.android.server.WallpaperManagerService$MyPackageMonitor: void onReceive(android.content.Context,android.content.Intent)>",NONE
<com.android.uiautomator.core.UiAutomatorBridge: void disconnect()>,NONE
"<android.provider.Settings$System: boolean putInt(android.content.ContentResolver,java.lang.String,int)>",NONE
<com.android.server.am.ActivityManagerService: void setAlwaysFinish(boolean)>,SINK
"<com.android.settings.SoundSettings: boolean onPreferenceChange(android.preference.Preference,java.lang.Object)>",SINK
<com.android.deskclock.Alarms: void disableAlert(android.content.Context)>,NONE
<com.android.music.QueryBrowserActivity: boolean onOptionsItemSelected(android.view.MenuItem)>,NONE
"<com.android.systemui.statusbar.policy.AutoRotateController: void onCheckedChanged(android.widget.CompoundButton,boolean)>",NONE
<com.android.deskclock.HandleSetAlarm: void onCreate(android.os.Bundle)>,SINK
<com.android.exchange.ExchangeService$CalendarObserver$1: void run()>,NONE
"<com.android.calendar.CalendarUtils$TimeZoneUtils: java.lang.String getTimeZone(android.content.Context,java.lang.Runnable)>",SOURCE
"<com.android.calendar.widget.CalendarAppWidgetProvider: void onUpdate(android.content.Context,android.appwidget.AppWidgetManager,int[])>",SINK
<com.android.calendar.DayView: void onDraw(android.graphics.Canvas)>,NONE
"<com.android.calendar.DayView: void doFling(android.view.MotionEvent,android.view.MotionEvent,float,float)>",NONE
<com.android.calendar.event.EditEventFragment: boolean onOptionsItemSelected(android.view.MenuItem)>,NONE
"<com.android.calendar.month.MonthByWeekFragment: void onLoadFinished(android.content.Loader,java.lang.Object)>",NONE
<com.android.calendar.month.MonthByWeekFragment: void onAttach(android.app.Activity)>,NONE
<com.android.calendar.AllInOneActivity: void onNewIntent(android.content.Intent)>,NONE
<com.android.exchange.adapter.AbstractSyncAdapter: void <init>(com.android.exchange.EasSyncService)>,NONE
<com.android.calendar.EventLoader: void startBackgroundThread()>,NONE
"<android.provider.CalendarContract$Instances: android.database.Cursor query(android.content.ContentResolver,java.lang.String[],long,long)>",SOURCE
"<com.android.internal.telephony.MccTable: void setSystemLocale(android.content.Context,java.lang.String,java.lang.String)>",SINK
<com.android.internal.telephony.ISms$Stub$Proxy: boolean disableCellBroadcast(int)>,SINK
<android.telephony.SmsManager: boolean disableCellBroadcast(int)>,SINK
"<android.accounts.AccountManagerService: void setPassword(android.accounts.Account,java.lang.String)>",SINK
"<android.accounts.IAccountManager$Stub$Proxy: void setPassword(android.accounts.Account,java.lang.String)>",SINK
"<android.accounts.AccountManager: java.lang.String peekAuthToken(android.accounts.Account,java.lang.String)>",SOURCE
"<android.accounts.AccountManager: void setPassword(android.accounts.Account,java.lang.String)>",SINK
<android.view.IWindowManager$Stub$Proxy: void reenableKeyguard(android.os.IBinder)>,SINK
"<android.content.ContentService: void dump(java.io.FileDescriptor,java.lang.String[])>",SINK
<com.android.server.ConnectivityService: android.net.LinkProperties getLinkProperties(int)>,SOURCE
<com.android.email.EmailConnectivityManager: boolean hasConnectivity()>,SOURCE
<com.android.email.activity.UIControllerBase: void showAccountSpecificWarning(long)>,NONE
<com.android.email.activity.UIControllerBase: void onMessageSetUnread()>,NONE
<com.android.email.activity.MessageViewFragmentBase$LoadAttachmentsTask: void onSuccess(com.android.emailcommon.provider.EmailContent$Attachment[])>,NONE
"<com.android.email.activity.MoveMessageToDialog: void onClick(android.content.DialogInterface,int)>",NONE
<com.android.email.activity.MessageViewFragmentBase$LoadBodyTask: void onSuccess(java.lang.Object)>,NONE
<com.android.email.activity.UIControllerSearchTwoPane: void installMessageViewFragment(com.android.email.activity.MessageViewFragment)>,NONE
"<com.android.server.net.NetworkStatsService: void dump(java.io.FileDescriptor,java.io.PrintWriter,java.lang.String[])>",SINK
<android.accounts.AccountManagerService: android.accounts.Account[] getAccounts(java.lang.String)>,SOURCE
<com.android.settings.Settings$AdvancedWifiSettingsActivity: void onAccountsUpdated(android.accounts.Account[])>,NONE
<com.android.settings.Settings$DisplaySettingsActivity: void onAccountsUpdated(android.accounts.Account[])>,NONE
<com.android.settings.Settings$RunningServicesActivity: void onAccountsUpdated(android.accounts.Account[])>,NONE
<com.android.settings.Settings$LocationSettingsActivity: void onBuildHeaders(java.util.List)>,NONE
<com.android.contacts.detail.ContactDetailFragment$MakeLocalCopyQuickFix: void execute()>,NONE
<com.android.contacts.group.GroupBrowseListAdapter: void <init>(android.content.Context)>,NONE
"<com.android.contacts.group.GroupDetailDisplayUtils: void bindGroupSourceView(android.content.Context,android.view.View,java.lang.String,java.lang.String)>",NONE
"<com.android.contacts.util.AccountsListAdapter: void <init>(android.content.Context,com.android.contacts.util.AccountsListAdapter$AccountListFilter)>",NONE
<com.android.contacts.editor.ContactEditorFragment: void onAttach(android.app.Activity)>,NONE
<com.android.contacts.activities.ActionBarAdapter: void setCurrentTab(int)>,NONE
"<android.content.ContentResolver: boolean isSyncActive(android.accounts.Account,java.lang.String)>",SOURCE
<android.content.ContentResolver: android.content.SyncInfo getCurrentSync()>,SOURCE
"<android.content.ContentService: android.content.SyncStatusInfo getSyncStatus(android.accounts.Account,java.lang.String)>",SOURCE
"<android.test.mock.MockContentResolver: android.content.SyncStatusInfo getSyncStatus(android.accounts.Account,java.lang.String)>",SOURCE
"<android.net.sip.ISipService$Stub$Proxy: void open3(android.net.sip.SipProfile,android.app.PendingIntent,android.net.sip.ISipSessionListener)>",SINK
<android.net.sip.SipManager: void close(java.lang.String)>,NONE
"<com.android.server.sip.SipService: void setRegistrationListener(java.lang.String,android.net.sip.ISipSessionListener)>",NONE
"<android.net.sip.SipManager: android.net.sip.SipAudioCall takeAudioCall(android.content.Intent,android.net.sip.SipAudioCall$Listener)>",SOURCE
<com.android.server.AlarmManagerService: void setTimeZone(java.lang.String)>,SINK
"<android.bluetooth.ScoSocket: boolean connect(java.lang.String,java.lang.String)>",NONE
<android.bluetooth.ScoSocket: void onConnected(int)>,SINK
"<android.view.IWindowManager$Stub$Proxy: void stopAppFreezingScreen(android.os.IBinder,boolean)>",SINK
<com.android.internal.telephony.ITelephony$Stub$Proxy: boolean supplyPin(java.lang.String)>,SINK
"<com.android.internal.telephony.SMSDispatcher: void dispatch(android.content.Intent,java.lang.String,android.content.BroadcastReceiver)>",SINK
"<com.android.internal.telephony.SMSDispatcher: void dispatch(android.content.Intent,java.lang.String)>",SINK
<com.android.server.DevicePolicyManagerService: void wipeDataLocked(int)>,NONE
"<android.content.SyncManager$ActiveSyncContext: void <init>(android.content.SyncManager,android.content.SyncOperation,long,int)>",NONE
"<com.android.internal.policy.impl.PhoneWindowManager: void handleVolumeKey(int,int)>",SINK
"<com.android.internal.telephony.gsm.GsmSMSDispatcher: void dispatch(android.content.Intent,java.lang.String,android.content.BroadcastReceiver)>",SINK
"<com.android.internal.telephony.gsm.GsmSMSDispatcher: void dispatch(android.content.Intent,java.lang.String)>",SINK
<android.media.MediaPlayer: void stop()>,NONE
<com.android.server.sip.SipService$AutoRegistrationProcess: void onResponse(boolean)>,NONE
<com.android.settings.CryptKeeper: void setupUi()>,NONE
<android.filterpacks.videosrc.MediaSource: void pauseVideo(boolean)>,NONE
<com.android.ex.variablespeed.VariableSpeed: void prepare()>,NONE
<com.android.internal.telephony.gsm.GsmConnection: void cancelPostDial()>,NONE
<com.android.internal.telephony.RIL: void getAvailableNetworks(android.os.Message)>,NONE
<com.android.internal.telephony.RIL: void getSmscAddress(android.os.Message)>,SOURCE
"<com.android.internal.telephony.RIL: void setSmscAddress(java.lang.String,android.os.Message)>",SINK
"<com.android.phone.CallerInfoCacheUpdateReceiver: void onReceive(android.content.Context,android.content.Intent)>",NONE
<com.android.phone.DTMFTwelveKeyDialer: void onDialerOpen(boolean)>,NONE
<com.android.mms.ui.SlideView: void stopVideo()>,NONE
<com.android.internal.telephony.CommandsInterface: void getSmscAddress(android.os.Message)>,SOURCE
"<com.android.internal.telephony.CommandsInterface: void setSmscAddress(java.lang.String,android.os.Message)>",SINK
"<com.android.server.LocationManagerService$Receiver: boolean callStatusChangedLocked(java.lang.String,int,android.os.Bundle)>",SINK
<com.android.server.wm.WindowManagerService: void reevaluateStatusBarVisibility()>,NONE
<com.android.music.AudioPreview$PreviewPlayer: void onPrepared(android.media.MediaPlayer)>,NONE
<com.android.internal.telephony.cdma.CDMAPhone: com.android.internal.telephony.Connection dial(java.lang.String)>,SINK
<com.android.internal.telephony.gsm.GSMPhone: void getOutgoingCallerIdDisplay(android.os.Message)>,NONE
<com.android.internal.telephony.PhoneBase: void getPreferredNetworkType(android.os.Message)>,SOURCE
<com.android.internal.telephony.PhoneBase: void getSmscAddress(android.os.Message)>,SOURCE
<com.android.internal.telephony.cdma.CdmaCallTracker: void rejectCall()>,NONE
<com.android.internal.telephony.cdma.CDMAPhone: void sendDtmf(char)>,SINK
"<com.android.internal.telephony.PhoneBase: void setCdmaSubscription(int,android.os.Message)>",SINK
"<com.android.internal.telephony.cdma.CDMAPhone: void enableEnhancedVoicePrivacy(boolean,android.os.Message)>",SINK
"<com.android.internal.telephony.PhoneBase: void setSmscAddress(java.lang.String,android.os.Message)>",SINK
<com.android.internal.telephony.gsm.GsmDataConnection: void onConnect(com.android.internal.telephony.DataConnection$ConnectionParams)>,SINK
<com.android.internal.telephony.gsm.GsmCallTracker: void switchWaitingOrHoldingAndActive()>,NONE
"<com.android.server.wm.WindowManagerService: void prepareAppTransition(int,boolean)>",NONE
<android.view.IWindowManager$Stub$Proxy: void setNewConfiguration(android.content.res.Configuration)>,SINK
"<com.android.providers.media.RingtonePickerActivity: void onClick(android.content.DialogInterface,int)>",NONE
<com.android.internal.telephony.cdma.CDMALTEPhone: void getSmscAddress(android.os.Message)>,SOURCE
<com.android.internal.telephony.gsm.GSMPhone: void getSmscAddress(android.os.Message)>,SOURCE
<com.android.internal.telephony.sip.SipPhone: void getSmscAddress(android.os.Message)>,SOURCE
"<com.android.internal.telephony.ims.IsimUiccRecords: int fetchIsimRecords(com.android.internal.telephony.IccFileHandler,android.os.Handler)>",NONE
<com.android.internal.telephony.cdma.CDMALTEPhone: void queryCdmaRoamingPreference(android.os.Message)>,NONE
<com.android.internal.telephony.gsm.GSMPhone: void queryCdmaRoamingPreference(android.os.Message)>,NONE
<com.android.internal.telephony.sip.SipPhoneBase: void queryCdmaRoamingPreference(android.os.Message)>,NONE
<com.android.internal.telephony.sip.SipPhone: void queryTTYMode(android.os.Message)>,NONE
<com.android.internal.telephony.cdma.CDMAPhone: void rejectCall()>,NONE
"<com.android.internal.telephony.cdma.CDMALTEPhone: void setBandMode(int,android.os.Message)>",SINK
"<com.android.internal.telephony.sip.SipPhoneBase: void setCdmaSubscription(int,android.os.Message)>",SINK
<com.android.internal.telephony.gsm.GsmServiceStateTracker: void enableSingleLocationUpdate()>,NONE
<com.android.internal.telephony.sip.SipPhoneBase: void restoreSavedNetworkSelection(android.os.Message)>,SINK
"<com.android.internal.telephony.cdma.CDMALTEPhone: void setSmscAddress(java.lang.String,android.os.Message)>",SINK
"<com.android.internal.telephony.cdma.CDMAPhone: void setSmscAddress(java.lang.String,android.os.Message)>",SINK
"<com.android.internal.telephony.gsm.GSMPhone: void setSmscAddress(java.lang.String,android.os.Message)>",SINK
"<com.android.internal.telephony.Phone: void setSmscAddress(java.lang.String,android.os.Message)>",SINK
"<com.android.internal.telephony.sip.SipPhoneBase: void setSmscAddress(java.lang.String,android.os.Message)>",SINK
"<com.android.internal.telephony.sip.SipPhone: void setSmscAddress(java.lang.String,android.os.Message)>",SINK
"<android.webkit.PluginFullScreenHolder$CustomFrameLayout: boolean onKeyDown(int,android.view.KeyEvent)>",NONE
"<com.android.phone.PhoneUtils$2: void onClick(android.content.DialogInterface,int)>",SINK
<com.android.internal.telephony.sip.SipPhone: void exitEmergencyCallbackMode()>,NONE
"<com.android.internal.telephony.AdnRecordCache: void updateAdnByIndex(int,com.android.internal.telephony.AdnRecord,int,java.lang.String,android.os.Message)>",SINK
"<com.android.internal.telephony.IccRecords: void setMsisdnNumber(java.lang.String,java.lang.String,android.os.Message)>",SINK
"<com.android.phone.Use2GOnlyCheckBoxPreference: void <init>(android.content.Context,android.util.AttributeSet)>",NONE
<com.android.server.sip.SipSessionGroup$SipSessionImpl$1: void run()>,NONE
"<com.android.phone.ManageConferenceUtils: void endConferenceConnection(int,com.android.internal.telephony.Connection)>",NONE
"<com.android.internal.telephony.gsm.GsmSMSDispatcher: void sendNewSubmitPdu(java.lang.String,java.lang.String,java.lang.String,com.android.internal.telephony.SmsHeader,int,android.app.PendingIntent,android.app.PendingIntent,boolean)>",SINK
<com.android.exchange.ExchangeService: void releaseMailbox(long)>,NONE
<com.android.phone.CallerInfoCache$CacheAsyncTask: void onCancelled(java.lang.Object)>,NONE
<com.android.server.am.ActivityManagerService: void wakingUp()>,NONE
<com.android.server.sip.SipService: void notifyProfileRemoved(android.net.sip.SipProfile)>,SINK
"<com.android.email.service.MailService$ControllerResults: void updateMailboxCallback(com.android.emailcommon.mail.MessagingException,long,long,int,int,java.util.ArrayList)>",SINK
"<com.android.email.Controller$LegacyListener: void synchronizeMailboxStarted(long,long)>",SINK
"<android.content.ContentResolver: java.util.List getPeriodicSyncs(android.accounts.Account,java.lang.String)>",SOURCE
<android.server.BluetoothA2dpService: boolean isDisconnectSinkFeasible(android.bluetooth.BluetoothDevice)>,SOURCE
<com.android.nfc.handover.HandoverManager: android.nfc.NdefRecord createBluetoothOobDataRecord()>,SOURCE
<android.bluetooth.BluetoothDevice: java.lang.String getName()>,SOURCE
<com.android.nfc.handover.ConfirmConnectActivity: void onCreate(android.os.Bundle)>,NONE
<com.android.settings.Settings$TetherSettingsActivity: void setListAdapter(android.widget.ListAdapter)>,NONE
<android.bluetooth.BluetoothHeadset: int getConnectionState(android.bluetooth.BluetoothDevice)>,SOURCE
<android.bluetooth.BluetoothDeviceProfileState: void cancelCommand(int)>,NONE
"<com.android.server.am.BatteryStatsService: void setBatteryState(int,int,int,int,int,int)>",SINK
<com.android.phone.InCallScreen: void onDialerOpen(boolean)>,NONE
<android.bluetooth.IBluetooth$Stub: int getBondState(java.lang.String)>,SOURCE
<android.bluetooth.BluetoothPan: boolean isTetheringOn()>,SOURCE
<android.bluetooth.IBluetoothPbap$Stub$Proxy: android.bluetooth.BluetoothDevice getClient()>,SOURCE
<android.bluetooth.IBluetoothHeadset$Stub$Proxy: java.util.List getConnectedDevices()>,SOURCE
<com.android.internal.telephony.ITelephony$Stub$Proxy: void answerRingingCall()>,NONE
<android.telephony.TelephonyManager: java.lang.String getCompleteVoiceMailNumber()>,SOURCE
"<android.os.IPowerManager$Stub$Proxy: void setAttentionLight(boolean,int)>",SINK
<android.app.IWallpaperManager$Stub$Proxy: void setWallpaperComponent(android.content.ComponentName)>,SINK
<com.android.server.WallpaperManagerService: void clearWallpaper()>,NONE
<com.android.internal.app.IBatteryStats$Stub$Proxy: void notePhoneOn()>,NONE
"<android.content.ContentService: void dump(java.io.FileDescriptor,java.io.PrintWriter,java.lang.String[])>",SINK
<android.accounts.AccountAuthenticatorActivity: android.content.ComponentName startService(android.content.Intent)>,SINK
"<android.app.Application: boolean bindService(android.content.Intent,android.content.ServiceConnection,int)>",SINK
<android.view.IWindowManager$Stub$Proxy: void executeAppTransition()>,NONE
"<android.accessibilityservice.AccessibilityService: boolean bindService(android.content.Intent,android.content.ServiceConnection,int)>",SINK
<android.accessibilityservice.AccessibilityService: android.content.ComponentName startService(android.content.Intent)>,SINK
"<android.app.Activity: void startSearch(java.lang.String,boolean,android.os.Bundle,boolean)>",SINK
<android.os.PowerManager: void reboot(java.lang.String)>,NONE
<android.graphics.Paint: float measureText(java.lang.String)>,NONE
<com.android.server.pm.PackageManagerService$ActivityIntentResolver: android.content.IntentFilter[] newArray(int)>,NONE
"<android.util.Log: int v(java.lang.String,java.lang.String)>",SINK
"<android.util.Log: int println(int,java.lang.String,java.lang.String)>",SINK
"<android.util.Slog: int v(java.lang.String,java.lang.String,java.lang.Throwable)>",SINK
"<com.android.internal.telephony.sip.SipPhoneBase: void setLine1Number(java.lang.String,java.lang.String,android.os.Message)>",SINK
<com.android.internal.telephony.cat.ToneSettings$1: com.android.internal.telephony.cat.ToneSettings[] newArray(int)>,NONE
"<org.apache.harmony.xml.dom.InnerNodeImpl: void getElementsByTagName(org.apache.harmony.xml.dom.NodeListImpl,java.lang.String)>",SOURCE
<com.android.contacts.model.account.BaseAccountType$RelationshipKindBuilder: java.lang.String getTagName()>,NONE
<com.android.server.net.NetworkStatsService$DefaultNetworkStatsSettings: long getPollInterval()>,SOURCE
<org.apache.harmony.xnet.provider.jsse.SSLInputStream: long readUint32()>,SOURCE
<com.android.internal.telephony.OperatorInfo: java.lang.String toString()>,SOURCE
<android.telephony.CellInfoCdma: android.telephony.CellSignalStrengthCdma getCellSignalStrength()>,SOURCE
<com.android.gallery3d.data.SingleItemAlbum: java.lang.String getName()>,SOURCE
<com.android.server.location.PassiveProvider: com.android.internal.location.ProviderProperties getProperties()>,SOURCE
"<com.android.browser.provider.BrowserProvider2: int getUrlCount(android.database.sqlite.SQLiteDatabase,java.lang.String,java.lang.String)>",SOURCE
"<libcore.net.UriCodec: java.lang.String encode(java.lang.String,java.nio.charset.Charset)>",NONE
<com.android.gallery3d.exif.ExifTag: int getLong(int)>,SOURCE
<android.database.sqlite.SQLiteStatement: long executeInsert()>,NONE
<gov.nist.javax.sip.SipStackImpl: java.lang.String[] getEnabledCipherSuites()>,SOURCE
<org.apache.harmony.xnet.provider.jsse.SSLSocketFactoryImpl: java.lang.String[] getDefaultCipherSuites()>,SOURCE
<com.google.android.mms.pdu.DeliveryInd: byte[] getMessageId()>,SOURCE
<com.android.server.NetworkManagementService: android.net.NetworkStats getNetworkStatsTethering(java.lang.String[])>,SOURCE
<org.apache.harmony.xnet.provider.jsse.OpenSSLSocketImpl: java.lang.String[] getEnabledProtocols()>,SOURCE
"<com.android.mms.data.ContactList: com.android.mms.data.ContactList getByNumbers(java.lang.String,boolean,boolean)>",SOURCE
<com.android.vcard.VCardProperty: java.util.List getValueList()>,SOURCE
<android.app.ExpandableListActivity: void onContentChanged()>,NONE
"<org.apache.http.message.BasicLineParser: org.apache.http.ProtocolVersion parseProtocolVersion(org.apache.http.util.CharArrayBuffer,org.apache.http.message.ParserCursor)>",SOURCE
<android.widget.TextView: boolean onPreDraw()>,NONE
"<com.android.email.activity.MailboxFinder: void <init>(android.content.Context,long,int,com.android.email.activity.MailboxFinder$Callback)>",NONE
"<java.lang.ref.Reference: void <init>(java.lang.Object,java.lang.ref.ReferenceQueue)>",NONE
"<android.filterpacks.imageproc.RedEyeFilter: void initProgram(android.filterfw.core.FilterContext,int)>",NONE
<android.view.HardwareCanvas: int callDrawGLFunction(int)>,NONE
<gov.nist.javax.sip.header.Contact: float getQValue()>,NONE
<com.android.calendar.agenda.AgendaWindowAdapter: void setHideDeclinedEvents(boolean)>,NONE
"<com.android.soundrecorder.VUMeter: void <init>(android.content.Context,android.util.AttributeSet)>",NONE
<com.android.contacts.util.ExpirableCache: java.lang.Object get(java.lang.Object)>,NONE
<android.widget.AbsListView: boolean isTextFilterEnabled()>,NONE
<gov.nist.javax.sip.stack.SIPServerTransaction$TransactionTimer: void <init>(gov.nist.javax.sip.stack.SIPServerTransaction)>,NONE
<android.net.NetworkUtils: java.net.InetAddress hexToInet6Address(java.lang.String)>,NONE
"<com.android.mms.ui.MessageListItem: void <init>(android.content.Context,android.util.AttributeSet)>",NONE
"<android.net.sip.SipSession$Listener: void onCallTransferring(android.net.sip.SipSession,java.lang.String)>",NONE
<com.android.phone.CallController: void handleMessage(android.os.Message)>,NONE
<gov.nist.javax.sip.header.CallIdentifier: boolean equals(java.lang.Object)>,NONE
"<com.android.internal.widget.PasswordEntryKeyboard: void <init>(android.content.Context,int)>",NONE
<android.animation.ValueAnimator: void setDurationScale(float)>,NONE
<com.android.videoeditor.widgets.ZoomControl: void setOnZoomChangeListener(com.android.videoeditor.widgets.ZoomControl$OnZoomChangeListener)>,NONE
<java.util.Collections$SingletonMap$1$1: java.lang.Object next()>,NONE
"<android.text.style.ImageSpan: void <init>(android.content.Context,android.graphics.Bitmap)>",NONE
<com.android.internal.policy.impl.keyguard.KeyguardMultiUserAvatar: void setPressed(boolean)>,SINK
<com.android.org.bouncycastle.asn1.ASN1Object: com.android.org.bouncycastle.asn1.ASN1Primitive toASN1Object()>,SOURCE
"<java.lang.AbstractStringBuilder: int lastIndexOf(java.lang.String,int)>",NONE
<com.android.mms.ui.SlideshowEditActivity: void onSaveInstanceState(android.os.Bundle)>,NONE
"<com.android.server.ProcessMap: java.lang.Object get(java.lang.String,int)>",NONE
"<android.webkit.WebViewClassic$5: void onClick(android.content.DialogInterface,int)>",NONE
<com.google.common.collect.BstInOrderPath: void <clinit>()>,NONE
"<android.opengl.GLLogWrapper: void glColorPointer(int,int,int,int)>",NONE
"<com.google.android.gles_jni.EGLImpl: javax.microedition.khronos.egl.EGLSurface eglCreatePixmapSurface(javax.microedition.khronos.egl.EGLDisplay,javax.microedition.khronos.egl.EGLConfig,java.lang.Object,int[])>",NONE
"<android.filterfw.geometry.Rectangle: android.filterfw.geometry.Rectangle fromCenterVerticalAxis(android.filterfw.geometry.Point,android.filterfw.geometry.Point,android.filterfw.geometry.Point)>",NONE
<com.android.vcard.VCardProperty: byte[] getByteValue()>,SOURCE
"<android.telephony.PhoneNumberFormattingTextWatcher: void beforeTextChanged(java.lang.CharSequence,int,int,int)>",NONE
"<android.webkit.WebViewClient: boolean shouldOverrideUrlLoading(android.webkit.WebView,java.lang.String)>",NONE
<com.android.gallery3d.exif.CountedDataInputStream: long readUnsignedInt()>,NONE
"<android.media.effect.effects.StraightenEffect: void <init>(android.media.effect.EffectContext,java.lang.String)>",NONE
<org.apache.http.protocol.DefaultedHttpContext: java.lang.Object getAttribute(java.lang.String)>,SOURCE
