,SS GroundT,Cat GroundT,Description,Return,Parameters,ApiLevel
<android.view.SurfaceControl.Transaction: void apply()>,,,"Apply the transaction clearing it's state and making it usable
 as a new transaction.",void,,29.0
<android.telephony.CellIdentityGsm: String getMccString()>,,,,String Mobile Country Code in string format null if unavailable. |||,,28.0
<android.widget.TextView: void setTextSelectHandleLeft(int)>,,,"Sets the Drawable corresponding to the left handle used
 for selecting text. The Drawable defaults to the value of the
 textSelectHandleLeft attribute.
 Note that any change applied to the handle Drawable will not be visible
 until the handle is hidden and then drawn again. Related XML Attributes: android:textSelectHandleLeft",void,textSelectHandleLeft int |||,29.0
<android.app.UiAutomation: void adoptShellPermissionIdentity(String)>,,,"Adopt the permission identity of the shell UID only for the provided permissions.
 This allows you to call APIs protected permissions which normal apps cannot hold
 but are granted to the shell UID. If you already adopted the specified shell
 permissions by calling this method or adoptShellPermissionIdentity() a
 subsequent call would be a no-op. Note that your permission state becomes that of the
 shell UID and it is not a combination of your and the shell UID permissions. Note: Calling this method adopts only the specified shell permissions
 and overrides all adopted permissions via adoptShellPermissionIdentity() .",void,"permissions String : The permissions to adopt or null to adopt all.
This value may be null . |||",29.0
<android.view.textclassifier.SelectionEvent: String getWidgetVersion()>,,,Returns a string version info for the widget this event was triggered in.,String This value may be null . |||,,28.0
<android.graphics.text.LineBreaker.Result: float getLineWidth(int)>,,,Returns width of a given line in pixels. This units of this value are pixels.,"float width of the line in pixels
 
 This units of this value are pixels.
 {} |||","lineIndex int : an index of the line.
Value is 0 or greater |||",29.0
<android.app.admin.FreezePeriod: MonthDay getEnd()>,,,Returns the end date (inclusive) of this freeze period.,MonthDay |||,,28.0
<android.content.pm.PackageManager: boolean isDeviceUpgrading()>,,,Returns true if the device is upgrading such as first boot after OTA.,boolean |||,,29.0
"<android.graphics.Insets: Insets of(int,int,int,int)>",,,Return an Insets instance with the appropriate values.,"Insets Insets instance with the appropriate values
 
 This value will never be null . |||","left int : the left inset |||
top int : the top inset |||
right int : the right inset |||
bottom int : the bottom inset |||",29.0
<android.service.notification.ZenPolicy.Builder: ZenPolicy.Builder allowEvents(boolean)>,,,Whether to allow notifications with category Notification#CATEGORY_EVENT to play sounds and visually appear or to intercept them when DND is active.,ZenPolicy.Builder This value will never be null . |||,allow boolean |||,29.0
<android.app.slice.SliceProvider: void onSliceUnpinned(Uri)>,,,"Called to inform an app that a slices is no longer pinned. This means that no other apps on the device care about updates to this
 slice anymore and therefore it is not important to be updated. Any syncs
 or jobs related to this slice should be cancelled.",void,sliceUri Uri |||,28.0
<android.view.View: Drawable getHorizontalScrollbarThumbDrawable()>,,,"Returns the currently configured Drawable for the thumb of the horizontal scroll bar if it
 exists null otherwise.",Drawable |||,,29.0
<android.media.Session2Command: String getCustomAction()>,,,"Gets the action of a custom command.
 This will return null for a predefined command.",String |||,,29.0
<android.app.slice.SliceItem: Slice getSlice()>,,,,Slice The slice held by this FORMAT_ACTION or FORMAT_SLICE SliceItem |||,,28.0
<android.telephony.SubscriptionInfo: String getMccString()>,,,,"String The MCC as a string.
 
 This value may be null . |||",,29.0
<android.view.Window: boolean isNavigationBarContrastEnforced()>,,,"Returns whether the system is ensuring that the navigation bar has enough contrast when a
 fully transparent background is requested. When the navigation bar color has a non-zero alpha value the value of this
 property has no effect.",boolean true if the system is ensuring contrast false otherwise. |||,,29.0
<android.hardware.camera2.params.RecommendedStreamConfigurationMap: Set getHighSpeedVideoSizesFor(Range)>,,,Get the supported video sizes for an input high speed FPS range. For further information refer to StreamConfigurationMap#getHighSpeedVideoSizesFor .,"Set < Size > A non-modifiable set of video sizes to create high speed capture sessions for high
         speed streaming use cases.

 This value may be null . |||",fpsRange Range : one of the FPS ranges returned by getHighSpeedVideoFpsRanges() This value must never be null . |||,29.0
<android.telephony.SignalStrength: List getCellSignalStrengths(Class)>,,,"Returns a List of CellSignalStrength Components of this SignalStrength Report.

 Use this API to access underlying CellSignalStrength objects that provide more
 granular information about the SignalStrength report. Only valid (non-empty)
 CellSignalStrengths will be returned. The order of any returned elements is not guaranteed
 and the list may contain more than one instance of a CellSignalStrength type.","List <T> a List of CellSignalStrength or an empty List if there are no valid measurements.

 This value will never be null . |||","clazz Class : a class type that extends CellSignalStrength to filter possible
return values.
This value must never be null . |||",29.0
"<android.text.util.Linkify: boolean addLinks(Spannable,Pattern,String,String,Linkify.MatchFilter,Linkify.TransformFilter,Function)>",,,Applies a regex to a Spannable turning the matches into links.,boolean True if at least one link is found and applied. |||,"spannable Spannable : spannable whose text is to be marked-up with links.
This value must never be null . |||
pattern Pattern : regex pattern to be used for finding links.
This value must never be null . |||
defaultScheme String : the default scheme to be prepended to links if the link does not
start with one of the schemes given.
This value may be null . |||
schemes String : array of schemes (eg http:// ) to check if the link found
contains a scheme. Passing a null or empty value means prepend
defaultScheme
to all links.
This value may be null . |||
matchFilter Linkify.MatchFilter : the filter that is used to allow the client code additional control
over which pattern matches are to be converted into links.
This value may be null . |||
transformFilter Linkify.TransformFilter : filter to allow the client code to update the link found.
This value may be null . |||
urlSpanFactory Function : function used to create URLSpan s
This value may be null . |||",29.0
<android.system.StructTimeval: int hashCode()>,,,"Returns a hash code value for the object. This method is
 supported for the benefit of hash tables such as those provided by HashMap . The general contract of hashCode is: Whenever it is invoked on the same object more than once during
     an execution of a Java application the hashCode method
     must consistently return the same integer provided no information
     used in equals comparisons on the object is modified.
     This integer need not remain consistent from one execution of an
     application to another execution of the same application. 
If two objects are equal according to the equals(Object) method then calling the hashCode method on each of
     the two objects must produce the same integer result. 
It is not required that if two objects are unequal
     according to the equals(java.lang.Object) method then calling the hashCode method on each of the
     two objects must produce distinct integer results.  However the
     programmer should be aware that producing distinct integer results
     for unequal objects may improve the performance of hash tables. 
As much as is reasonably practical the hashCode method defined by
 class Object does return distinct integers for distinct
 objects. (This is typically implemented by converting the internal
 address of the object into an integer but this implementation
 technique is not required by the
 Java™ programming language.)",int a hash code value for this object. |||,,29.0
"<android.telecom.ConnectionService: Connection onCreateOutgoingHandoverConnection(PhoneAccountHandle,ConnectionRequest)>",,,"Called by Telecom to request that a ConnectionService creates an instance of an
 outgoing handover Connection . A call handover is the process where an ongoing call is transferred from one app (i.e. ConnectionService to another app.  The user could for example choose to continue a
 mobile network call in a video calling app.  The mobile network call via the Telephony stack
 is referred to as the source of the handover and the video calling app is referred to as the
 destination. When considering a handover scenario the initiating device is where a user initiated
 the handover process (e.g. by calling Call.handoverTo(PhoneAccountHandle int Bundle) and the other device is considered the receiving device. This method is called on the destination ConnectionService on initiating device when the user initiates a handover request from one app to another.  The user request
 originates in the InCallService via Call.handoverTo(PhoneAccountHandle int Bundle) . For a full discussion of the handover process and the APIs involved see Call.handoverTo(PhoneAccountHandle int Bundle) . Implementations of this method should return an instance of Connection which
 represents the handover.  If your app does not wish to accept a handover to it at this time
 you can return null .  The code below shows an example of how this is done.",Connection Connection instance corresponding to the handover call. |||,"fromPhoneAccountHandle PhoneAccountHandle : PhoneAccountHandle associated with the
ConnectionService which needs to handover the call. |||
request ConnectionRequest : Details about the call to handover. |||",28.0
<android.view.textclassifier.ConversationActions.Request: Bundle getExtras()>,,,Returns the extended data related to this request. NOTE: Do not modify this bundle.,Bundle This value will never be null . |||,,29.0
<android.media.MediaSession2Service: void onCreate()>,,,"Called by the system when the service is first created. Do not call this method directly. Override this method if you need your own initialization. Derived classes MUST call through
 to the super class's implementation of this method. If you override this method you must call through to the
 superclass implementation.",void,,29.0
<android.media.ExifInterface: long getAttributeRange(String)>,,,"Returns the offset and length of the requested tag inside the image file
 or null if the tag is not contained.","long[] two-element array the offset in the first value and length in
         the second or null if no tag was found. |||",tag String : This value must never be null . |||,29.0
<android.net.wifi.WifiNetworkSpecifier.Builder: WifiNetworkSpecifier.Builder setWpa3EnterpriseConfig(WifiEnterpriseConfig)>,,,"Set the associated enterprise configuration for this network. Needed for authenticating
 to WPA3-SuiteB networks. See WifiEnterpriseConfig for description.","WifiNetworkSpecifier.Builder Instance of Builder to enable chaining of the builder method.
 
 This value will never be null . |||","enterpriseConfig WifiEnterpriseConfig : Instance of WifiEnterpriseConfig .
This value must never be null . |||",29.0
<android.webkit.TracingConfig: List getCustomIncludedCategories()>,,,Returns the list of included custom category patterns for this configuration.,"List < String > Empty list if no custom category patterns are specified.
 
 This value will never be null . |||",,28.0
<android.media.AudioDeviceInfo: String getAddress()>,,,,"String The ""address"" string of the device. This generally contains device-specific
 parameters.
 
 This value will never be null . |||",,28.0
<android.view.textclassifier.TextSelection.Request: int describeContents()>,,,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.","int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||",,28.0
<android.database.sqlite.SQLiteQueryBuilder: Map getProjectionMap()>,,,Gets the projection map for the query as last configured by setProjectionMap(java.util.Map) .,Map < String  String > This value may be null . |||,,29.0
<android.media.MediaPlayer: void setOnSubtitleDataListener(MediaPlayer.OnSubtitleDataListener)>,,,"Sets the listener to be invoked when a subtitle track has new data available.
 The subtitle data comes from a subtitle track previously selected with selectTrack(int) . Use getTrackInfo() to determine which tracks are
 subtitles (of type TrackInfo#MEDIA_TRACK_TYPE_SUBTITLE ) Subtitle track encodings
 can be determined by TrackInfo#getFormat() ). See SubtitleData for an example of querying subtitle encoding. The listener will be called on the same thread as the one in which the MediaPlayer was
 created.",void,"listener MediaPlayer.OnSubtitleDataListener : the listener called when new data is available
This value must never be null . |||",28.0
<android.view.View: View.AccessibilityDelegate getAccessibilityDelegate()>,,,"Returns the delegate for implementing accessibility support via
 composition. For more details see AccessibilityDelegate .",View.AccessibilityDelegate The delegate or null if none set. |||,,29.0
<android.net.wifi.aware.SubscribeConfig.Builder: SubscribeConfig.Builder setMaxDistanceMm(int)>,,,"Configure the maximum distance to a discovered publisher at which to trigger a discovery
 notification. I.e. discovery will be triggered if we've found a matching publisher
 (based on the other criteria in this configuration) and the distance to the
 publisher is smaller than the value specified in this API. Can be used in conjunction
 with setMinDistanceMm(int) to specify a geofence i.e. discovery with min <=
 distance <= max. For ranging to be used in discovery it must also be enabled on the publisher using PublishConfig.Builder#setRangingEnabled(boolean) . However ranging may
 not be available or enabled on the publisher or may be temporarily disabled on either
 subscriber or publisher - in such cases discovery will proceed without ranging. When ranging is enabled and available on both publisher and subscriber and a service
 is discovered based on geofence constraints the DiscoverySessionCallback#onServiceDiscoveredWithinRange(PeerHandle byte[] List int) is called otherwise the DiscoverySessionCallback#onServiceDiscovered(PeerHandle byte[] List) is called. The device must support Wi-Fi RTT for this feature to be used. Feature support is checked
 as described in android.net.wifi.rtt .",SubscribeConfig.Builder The builder to facilitate chaining builder.setXXX(..).setXXX(..) . |||,"maxDistanceMm int : Maximum distance in mm to the publisher below which to trigger
discovery. |||",28.0
<android.graphics.text.LineBreaker.ParagraphConstraints: float getFirstWidth()>,,,Return the first line's width for this paragraph in pixel. This units of this value are pixels.,"float This units of this value are pixels.
 {}
 
 Value is 0.0f or greater |||",,29.0
<android.media.audiofx.DynamicsProcessing: void setMbcAllChannelsTo(DynamicsProcessing.Mbc)>,,,,void,mbc DynamicsProcessing.Mbc |||,28.0
<android.view.textclassifier.TextClassifierEvent: int getEventCategory()>,,,Returns the event category. e.g. CATEGORY_SELECTION .,int Value is CATEGORY_SELECTION  CATEGORY_LINKIFY  CATEGORY_CONVERSATION_ACTIONS or CATEGORY_LANGUAGE_DETECTION |||,,29.0
<android.media.MediaCodecInfo.VideoCapabilities.PerformancePoint: int hashCode()>,,,"Returns a hash code value for the object. This method is
 supported for the benefit of hash tables such as those provided by HashMap . The general contract of hashCode is: Whenever it is invoked on the same object more than once during
     an execution of a Java application the hashCode method
     must consistently return the same integer provided no information
     used in equals comparisons on the object is modified.
     This integer need not remain consistent from one execution of an
     application to another execution of the same application. 
If two objects are equal according to the equals(Object) method then calling the hashCode method on each of
     the two objects must produce the same integer result. 
It is not required that if two objects are unequal
     according to the equals(java.lang.Object) method then calling the hashCode method on each of the
     two objects must produce distinct integer results.  However the
     programmer should be aware that producing distinct integer results
     for unequal objects may improve the performance of hash tables. 
As much as is reasonably practical the hashCode method defined by
 class Object does return distinct integers for distinct
 objects. (This is typically implemented by converting the internal
 address of the object into an integer but this implementation
 technique is not required by the
 Java™ programming language.)",int a hash code value for this object. |||,,29.0
<android.view.autofill.AutofillManager: AutofillId getNextAutofillId()>,,,Gets the next unique autofill ID for the activity context. Typically used to manage views whose content is recycled - see View#setAutofillId(AutofillId) for more info.,"AutofillId An ID that is unique in the activity or null if autofill is not supported in
 the Context associated with this AutofillManager . |||",,28.0
<android.telephony.TelephonyManager: int getCardIdForDefaultEuicc()>,,,"Get the card ID of the default eUICC card. If the eUICCs have not yet been loaded returns UNINITIALIZED_CARD_ID . If there is no eUICC or the device does not support card IDs
 for eUICCs returns UNSUPPORTED_CARD_ID . The card ID is a unique identifier associated with a UICC or eUICC card. Card IDs are
 unique to a device and always refer to the same UICC or eUICC card unless the device goes
 through a factory reset.",int card ID of the default eUICC card if loaded. |||,,29.0
<android.security.keystore.KeyProtection.Builder: KeyProtection.Builder setUserPresenceRequired(boolean)>,,,"Sets whether a test of user presence is required to be performed between the Signature.initSign() and Signature.sign() method calls. It requires that
 the KeyStore implementation have a direct way to validate the user presence for example
 a KeyStore hardware backed strongbox can use a button press that is observable in
 hardware. A test for user presence is tangential to authentication. The test can be part
 of an authentication step as long as this step can be validated by the hardware
 protecting the key and cannot be spoofed. For example a physical button press can be
 used as a test of user presence if the other pins connected to the button are not able
 to simulate a button press. There must be no way for the primary processor to fake a
 button press or that button must not be used as a test of user presence.",KeyProtection.Builder This value will never be null . |||,required boolean |||,28.0
<android.telephony.mbms.StreamingServiceCallback: void onMediaDescriptionUpdated()>,,,"Called to indicate the mpd of a the stream has changed.

 Depending on the Dash Client it may need to be either reset
 (less drastic but original spec didn't allow mpd to change so not
 always supported) or restarted.

 This may be called when a looping stream hits the end or
 when parameters have changed to account for time drift.",void,,28.0
<android.net.wifi.WifiNetworkSuggestion.Builder: WifiNetworkSuggestion.Builder setPriority(int)>,,,"Specify the priority of this network among other network suggestions provided by the same
 app (priorities have no impact on suggestions by different apps). The higher the number
 the higher the priority (i.e value of 0 = lowest priority).","WifiNetworkSuggestion.Builder Instance of Builder to enable chaining of the builder method.
 This value will never be null . |||","priority int : Integer number representing the priority among suggestions by the app.
Value is 0 or greater |||",29.0
<android.view.textclassifier.TextLinks: Collection getLinks()>,,,Returns an unmodifiable Collection of the links.,Collection < TextLinks.TextLink > This value will never be null . |||,,28.0
<android.telephony.data.ApnSetting: int getMmsProxyPort()>,,,Returns the MMS proxy port of the APN.,int MMS proxy port |||,,28.0
<android.graphics.Paint: long getShadowLayerColorLong()>,,,Returns the color of the shadow layer.,long the shadow layer's color encoded as a ColorLong . |||,,29.0
<android.content.ContentProvider: void restoreCallingIdentity(ContentProvider.CallingIdentity)>,,,"Restore the identity of the incoming IPC on the current thread back to a
 previously identity that was returned by clearCallingIdentity() . Internally this calls Binder#restoreCallingIdentity(long) and
 also restores any value stored in getCallingPackage() .",void,identity ContentProvider.CallingIdentity : This value must never be null . |||,29.0
<android.telephony.data.ApnSetting.Builder: ApnSetting.Builder setMmsProxyAddress(String)>,,,Sets the MMS proxy address of the APN.,ApnSetting.Builder This value will never be null . |||,"mmsProxy String : the MMS proxy address to set for the APN
This value may be null . |||",29.0
<android.os.Trace: boolean isEnabled()>,,,"Checks whether or not tracing is currently enabled. This is useful to avoid intermediate
 string creation for trace sections that require formatting. It is not necessary
 to guard all Trace method calls as they internally already check this. However it is
 recommended to use this to prevent creating any temporary objects that would then be
 passed to those methods to reduce runtime cost when tracing isn't enabled.",boolean true if tracing is currently enabled false otherwise |||,,29.0
"<android.media.audiofx.DynamicsProcessing.Config: DynamicsProcessing.EqBand getPostEqBandByChannelIndex(int,int)>",,,,DynamicsProcessing.EqBand |||,"channelIndex int |||
band int |||",28.0
<android.view.View: Drawable getHorizontalScrollbarTrackDrawable()>,,,"Returns the currently configured Drawable for the track of the horizontal scroll bar if it
 exists null otherwise.",Drawable |||,,29.0
<android.icu.text.Bidi: void setInverse(boolean)>,,,"Modify the operation of the Bidi algorithm such that it
 approximates an ""inverse Bidi"" algorithm. This method
 must be called before setPara() . The normal operation of the Bidi algorithm as described
 in the Unicode Technical Report is to take text stored in logical
 (keyboard typing) order and to determine the reordering of it for visual
 rendering.
 Some legacy systems store text in visual order and for operations
 with standard Unicode-based algorithms the text needs to be transformed
 to logical order. This is effectively the inverse algorithm of the
 described Bidi algorithm. Note that there is no standard algorithm for
 this ""inverse Bidi"" and that the current implementation provides only an
 approximation of ""inverse Bidi"". With isInversed set to true this method changes the behavior of some of the subsequent methods
 in a way that they can be used for the inverse Bidi algorithm.
 Specifically runs of text with numeric characters will be treated in a
 special way and may need to be surrounded with LRM characters when they are
 written in reordered sequence. Output runs should be retrieved using getVisualRun() .
 Since the actual input for ""inverse Bidi"" is visually ordered text and getVisualRun() gets the reordered runs these are actually
 the runs of the logically ordered output. Calling this method with argument isInverse set to true is equivalent to calling setReorderingMode with argument reorderingMode set to REORDER_INVERSE_NUMBERS_AS_L . Calling this method with argument isInverse set to false is equivalent to calling setReorderingMode with argument reorderingMode set to REORDER_DEFAULT .",void,"isInverse boolean : specifies ""forward"" or ""inverse"" Bidi operation. |||",29.0
<android.app.Dialog: T requireViewById(int)>,,,"Finds the first descendant view with the given ID or throws an IllegalArgumentException if
 the ID is invalid (< 0) there is no matching view in the hierarchy or the dialog has not
 yet been fully created (for example via show() or create() ). Note: In most cases -- depending on compiler support --
 the resulting view is automatically cast to the target class type. If
 the target class type is unconstrained an explicit cast may be
 necessary.","T a view with given ID
 This value will never be null . |||",id int : the ID to search for |||,28.0
<android.content.pm.PackageInstaller.SessionParams: void setMultiPackage()>,,,"Set this session to be the parent of a multi-package install.

 A multi-package install session contains no APKs and only references other install
 sessions via ID. When a multi-package session is committed all of its children
 are committed to the system in an atomic manner. If any children fail to install
 all of them do including the multi-package session.",void,,29.0
<android.telephony.mbms.DownloadRequest: int describeContents()>,,,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.","int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||",,28.0
<android.media.audiofx.DynamicsProcessing.MbcBand: float getPostGain()>,,,"gets the gain applied to the signal AFTER compression. Measured in decibels (dB) where 0
 dB means no level change",float postGain value in decibels (dB) |||,,28.0
<android.app.admin.DevicePolicyManager: Set getCrossProfileCalendarPackages(ComponentName)>,,,Gets a set of package names that are allowed to access cross-profile calendar APIs. Called by a profile owner of a managed profile.,"Set < String > the set of names of packages that were previously allowed via setCrossProfileCalendarPackages(android.content.ComponentName java.util.Set) or an
 empty set if none have been allowed
 This value may be null . |||","admin ComponentName : which DeviceAdminReceiver this request is associated with
This value must never be null . |||",29.0
<android.telephony.PhoneStateListener: void onActiveDataSubscriptionIdChanged(int)>,,,"Callback invoked when active data subId changes.
 Note this callback triggers regardless of registered subscription.

 Requires the READ_PHONE_STATE permission.",void,"subId int : current subscription used to setup Cellular Internet data.
For example it could be the current active opportunistic subscription in use
or the subscription user selected as default data subscription in DSDS mode. |||",29.0
<android.telephony.UiccCardInfo: boolean isEuicc()>,,,Return whether the UICC is an eUICC.,boolean true if the UICC is an eUICC. |||,,29.0
"<android.system.Os: void setsockoptTimeval(FileDescriptor,int,int,StructTimeval)>",,,"See setsockopt(2) . Only for use with option values that take a struct timeval such as OsConstants#SO_RCVTIMEO and OsConstants#SO_SNDTIMEO . Use with other
 options is likely to cause incorrect behavior.",void,"fd FileDescriptor |||
level int |||
option int |||
value StructTimeval |||",29.0
<android.graphics.RenderNode: float getScaleY()>,,,Returns the scale value for this display list on the Y axis.,float |||,,29.0
<android.media.MediaSession2.Builder: MediaSession2.Builder setExtras(Bundle)>,,,"Set extras for the session token. If null or not set Session2Token#getExtras() will return an empty Bundle . An IllegalArgumentException will be thrown
 if the bundle contains any non-framework Parcelable objects.",MediaSession2.Builder The Builder to allow chaining |||,extras Bundle : This value must never be null . |||,29.0
"<android.hardware.camera2.CameraCaptureSession: int setRepeatingBurstRequests(List,Executor,CameraCaptureSession.CaptureCallback)>",,,"Request endlessly repeating capture of a sequence of images by this
 capture session. The behavior of this method matches that of setRepeatingBurst(java.util.List android.hardware.camera2.CameraCaptureSession.CaptureCallback android.os.Handler) except that it uses Executor as an argument
 instead of Handler .",int int A unique capture sequence ID used by CaptureCallback#onCaptureSequenceCompleted . |||,"requests List : the list of requests to cycle through indefinitely
This value must never be null . |||
executor Executor : the executor which will be used for invoking the listener.
This value must never be null .
Callback and listener events are dispatched through this Executor providing an easy way to control which thread is
used. To dispatch events through the main thread of your
application you can use Context.getMainExecutor() .
To dispatch events through a shared thread pool you can use AsyncTask#THREAD_POOL_EXECUTOR . |||
listener CameraCaptureSession.CaptureCallback : The callback object to notify each time one of the
requests in the repeating bursts has finished processing.
This value must never be null . |||",28.0
<android.view.textclassifier.TextClassifierEvent.TextSelectionEvent.Builder: TextClassifierEvent.TextSelectionEvent.Builder setRelativeSuggestedWordEndIndex(int)>,,,"Sets the relative word (exclusive) index of the end of the
 smart selection.",TextClassifierEvent.TextSelectionEvent.Builder This value will never be null . |||,relativeSuggestedWordEndIndex int |||,29.0
<android.graphics.ImageDecoder: boolean isUnpremultipliedRequired()>,,,Return whether the Bitmap will have unpremultiplied pixels.,boolean |||,,28.0
<android.net.IpSecTransform: void close()>,,,"Deactivate this IpSecTransform and free allocated resources. Deactivating a transform while it is still applied to a socket will result in errors on
 that socket. Make sure to remove transforms by calling IpSecManager#removeTransportModeTransforms . Note removing an IpSecTransform from a
 socket will not deactivate it (because one transform may be applied to multiple sockets). It is safe to call this method on a transform that has already been deactivated.",void,,28.0
<android.view.textclassifier.TextLinks.Request: LocaleList getDefaultLocales()>,,,"Returns an ordered list of locale preferences that can be used to disambiguate the
 provided text.",LocaleList This value may be null . |||,,28.0
<android.app.assist.AssistStructure.ViewNode: int getImportantForAutofill()>,,,"Gets the View#setImportantForAutofill(int) of
 the view associated with this node. It's only relevant when the AssistStructure is used for autofill purposes.",int Value is View.IMPORTANT_FOR_AUTOFILL_AUTO  View.IMPORTANT_FOR_AUTOFILL_YES  View.IMPORTANT_FOR_AUTOFILL_NO  View.IMPORTANT_FOR_AUTOFILL_YES_EXCLUDE_DESCENDANTS or View.IMPORTANT_FOR_AUTOFILL_NO_EXCLUDE_DESCENDANTS |||,,28.0
<android.widget.TextView: Drawable getTextSelectHandle()>,,,"Returns the Drawable corresponding to the selection handle used
 for positioning the cursor within text.
 Note that any change applied to the handle Drawable will not be visible
 until the handle is hidden and then drawn again. Related XML Attributes: android:textSelectHandle","Drawable the text select handle drawable

 This value may be null . |||",,29.0
<android.app.job.JobInfo: boolean isPrefetch()>,,,,boolean |||,,28.0
<android.graphics.drawable.ColorStateListDrawable: ColorFilter getColorFilter()>,,,Returns the current color filter or null if none set.,ColorFilter This value may be null . |||,,29.0
<android.service.notification.NotificationListenerService: void clearRequestedListenerHints()>,,,"Clears listener hints set via getCurrentListenerHints() . The service should wait for the onListenerConnected() event
 before performing this operation.",void,,29.0
"<android.telephony.SubscriptionManager: boolean setOpportunistic(boolean,int)>",,,"Set whether a subscription is opportunistic that is whether the network it connects
 to has limited coverage. For example CBRS. Setting a subscription opportunistic has
 following impacts:
  1) Even if it's active it will be dormant most of the time. The modem will not try
     to scan or camp until it knows an available network is nearby to save power.
  2) Telephony relies on system app or carrier input to notify nearby available networks.
     See TelephonyManager#updateAvailableNetworks(List Executor Consumer) for more information.
  3) In multi-SIM devices when the network is nearby and camped system may automatically
     switch internet data between it and default data subscription based on carrier
     recommendation and its signal strength and metered-ness etc.


 Caller will either have Manifest.permission.MODIFY_PHONE_STATE or carrier
 privilege permission of the subscription. Requires Manifest.permission.MODIFY_PHONE_STATE",boolean true if the operation is succeed false otherwise. |||,"opportunistic boolean : whether it’s opportunistic subscription. |||
subId int : the unique SubscriptionInfo index in database |||",29.0
<android.graphics.Picture: boolean requiresHardwareAcceleration()>,,,"Indicates whether or not this Picture contains recorded commands that only work when
 drawn to a hardware-accelerated canvas. If this returns true then this Picture can only
 be drawn to another Picture or to a Canvas where canvas.isHardwareAccelerated() is true.

 Note this value is only updated after recording has finished by a call to endRecording() . Prior to that it will be the default value of false.","boolean true if the Picture can only be drawn to a hardware-accelerated canvas
         false otherwise. |||",,28.0
<android.media.audiofx.DynamicsProcessing.Config: int getVariant()>,,,Gets variant for effect engine See DynamicsProcessing.VARIANT_FAVOR_FREQUENCY_RESOLUTION and DynamicsProcessing.VARIANT_FAVOR_TIME_RESOLUTION .,int variant of effect engine |||,,28.0
<android.location.GnssClock: long getElapsedRealtimeNanos()>,,,Returns the elapsed real-time of this clock since system boot in nanoseconds. The value is only available if hasElapsedRealtimeNanos() is true .,long |||,,29.0
<android.net.wifi.rtt.ResponderLocation: double getLatitude()>,,,,double the latitude in degrees Only valid if isLciSubelementValid() returns true or will throw an exception. |||,,29.0
<android.graphics.RenderNode: boolean setTranslationY(float)>,,,Sets the translation value for the display list on the Y axis.,boolean True if the value changed false if the new value was the same as the previous value. |||,translationY float : The Y axis translation value of the display list in pixels |||,29.0
<android.media.Ringtone: void setLooping(boolean)>,,,Sets the player to be looping or non-looping.,void,looping boolean : whether to loop or not. |||,28.0
"<android.widget.RemoteViews: void setOnClickResponse(int,RemoteViews.RemoteResponse)>",,,Equivalent of calling View.setOnClickListener(android.view.View.OnClickListener) to launch the provided RemoteResponse .,void,"viewId int : The id of the view that will trigger the RemoteResponse when clicked |||
response RemoteViews.RemoteResponse : The RemoteResponse to send when user clicks
This value must never be null . |||",29.0
<android.view.textclassifier.SelectionEvent: int getEnd()>,,,"Returns the end index of this events relative to the index of the start selection
 event in the selection session.",int |||,,28.0
<android.app.Service: int getForegroundServiceType()>,,,"If the service has become a foreground service by calling startForeground(int android.app.Notification) or startForeground(int android.app.Notification int)  getForegroundServiceType() returns the current foreground service type. If there is no foregroundServiceType specified
 in manifest ServiceInfo#FOREGROUND_SERVICE_TYPE_NONE is returned. If the service is not a foreground service ServiceInfo#FOREGROUND_SERVICE_TYPE_NONE is returned.","int current foreground service type flags.
 
 Value is either 0 or a combination of ServiceInfo.FOREGROUND_SERVICE_TYPE_MANIFEST  ServiceInfo.FOREGROUND_SERVICE_TYPE_NONE  ServiceInfo.FOREGROUND_SERVICE_TYPE_DATA_SYNC  ServiceInfo.FOREGROUND_SERVICE_TYPE_MEDIA_PLAYBACK  ServiceInfo.FOREGROUND_SERVICE_TYPE_PHONE_CALL  ServiceInfo.FOREGROUND_SERVICE_TYPE_LOCATION  ServiceInfo.FOREGROUND_SERVICE_TYPE_CONNECTED_DEVICE  ServiceInfo.FOREGROUND_SERVICE_TYPE_MEDIA_PROJECTION  ServiceInfo.FOREGROUND_SERVICE_TYPE_CAMERA and ServiceInfo.FOREGROUND_SERVICE_TYPE_MICROPHONE |||",,29.0
<android.net.LinkProperties: void setHttpProxy(ProxyInfo)>,,,"Sets the recommended ProxyInfo to use on this link or null for none.
 Note that Http Proxies are only a hint - the system recommends their use but it does
 not enforce it and applications may ignore them.",void,"proxy ProxyInfo : A ProxyInfo defining the HTTP Proxy to use on this link.
This value may be null . |||",29.0
