,Old Annotation,New Annotation,Description,Parameters,Return,ClassDescription,PackageDescription
<android.service.autofill.RegexValidator: int describeContents()>,NEITHER,NEITHER,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.",,"int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||","Defines if a field is valid based on a regular expression (regex).

  See  SaveInfo.Builder#setValidator(Validator)  for examples.",
<android.app.slice.SliceItem: int describeContents()>,NEITHER,NEITHER,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.",,"int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||","A SliceItem is a single unit in the tree structure of a  Slice .

 A SliceItem a piece of content and some hints about what that content
 means or how it should be displayed. The types of content can be:
  FORMAT_SLICE FORMAT_TEXT FORMAT_IMAGE FORMAT_ACTION FORMAT_INT FORMAT_LONG FORMAT_REMOTE_INPUT FORMAT_BUNDLE SliceItem Slice","Contains high-level classes encapsulating the overall Android application model. An Android application is defined using one or more of Android's four core application
 components. Two such application components are defined in this package:  Activity  and  Service . The other two components are from the  android.content  package:  BroadcastReceiver  and  ContentProvider . An  Activity  is an application component that provides a screen with which
 users can interact in order to do something such as dial the phone take a photo send an email or
 view a map. An activity can start other activities including activities that live in separate
 applications. A  Service  is an application component that can perform
 long-running operations in the background without a user interface. For example a service
 can handle network transactions play music or work with a content provider without the user being
 aware of the work going on. The  Fragment  class is also an important part of an application's
 designâ€”especially when designing for large screen devices such as tablets. A fragment defines
 a distinct part of an activity's behavior including the associated UI. It has its own lifecycle
 that is similar to that of the activity and can exist alongside other fragments that are embedded in
 the activity. While an activity is running you can add and remove fragments and include each
 fragment in a back stack that's managed by the activityâ€”allowing the user to navigate
 backwards through the fragment states without leaving the activity. This package also defines application utilities such as dialogs notifications and the
 action bar. For information about using some the classes in this package see the following
 documents:  Activities   Services   Fragments   Using the Action Bar   Creating Dialogs  and  Notifying the User ."
<android.net.MacAddress: int describeContents()>,SOURCE,SOURCE,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.",,"int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||","Representation of a MAC address.

 This class only supports 48 bits long addresses and does not support 64 bits long addresses.
 Instances of this class are immutable.",
<android.view.textclassifier.TextLinks: int describeContents()>,NEITHER,NEITHER,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.",,"int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||","A collection of links representing subsequences of text and the entity types (phone number
 address url etc) they may be.",
<android.telephony.CellSignalStrengthTdscdma: int describeContents()>,SOURCE,SOURCE,Implement the Parcelable interface,,"int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||",Abstract base class for cell phone signal strength related information.,
<android.telephony.RadioAccessSpecifier: int describeContents()>,SOURCE,SOURCE,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.",,"int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||","Describes a particular radio access network to be scanned.

 The scan can be performed on either bands or channels for a specific radio access network type.",
<android.app.Notification.BubbleMetadata: int describeContents()>,NEITHER,SOURCE,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.",,"int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||","A class that represents how a persistent notification is to be presented to
 the user using the  NotificationManager .

  The  Notification.Builder  has been added to make it
 easier to construct Notifications.","Contains high-level classes encapsulating the overall Android application model. An Android application is defined using one or more of Android's four core application
 components. Two such application components are defined in this package:  Activity  and  Service . The other two components are from the  android.content  package:  BroadcastReceiver  and  ContentProvider . An  Activity  is an application component that provides a screen with which
 users can interact in order to do something such as dial the phone take a photo send an email or
 view a map. An activity can start other activities including activities that live in separate
 applications. A  Service  is an application component that can perform
 long-running operations in the background without a user interface. For example a service
 can handle network transactions play music or work with a content provider without the user being
 aware of the work going on. The  Fragment  class is also an important part of an application's
 designâ€”especially when designing for large screen devices such as tablets. A fragment defines
 a distinct part of an activity's behavior including the associated UI. It has its own lifecycle
 that is similar to that of the activity and can exist alongside other fragments that are embedded in
 the activity. While an activity is running you can add and remove fragments and include each
 fragment in a back stack that's managed by the activityâ€”allowing the user to navigate
 backwards through the fragment states without leaving the activity. This package also defines application utilities such as dialogs notifications and the
 action bar. For information about using some the classes in this package see the following
 documents:  Activities   Services   Fragments   Using the Action Bar   Creating Dialogs  and  Notifying the User ."
<android.media.audiofx.DynamicsProcessing.MbcBand: String toString()>,NEITHER,NEITHER,"Returns a string representation of the object. In general the toString method returns a string that
 ""textually represents"" this object. The result should
 be a concise but informative representation that is easy for a
 person to read.
 It is recommended that all subclasses override this method. The toString method for class Object returns a string consisting of the name of the class of which the
 object is an instance the at-sign character ` @ ' and
 the unsigned hexadecimal representation of the hash code of the
 object. In other words this method returns a string equal to the
 value of:",,String a string representation of the object. |||,"Class for Multi-Band compressor bands
 MBC bands have multiple controllable parameters: enabled/disabled cutoffFrequency
 attackTime releaseTime ratio threshold kneeWidth noiseGateThreshold expanderRatio
 preGain and postGain.","The Media APIs are used to play and in some cases record media files. This includes
 audio (e.g. play MP3s or other music files ringtones game sound effects or DTMF tones)
 and video (e.g. play a video streamed over the web or from local storage).
  Other special classes in the package offer the ability to detect the faces of people
 in Bitmaps ( FaceDetector ) control audio routing (to the device or a headset)
 and control alerts such as ringtones and phone vibrations ( AudioManager )."
<android.text.PrecomputedText: String toString()>,NEITHER,NEITHER,"Returns a string representation of the object. In general the toString method returns a string that
 ""textually represents"" this object. The result should
 be a concise but informative representation that is easy for a
 person to read.
 It is recommended that all subclasses override this method. The toString method for class Object returns a string consisting of the name of the class of which the
 object is an instance the at-sign character ` @ ' and
 the unsigned hexadecimal representation of the hash code of the
 object. In other words this method returns a string equal to the
 value of:",,String a string representation of the object. |||,"A text which has the character metrics data.

 A text object that contains the character metrics data and can be used to improve the performance
 of text layout operations. When a PrecomputedText is created with a given  CharSequence 
 it will measure the text metrics during the creation. This PrecomputedText instance can be set on
  TextView  or  StaticLayout . Since the text layout information will
 be included in this instance  TextView  or  StaticLayout  will not
 have to recalculate this information.

 Note that the  PrecomputedText  created from different parameters of the target  TextView  will be rejected internally and compute the text layout again with the
 current  TextView  parameters.

  
 An example usage is:
  
  static void asyncSetText(TextView textView final String longString Executor bgExecutor) {
      // construct precompute related parameters using the TextView that we will set the text on.
      final PrecomputedText.Params params = textView.getTextMetricsParams();
      final Reference textViewRef = new WeakReference<>(textView);
      bgExecutor.submit(() -> {
          TextView textView = textViewRef.get();
          if (textView == null) return;
          final PrecomputedText precomputedText = PrecomputedText.create(longString params);
          textView.post(() -> {
              TextView textView = textViewRef.get();
              if (textView == null) return;
              textView.setText(precomputedText);
          });
      });
  }
  PrecomputedText TextView NoCopySpan","Provides classes used to render or track text and text spans on the screen. You can use these classes to design your own widgets that manage text
 to handle arbitrary text spans for changes or to handle drawing yourself
 for an existing widget. The Spanâ€¦ interfaces and classes are used to create or manage spans of
 text in a View item. You can use these to style the text or background or to
 listen for changes. If creating your own widget extend DynamicLayout to manages
 the actual wrapping and drawing of your text."
<android.view.textclassifier.TextLanguage: String toString()>,NEITHER,SOURCE,"Returns a string representation of the object. In general the toString method returns a string that
 ""textually represents"" this object. The result should
 be a concise but informative representation that is easy for a
 person to read.
 It is recommended that all subclasses override this method. The toString method for class Object returns a string consisting of the name of the class of which the
 object is an instance the at-sign character ` @ ' and
 the unsigned hexadecimal representation of the hash code of the
 object. In other words this method returns a string equal to the
 value of:",,String a string representation of the object. |||,"Represents the result of language detection of a piece of text.
  
 This contains a list of locales each paired with a confidence score sorted in decreasing
 order of those scores. E.g. for a given input text the model may return
  [<""en"" 0.85> <""fr"" 0.15>] . This sample result means the model reports that it is
 85% likely that the entire text is in English and 15% likely that the entire text is in French
 etc. It does not mean that 85% of the input is in English and 15% is in French.",
<android.graphics.fonts.Font: String toString()>,NEITHER,NEITHER,"Returns a string representation of the object. In general the toString method returns a string that
 ""textually represents"" this object. The result should
 be a concise but informative representation that is easy for a
 person to read.
 It is recommended that all subclasses override this method. The toString method for class Object returns a string consisting of the name of the class of which the
 object is an instance the at-sign character ` @ ' and
 the unsigned hexadecimal representation of the hash code of the
 object. In other words this method returns a string equal to the
 value of:",,String a string representation of the object. |||,A font class can be used for creating FontFamily.,
<android.telephony.AvailableNetworkInfo: String toString()>,SOURCE,SOURCE,"Returns a string representation of the object. In general the toString method returns a string that
 ""textually represents"" this object. The result should
 be a concise but informative representation that is easy for a
 person to read.
 It is recommended that all subclasses override this method. The toString method for class Object returns a string consisting of the name of the class of which the
 object is an instance the at-sign character ` @ ' and
 the unsigned hexadecimal representation of the hash code of the
 object. In other words this method returns a string equal to the
 value of:",,String a string representation of the object. |||,"Defines available network information which includes corresponding subscription id
 network plmns and corresponding priority to be used for network selection by Opportunistic
 Network Service when passed through  TelephonyManager#updateAvailableNetworks",
<android.system.StructTimeval: String toString()>,NEITHER,NEITHER,"Returns a string representation of the object. In general the toString method returns a string that
 ""textually represents"" this object. The result should
 be a concise but informative representation that is easy for a
 person to read.
 It is recommended that all subclasses override this method. The toString method for class Object returns a string consisting of the name of the class of which the
 object is an instance the at-sign character ` @ ' and
 the unsigned hexadecimal representation of the hash code of the
 object. In other words this method returns a string equal to the
 value of:",,String a string representation of the object. |||,Corresponds to C's  struct timeval  from  sys/time.h .,
<android.icu.text.Transliterator.Position: String toString()>,NEITHER,NEITHER,Returns a string representation of this Position.,,String a string representation of the object. |||,"Transliterator  is an abstract class that transliterates text from one format to another. The most common
 kind of transliterator is a script or alphabet transliterator. For example a Russian to Latin transliterator
 changes Russian text written in Cyrillic characters to phonetically equivalent Latin characters. It does not
  translate  Russian to English! Transliteration unlike translation operates on characters without reference
 to the meanings of words and sentences.

  
 Although script conversion is its most common use a transliterator can actually perform a more general class of
 tasks. In fact  Transliterator  defines a very general API which specifies only that a segment of the
 input text is replaced by new text. The particulars of this conversion are determined entirely by subclasses of
  Transliterator .

  Transliterators are stateless Transliterator  objects are  stateless ; they retain no information between calls to
  transliterate() . As a result threads may share transliterators without synchronizing them. This might
 seem to limit the complexity of the transliteration operation. In practice subclasses perform complex
 transliterations by delaying the replacement of text until it is known that no other replacements are possible. In
 other words although the  Transliterator  objects are stateless the source text itself embodies all the
 needed information and delayed operation allows arbitrary complexity.

  Batch transliteration 
 The simplest way to perform transliteration is all at once on a string of existing text. This is referred to as
  batch  transliteration. For example given a string  input  and a transliterator  t 
 the call

  String result = t.transliterate(input);
  Replaceable Keyboard transliteration 
 Somewhat more involved is  keyboard  or incremental transliteration. This is the transliteration of text that
 is arriving from some source (typically the user's keyboard) one character at a time or in some other piecemeal
 fashion.

  
 In keyboard transliteration a  Replaceable  buffer stores the text. As text is inserted as much as
 possible is transliterated on the fly. This means a GUI that displays the contents of the buffer may show text being
 modified as each new character arrives.

  
 Consider the simple rule-based Transliterator:

  
 th>{theta} 
 t>{tau}
  
 t>|{tau} 
 {tau}h>{theta}
  transliterate() 
 Keyboard transliteration methods maintain a set of three indices that are updated with each call to
  transliterate()  including the cursor start and limit. These indices are changed by the method and
 they are passed in and out via a Position object. The  start  index marks the beginning of the substring
 that the transliterator will look at. It is advanced as text becomes committed (but it is not the committed index;
 that's the  cursor ). The  cursor  index described above marks the point at which the
 transliterator last stopped either because it reached the end or because it required more characters to
 disambiguate between possible inputs. The  cursor  can also be explicitly set by rules.
 Any characters before the  cursor  index are frozen; future keyboard
 transliteration calls within this input sequence will not change them. New text is inserted at the  limit 
 index which marks the end of the substring that the transliterator looks at.

  
 Because keyboard transliteration assumes that more characters are to arrive it is conservative in its operation. It
 only transliterates when it can do so unambiguously. Otherwise it waits for more characters to arrive. When the
 client code knows that no more characters are forthcoming perhaps because the user has performed some input
 termination operation then it should call  finishTransliteration()  to complete any pending
 transliterations.

  Inverses 
 Pairs of transliterators may be inverses of one another. For example if transliterator  A  transliterates
 characters by incrementing their Unicode value (so ""abc"" -> ""def"") and transliterator  B  decrements character
 values then  A  is an inverse of  B  and vice versa. If we compose  A  with  B  in a compound
 transliterator the result is the indentity transliterator that is a transliterator that does not change its input
 text.

 The  Transliterator  method  getInverse()  returns a transliterator's inverse if one exists
 or  null  otherwise. However the result of  getInverse()  usually will  not  be a true
 mathematical inverse. This is because true inverse transliterators are difficult to formulate. For example consider
 two transliterators:  AB  which transliterates the character 'A' to 'B' and  BA  which transliterates
 'B' to 'A'. It might seem that these are exact inverses since

  ""A"" x  AB  -> ""B"" 
 ""B"" x  BA  -> ""A"" ""ABCD"" x  AB  -> ""BBCD"" 
 ""BBCD"" x  BA  -> ""AACD"" AB BA BA AB AB .getInverse() BA Filtering Each transliterator has a filter which restricts changes to those characters selected by the filter. The
 filter affects just the characters that are changed -- the characters outside of the filter are still part of the
 context for the filter. For example in the following even though 'x' is filtered out and doesn't convert to y it does affect the conversion of 'a'.

  
 String rules = ""x > y; x{a} > b; "";
 Transliterator tempTrans = Transliterator.createFromRules(""temp"" rules Transliterator.FORWARD);
 tempTrans.setFilter(new UnicodeSet(""[a]""));
 String tempResult = tempTrans.transform(""xa"");
 // results in ""xb""
 IDs and display names 
 A transliterator is designated by a short identifier string or  ID . IDs follow the format
  source-destination  where  source  describes the entity being replaced and  destination 
 describes the entity replacing  source . The entities may be the names of scripts particular sequences of
 characters or whatever else it is that the transliterator converts to or from. For example a transliterator from
 Russian to Latin might be named ""Russian-Latin"". A transliterator from keyboard escape sequences to Latin-1
 characters might be named ""KeyboardEscape-Latin1"". By convention system entity names are in English with the
 initial letters of words capitalized; user entity names may follow any format so long as they do not contain dashes.

  
 In addition to programmatic IDs transliterator objects have display names for presentation in user interfaces
 returned by  getDisplayName(String) .

  Composed transliterators 
 In addition to built-in system transliterators like ""Latin-Greek"" there are also built-in  composed 
 transliterators. These are implemented by composing two or more component transliterators. For example if we have
 scripts ""A"" ""B"" ""C"" and ""D"" and we want to transliterate between all pairs of them then we need to write 12
 transliterators: ""A-B"" ""A-C"" ""A-D"" ""B-A""... ""D-A"" ""D-B"" ""D-C"". If it is possible to convert all scripts to an
 intermediate script ""M"" then instead of writing 12 rule sets we only need to write 8: ""A~M"" ""B~M"" ""C~M"" ""D~M""
 ""M~A"" ""M~B"" ""M~C"" ""M~D"". (This might not seem like a big win but it's really 2 n  vs.  n 2  -  n  so as  n  gets larger the gain becomes significant. With 9 scripts it's 18 vs. 72
 rule sets a big difference.) Note the use of ""~"" rather than ""-"" for the script separator here; this indicates that
 the given transliterator is intended to be composed with others rather than be used as is.

  
 Composed transliterators can be instantiated as usual. For example the system transliterator ""Devanagari-Gujarati""
 is a composed transliterator built internally as ""Devanagari~InterIndic;InterIndic~Gujarati"". When this
 transliterator is instantiated it appears externally to be a standard transliterator (e.g. getID() returns
 ""Devanagari-Gujarati"").

  Rule syntax A set of rules determines how to perform translations.
 Rules within a rule set are separated by semicolons (';').
 To include a literal semicolon prefix it with a backslash ('\').
 Unicode Pattern_White_Space is ignored.
 If the first non-blank character on a line is '#'
 the entire line is ignored as a comment.

  Each set of rules consists of two groups one forward and one
 reverse. This is a convention that is not enforced; rules for one
 direction may be omitted with the result that translations in
 that direction will not modify the source text. In addition
 bidirectional forward-reverse rules may be specified for
 symmetrical transformations.

  Note: Another description of the Transliterator rule syntax is available in
  section
 Transform Rules Syntax of UTS #35: Unicode LDML .
 The rules are shown there using arrow symbols â† and â†’ and â†”.
 ICU supports both those and the equivalent ASCII symbols < and > and <>.

  Rule statements take one of the following forms:

  $alefmadda=\\u0622; Variable definition.  The name on the
         left is assigned the text on the right. In this example
         after this statement instances of the left hand name
         "" $alefmadda "" will be replaced by
         the Unicode character U+0622. Variable names must begin
         with a letter and consist only of letters digits and
         underscores. Case is significant. Duplicate names cause
         an exception to be thrown that is variables cannot be
         redefined. The right hand side may contain well-formed
         text of any length including no text at all ("" $empty=; "").
         The right hand side may contain embedded  UnicodeSet 
         patterns for example "" $softvowel=[eiyEIY] "". ai>$alefmadda; Forward translation rule.  This rule
         states that the string on the left will be changed to the
         string on the right when performing forward
         transliteration. ai<$alefmadda; Reverse translation rule.  This rule
         states that the string on the right will be changed to
         the string on the left when performing reverse
         transliteration. ai<>$alefmadda; Bidirectional translation rule.  This
         rule states that the string on the right will be changed
         to the string on the left when performing forward
         transliteration and vice versa when performing reverse
         transliteration. Translation rules consist of a  match pattern  and an  output
 string . The match pattern consists of literal characters
 optionally preceded by context and optionally followed by
 context. Context characters like literal pattern characters
 must be matched in the text being transliterated. However unlike
 literal pattern characters they are not replaced by the output
 text. For example the pattern "" abc{def} ""
 indicates the characters "" def "" must be
 preceded by "" abc "" for a successful match.
 If there is a successful match "" def "" will
 be replaced but not "" abc "". The final ' } '
 is optional so "" abc{def "" is equivalent to
 "" abc{def} "". Another example is "" {123}456 ""
 (or "" 123}456 "") in which the literal
 pattern "" 123 "" must be followed by "" 456 "".

  The output string of a forward or reverse rule consists of
 characters to replace the literal pattern characters. If the
 output string contains the character ' | ' this is
 taken to indicate the location of the  cursor  after
 replacement. The cursor is the point in the text at which the
 next replacement if any will be applied. The cursor is usually
 placed within the replacement text; however it can actually be
 placed into the precending or following context by using the
 special character '@'. Examples:

  
     a {foo} z > | @ bar; # foo -> bar move cursor before a
     {foo} xyz > bar @@|; #Â foo -> bar cursor between y and z
  UnicodeSet UnicodeSet  patterns may appear anywhere that
 makes sense. They may appear in variable definitions.
 Contrariwise  UnicodeSet  patterns may themselves
 contain variable references such as "" $a=[a-z];$not_a=[^$a] ""
 or "" $range=a-z;$ll=[$range] "".

  UnicodeSet  patterns may also be embedded directly
 into rule strings. Thus the following two rules are equivalent:

  
     $vowel=[aeiou]; $vowel>'*'; # One way to do this
     [aeiou]>'*'; # Another way
  See  UnicodeSet  for more documentation and examples.

  Segments Segments of the input string can be matched and copied to the
 output string. This makes certain sets of rules simpler and more
 general and makes reordering possible. For example:

  
     ([a-z]) > $1 $1; # double lowercase letters
     ([:Lu:]) ([:Ll:]) > $2 $1; # reverse order of Lu-Ll pairs
  The segment of the input string to be copied is delimited by
 "" ( "" and "" ) "". Up to
 nine segments may be defined. Segments may not overlap. In the
 output string "" $1 "" through "" $9 ""
 represent the input string segments in left-to-right order of
 definition.

  Anchors Patterns can be anchored to the beginning or the end of the text. This is done with the
 special characters ' ^ ' and ' $ '. For example:

  
   ^ aÂ Â  > 'BEG_A'; Â Â # match 'a' at start of text
   Â  aÂ Â  > 'A'; # match other instances of 'a'
   Â  z $ > 'END_Z'; Â Â # match 'z' at end of text
   Â  zÂ Â  > 'Z';Â Â Â Â Â Â  # match other instances of 'z'
  It is also possible to match the beginning or the end of the text using a  UnicodeSet .
 This is done by including a virtual anchor character ' $ ' at the end of the
 set pattern. Although this is usually the match chafacter for the end anchor the set will
 match either the beginning or the end of the text depending on its placement. For
 example:

  
   $x = [a-z$]; Â Â # match 'a' through 'z' OR anchor
   $x 1Â Â Â  > 2;Â Â  # match '1' after a-z or at the start
   Â Â  3 $x > 4; Â Â # match '3' before a-z or at the end
  Example The following example rules illustrate many of the features of
 the rule language.

  Rule 1. abc{def}>x|y Rule 2. xyz>r Rule 3. yz>q Applying these rules to the string "" adefabcdefz ""
 yields the following results:

  |adefabcdefz Initial state no rules match. Advance
         cursor. a|defabcdefz Still no match. Rule 1 does not match
         because the preceding context is not present. ad|efabcdefz Still no match. Keep advancing until
         there is a match... ade|fabcdefz ... adef|abcdefz ... adefa|bcdefz ... adefab|cdefz ... adefabc|defz Rule 1 matches; replace "" def ""
         with "" xy "" and back up the cursor
         to before the ' y '. adefabcx|yz Although "" xyz "" is
         present rule 2 does not match because the cursor is
         before the ' y ' not before the ' x '.
         Rule 3 does match. Replace "" yz ""
         with "" q "". adefabcxq| The cursor is at the end;
         transliteration is complete. The order of rules is significant. If multiple rules may match
 at some point the first matching rule is applied.

  Forward and reverse rules may have an empty output string.
 Otherwise an empty left or right hand side of any statement is a
 syntax error.

  Single quotes are used to quote any character other than a
 digit or letter. To specify a single quote itself inside or
 outside of quotes use two single quotes in a row. For example
 the rule "" '>'>o''clock "" changes the
 string "" > "" to the string "" o'clock "".

  Notes While a Transliterator is being built from rules it checks that
 the rules are added in proper order. For example if the rule
 ""a>x"" is followed by the rule ""ab>y""
 then the second rule will throw an exception. The reason is that
 the second rule can never be triggered since the first rule
 always matches anything it matches. In other words the first
 rule  masks  the second rule.",
<android.service.autofill.BatchUpdates: String toString()>,NEITHER,NEITHER,"Returns a string representation of the object. In general the toString method returns a string that
 ""textually represents"" this object. The result should
 be a concise but informative representation that is easy for a
 person to read.
 It is recommended that all subclasses override this method. The toString method for class Object returns a string consisting of the name of the class of which the
 object is an instance the at-sign character ` @ ' and
 the unsigned hexadecimal representation of the hash code of the
 object. In other words this method returns a string equal to the
 value of:",,String a string representation of the object. |||,"Defines actions to be applied to a  RemoteViews .


  It supports 2 types of actions:

  RemoteViews  to be applied to the template.
    Transformation  to be applied on child views.
  Typically used on  CustomDescription  to conditionally display
 differents views based on user input - see
  CustomDescription.Builder#batchUpdate(Validator BatchUpdates)  for more information.",
<android.media.audiofx.DynamicsProcessing.Limiter: String toString()>,NEITHER,NEITHER,"Returns a string representation of the object. In general the toString method returns a string that
 ""textually represents"" this object. The result should
 be a concise but informative representation that is easy for a
 person to read.
 It is recommended that all subclasses override this method. The toString method for class Object returns a string consisting of the name of the class of which the
 object is an instance the at-sign character ` @ ' and
 the unsigned hexadecimal representation of the hash code of the
 object. In other words this method returns a string equal to the
 value of:",,String a string representation of the object. |||,"Class for Limiter Stage
 Limiter is a single band compressor at the end of the processing chain commonly used to
 protect the signal from overloading and distortion. Limiters have multiple controllable
 parameters: enabled/disabled linkGroup attackTime releaseTime ratio threshold and
 postGain.
  Limiters can be linked in groups across multiple channels. Linked limiters will trigger
 the same limiting if any of the linked limiters starts compressing.","The Media APIs are used to play and in some cases record media files. This includes
 audio (e.g. play MP3s or other music files ringtones game sound effects or DTMF tones)
 and video (e.g. play a video streamed over the web or from local storage).
  Other special classes in the package offer the ability to detect the faces of people
 in Bitmaps ( FaceDetector ) control audio routing (to the device or a headset)
 and control alerts such as ringtones and phone vibrations ( AudioManager )."
<android.app.slice.SliceSpec: String toString()>,NEITHER,NEITHER,"Returns a string representation of the object. In general the toString method returns a string that
 ""textually represents"" this object. The result should
 be a concise but informative representation that is easy for a
 person to read.
 It is recommended that all subclasses override this method. The toString method for class Object returns a string consisting of the name of the class of which the
 object is an instance the at-sign character ` @ ' and
 the unsigned hexadecimal representation of the hash code of the
 object. In other words this method returns a string equal to the
 value of:",,String a string representation of the object. |||,"Class describing the structure of the data contained within a slice.
  
 A data version contains a string which describes the type of structure
 and a revision which denotes this specific implementation. Revisions are expected
 to be backwards compatible and monotonically increasing. Meaning if a
 SliceSpec has the same type and an equal or lesser revision
 it is expected to be compatible.
  
 Apps rendering slices will provide a list of supported versions to the OS which
 will also be given to the app. Apps should only return a  Slice  with a
  SliceSpec  that one of the supported  SliceSpec s provided
  canRender(SliceSpec) .","Contains high-level classes encapsulating the overall Android application model. An Android application is defined using one or more of Android's four core application
 components. Two such application components are defined in this package:  Activity  and  Service . The other two components are from the  android.content  package:  BroadcastReceiver  and  ContentProvider . An  Activity  is an application component that provides a screen with which
 users can interact in order to do something such as dial the phone take a photo send an email or
 view a map. An activity can start other activities including activities that live in separate
 applications. A  Service  is an application component that can perform
 long-running operations in the background without a user interface. For example a service
 can handle network transactions play music or work with a content provider without the user being
 aware of the work going on. The  Fragment  class is also an important part of an application's
 designâ€”especially when designing for large screen devices such as tablets. A fragment defines
 a distinct part of an activity's behavior including the associated UI. It has its own lifecycle
 that is similar to that of the activity and can exist alongside other fragments that are embedded in
 the activity. While an activity is running you can add and remove fragments and include each
 fragment in a back stack that's managed by the activityâ€”allowing the user to navigate
 backwards through the fragment states without leaving the activity. This package also defines application utilities such as dialogs notifications and the
 action bar. For information about using some the classes in this package see the following
 documents:  Activities   Services   Fragments   Using the Action Bar   Creating Dialogs  and  Notifying the User ."
<android.media.MediaSession2.ControllerInfo: String toString()>,NEITHER,NEITHER,"Returns a string representation of the object. In general the toString method returns a string that
 ""textually represents"" this object. The result should
 be a concise but informative representation that is easy for a
 person to read.
 It is recommended that all subclasses override this method. The toString method for class Object returns a string consisting of the name of the class of which the
 object is an instance the at-sign character ` @ ' and
 the unsigned hexadecimal representation of the hash code of the
 object. In other words this method returns a string equal to the
 value of:",,String This value will never be null . |||,"This API is not generally intended for third party application developers.
 Use the  AndroidX Media2 session
 Library  for consistent behavior across all devices.
  
 Information of a controller.","The Media APIs are used to play and in some cases record media files. This includes
 audio (e.g. play MP3s or other music files ringtones game sound effects or DTMF tones)
 and video (e.g. play a video streamed over the web or from local storage).
  Other special classes in the package offer the ability to detect the faces of people
 in Bitmaps ( FaceDetector ) control audio routing (to the device or a headset)
 and control alerts such as ringtones and phone vibrations ( AudioManager )."
